"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Trip","Line 5E GREEN EXPRESS ALT, Block 3204","","6:41:27","","6:40:00","","","0.00","","","Pattern: 5E GREEN EXP 1","",""
"2","Stop","West Pull Out,1","6:41:27","6:41:27","6:40:15","6:40:15","0:01:12","0:01:12","0.00","0.00","0.00","","0.00",""
"3","Stop without doors","","6:44:37","6:45:22","","","","","0.55","","","","","10.41"
"4","Stop without doors","","6:47:09","6:47:35","","","","","1.32","","","","","25.64"
"5","Stop without doors","","6:50:52","6:51:19","","","","","2.41","","","","","19.98"
"6","Stop without doors","","6:56:53","6:57:21","","","","","5.03","","","","","28.30"
"7","Stop","Crossgate & Ironwood Ln (NE Corner),1","7:05:06","7:05:16","7:00:00","7:00:00","0:05:06","0:05:16","9.02","7.94","0.00","","22.89","30.90"
"8","Stop","Crossgate & Charwick (North Side),1","7:06:26","7:06:45","7:00:20","7:00:20","0:06:06","0:06:25","9.29","8.22","0.00","","13.71","13.71"
"9","Stop","Mullikin & Crossgate (NE Corner),1","7:07:16","7:08:01","7:00:40","7:00:40","0:06:36","0:07:21","9.41","8.35","0.00","","13.79","13.79"
"10","Stop","Mullikin & Stonebridge (NW Corner),4","7:08:36","7:09:00","7:01:00","7:01:00","0:07:36","0:08:00","9.58","8.52","0.00","","17.07","17.07"
"11","Drive through","Mullikin & Ironwood (SE Corner),2","7:09:23","7:09:23","7:01:20","7:01:20","0:08:03","0:08:03","9.74","8.66","0.00","","25.00","25.00"
"12","Drive through","Mullikin & Villa (SE Corner),2","7:09:37","7:09:37","7:01:52","7:01:52","0:07:45","0:07:45","9.83","8.75","0.00","","23.81","23.81"
"13","Drive through","Copper Ridge & Mullikin (NE Corner),1","7:09:54","7:09:54","7:02:24","7:02:24","0:07:30","0:07:30","9.91","8.84","0.00","","17.51","17.51"
"14","Stop","Copper Ridge & Copper (North Side),1","7:10:28","7:10:48","7:02:56","7:02:56","0:07:32","0:07:52","10.10","9.06","0.00","","20.53","20.53"
"15","Drive through","Copper Ridge & Blackhawk (NE Corner),1","7:11:17","7:11:17","7:04:12","7:04:12","0:07:05","0:07:05","10.29","9.22","0.00","","22.99","22.99"
"16","Drive through","Farhills & Staley (NE Corner),1","7:11:47","7:11:47","7:04:48","7:04:48","0:06:59","0:06:59","10.38","9.34","0.00","","11.19","11.19"
"17","Stop","Fields South & Farhills (SE Corner),2","7:12:38","7:12:48","7:05:24","7:05:24","0:07:14","0:07:24","10.69","9.66","0.00","","21.94","21.94"
"18","Drive through","Wendover & Woodspring (NW Corner),4","7:14:10","7:14:10","7:06:00","7:06:00","0:08:10","0:08:10","11.21","10.14","0.00","","22.57","22.57"
"19","Drive through","Wendover & Summerview (NW Corner),4","7:14:19","7:14:19","7:06:25","7:06:25","0:07:54","0:07:54","11.28","10.22","0.00","","27.59","27.59"
"20","Stop","Wendover & Country Bend (NW Corner),4","7:14:41","7:14:56","7:07:15","7:07:15","0:07:26","0:07:41","11.39","10.37","0.00","","18.41","18.41"
"21","Stop","Country Bend & Springhill (SW Corner),3","7:15:34","7:15:53","7:08:05","7:08:05","0:07:29","0:07:48","11.61","10.59","0.00","","20.96","20.96"
"22","Drive through","Duncan & Meadows West (SW Corner),3","7:16:31","7:16:31","7:09:35","7:09:35","0:06:56","0:06:56","11.77","10.73","0.00","","15.13","15.13"
"23","Drive through","Duncan & Crestridge (SE Corner),2","7:16:56","7:16:56","7:10:00","7:10:00","0:06:56","0:06:56","12.00","10.95","0.00","","33.11","33.11"
"24","Drive through","Windsor & Duncan (SE Corner),2","7:17:16","7:17:16","7:10:20","7:10:20","0:06:56","0:06:56","12.13","11.11","0.00","","23.27","23.27"
"25","Drive through","Windsor & Lakewood (SW Corner),3","7:17:28","7:17:28","7:10:40","7:10:40","0:06:48","0:06:48","12.22","11.20","0.00","","26.10","26.10"
"26","Drive through","Windsor & Cherry Hills (SW Corner),3","7:17:47","7:17:47","7:11:20","7:11:20","0:06:27","0:06:27","12.41","11.38","0.00","","37.09","37.09"
"27","Drive through","Windsor & Jordan (SW Corner),3","7:18:31","7:18:31","7:13:05","7:13:05","0:05:26","0:05:26","12.92","11.89","0.00","","41.90","41.90"
"28","Drive through","Windsor Rd. (South Side),1","7:18:35","7:18:35","7:13:25","7:13:25","0:05:10","0:05:10","12.97","11.96","0.00","","40.27","40.27"
"29","Drive through","Christie Clinic (South Side),1","7:18:45","7:18:45","7:13:45","7:13:45","0:05:00","0:05:00","13.06","12.05","0.00","","33.11","33.11"
"30","Stop without doors","","7:18:55","7:19:10","","","","","13.09","","","","","11.19"
"31","Drive through","Mattis & Harbor Point (SE Corner),2","7:19:51","7:19:51","7:15:05","7:15:05","0:04:46","0:04:46","13.42","12.39","0.00","","19.80","29.14"
"32","Drive through","Mattis & Devonshire (SE Corner),2","7:20:14","7:20:14","7:15:50","7:15:50","0:04:24","0:04:24","13.63","12.60","0.00","","32.68","32.68"
