"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line YELLOW, Block 15","","7:20:30","","7:33:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","7:20:30","7:20:30","","","","","0.00","","","","",""
"3","Depot","MTD Garage","7:31:52","7:31:52","7:33:00","7:33:00","-0:01:08","-0:01:08","0.23","0.00","0.00","","0.00","1.20"
"4","Stop","MTD Garage,1","7:31:57","7:31:57","7:33:00","7:33:00","-0:01:03","-0:01:03","0.23","0.01","0.00","","0.00","0.00"
"5","Trip","Line YELLOW, Block 15","","7:32:16","","7:33:00","","","0.23","","0.00","Pattern: YELLOW 52","","0.00"
"6","Stop","MTD Garage,1","7:32:16","7:32:16","7:33:00","7:33:00","-0:00:44","-0:00:44","0.23","0.00","0.00","","0.00",""
"7","Stop without doors","","7:34:55","7:35:18","","","","","1.19","","0.97","","","21.80"
"8","Stop without doors","","7:36:35","7:36:56","","","","","1.63","","1.40","","","20.37"
"9","Stop without doors","","7:38:15","7:38:38","","","","","2.13","","1.91","","","23.00"
"10","Stop without doors","","7:39:25","7:39:44","","","","","2.41","","2.18","","","20.95"
"11","Stop without doors","","7:40:41","7:41:06","","","","","2.63","","2.41","","","14.33"
"12","Stop","Gregory at Ikenberry Commons (South),1","7:44:19","7:44:19","7:45:00","7:45:00","-0:00:41","-0:00:41","3.45","3.26","3.22","","16.03","15.23"
"13","Trip","Line YELLOW, Block 15","","7:45:07","","7:45:00","","","3.45","","0.00","Pattern: YELLOW 15","","0.00"
"14","Stop","Gregory at Ikenberry Commons (South),1","7:45:07","7:45:07","7:45:00","7:45:00","0:00:07","0:00:07","3.45","0.00","0.00","","0.00",""
"15","Drive through","Fourth & Armory (SE Corner),2","7:45:51","7:45:51","7:47:00","7:47:00","-0:01:09","-0:01:09","3.62","0.15","0.17","","13.88","13.88"
"16","Stop without doors","","7:46:24","7:46:52","","","","","3.75","","0.30","","","14.17"
"17","Stop","Armory & Wright (South Side),3","7:47:16","7:47:33","7:51:00","7:51:00","-0:03:44","-0:03:27","3.83","0.39","0.39","","8.93","12.12"
"18","Stop","Transit Plaza (SE Platform),4","7:48:36","7:48:36","7:53:00","7:53:00","-0:04:24","-0:04:24","4.03","0.59","0.58","","11.30","11.30"
"19","Dead run inter","Line YELLOW, Block 15","","7:49:01","","7:53:00","","","4.03","","0.00","Pattern: [PLAZA:4][1STGRG:2]","","0.00"
"20","Stop","Transit Plaza (SE Platform),4","7:49:01","7:49:01","7:53:00","7:53:00","-0:03:59","-0:03:59","4.03","0.00","0.00","","0.00",""
