"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line YELLOW, Block 17","","7:14:22","","7:15:00","","","0.02","","0.00","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","7:14:22","7:14:22","","","","","0.02","","0.00","","",""
"3","Depot","MTD Garage","7:14:23","7:14:23","7:15:00","7:15:00","-0:00:37","-0:00:37","0.02","0.00","0.01","","0.00","4.48"
"4","Drive through","MTD Garage,1","7:14:55","7:14:55","7:15:00","7:15:00","-0:00:05","-0:00:05","0.08","0.01","0.06","","6.09","6.09"
"5","Trip","Line YELLOW, Block 17","","7:14:55","","7:15:00","","","0.08","","0.00","Pattern: [@14.0.56288722@]36","","0.00"
"6","Drive through","MTD Garage,1","7:14:55","7:14:55","7:15:00","7:15:00","-0:00:05","-0:00:05","0.08","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","7:14:58","7:14:58","7:15:30","7:15:30","-0:00:32","-0:00:32","0.08","0.06","0.01","","8.21","8.21"
"8","Stop without doors","","7:18:24","7:18:44","","","","","1.28","","1.21","","","20.88"
"9","Stop without doors","","7:20:05","7:20:24","","","","","1.80","","1.73","","","23.20"
"10","Stop","Water Survey,2","7:26:47","7:26:47","7:25:00","7:25:00","0:01:47","0:01:47","4.66","4.43","4.59","","23.23","26.86"
"11","Trip","Line YELLOW, Block 17","","7:27:13","","7:25:00","","","4.66","","0.00","Pattern: [@14.0.56288722@]64","","0.00"
"12","Stop","Water Survey,2","7:27:13","7:27:13","7:25:00","7:25:00","0:02:13","0:02:13","4.66","0.00","0.00","","0.00",""
"13","Drive through","Hazelwood & Oak (SE Corner),2","7:28:24","7:28:24","7:26:00","7:26:00","0:02:24","0:02:24","5.01","0.60","0.36","","17.77","17.77"
"14","Drive through","Oak St. (East Side),2","7:28:46","7:28:46","7:27:00","7:27:00","0:01:46","0:01:46","5.18","0.78","0.53","","27.76","27.76"
"15","Drive through","St. Mary's & Oak (SE Corner),2","7:29:04","7:29:04","7:28:00","7:28:00","0:01:04","0:01:04","5.23","0.85","0.58","","11.07","11.07"
"16","Drive through","First & St. Mary's (NE Far Side),5","7:29:45","7:29:45","7:28:45","7:28:45","0:01:00","0:01:00","5.43","1.04","0.78","","17.74","17.74"
"17","Stop","Lot E-14 (North Shelter),2","7:30:17","7:31:50","7:30:00","7:30:00","0:00:17","0:01:50","5.55","1.20","0.90","","13.08","13.08"
"18","Stop with doors","","7:32:07","7:32:08","","","","","5.60","","0.95","","","10.14"
"19","Drive through","Kirby & Oak (SE Corner),2","7:32:51","7:32:51","7:30:45","7:30:45","0:02:06","0:02:06","5.77","1.39","1.12","","12.95","14.36"
"20","Stop","First & Stadium (SE Corner),2","7:34:36","7:34:53","7:32:20","7:32:20","0:02:16","0:02:33","6.21","1.87","1.56","","15.24","15.24"
"21","Stop","First & Gregory (SE Corner),2","7:35:13","7:35:19","7:32:40","7:32:40","0:02:33","0:02:39","6.31","1.95","1.66","","17.01","17.01"
"22","Stop","Gregory at Ikenberry Commons (South),1","7:35:58","7:36:20","7:33:50","7:33:50","0:02:08","0:02:30","6.52","2.18","1.87","","19.33","19.33"
"23","Stop without doors","","7:36:35","7:37:09","","","","","6.57","","1.92","","","13.43"
"24","Drive through","Fourth & Armory (SE Corner),2","7:37:46","7:37:46","7:35:00","7:35:00","0:02:46","0:02:46","6.69","2.32","2.04","","7.08","11.01"
"25","Stop","Armory & Wright (South Side),3","7:38:45","7:39:05","7:37:30","7:37:30","0:01:15","0:01:35","6.90","2.56","2.25","","12.86","12.86"
"26","Stop","Transit Plaza (SE Platform),4","7:39:11","7:39:11","7:39:00","7:39:00","0:00:11","0:00:11","6.93","2.76","2.28","","17.90","17.90"
"27","Dead run inter","Line YELLOW, Block 17","","7:40:26","","7:39:00","","","7.11","","0.00","Pattern: [PLAZA:4][E14:2]","","0.00"
"28","Stop","Transit Plaza (SE Platform),4","7:40:26","7:40:26","7:39:00","7:39:00","0:01:26","0:01:26","7.11","0.00","0.00","","0.00",""
"29","Stop without doors","","7:42:03","7:42:15","","","","","7.47","","0.37","","","13.54"
"30","Stop without doors","","7:43:02","7:43:35","","","","","7.74","","0.64","","","20.57"
"31","Stop with doors","","7:44:00","7:47:21","","","","","7.79","","0.69","","","7.70"
"32","Stop","Lot E-14 (North Shelter),2","7:51:11","7:51:11","7:42:00","7:42:00","0:09:11","0:09:11","8.84","1.78","1.74","","9.70","16.45"
"33","Trip","Line YELLOW, Block 17","","7:51:50","","7:50:00","","","8.84","","0.00","Pattern: [@14.0.51708617@]32","","0.00"
"34","Stop","Lot E-14 (North Shelter),2","7:51:50","7:51:50","7:50:00","7:50:00","0:01:50","0:01:50","8.84","0.00","0.00","","0.00",""
"35","Stop","Kirby & Oak (SE Corner),2","7:52:37","7:53:31","7:51:00","7:51:00","0:01:37","0:02:31","9.03","0.20","0.19","","14.38","14.38"
"36","Stop without doors","","7:54:01","7:54:09","","","","","9.16","","0.32","","","15.59"
"37","Stop without doors","","7:55:02","7:55:12","","","","","9.46","","0.62","","","20.22"
"38","Drive through","Fourth & Pennsylvania (SE Corner),2","7:56:09","7:56:09","7:53:30","7:53:30","0:02:39","0:02:39","9.74","0.80","0.90","","16.12","17.67"
"39","Stop","Sixth & Peabody (SE Corner),2","7:56:42","7:56:55","7:56:00","7:56:00","0:00:42","0:00:55","9.84","1.16","1.00","","10.99","10.99"
"40","Stop","Sixth & Gregory (SE Corner),2","7:57:36","7:57:53","7:57:00","7:57:00","0:00:36","0:00:53","10.02","1.35","1.18","","15.72","15.72"
"41","Stop without doors","","7:58:14","7:58:52","","","","","10.11","","1.27","","","15.34"
"42","Drive through","Armory & Wright (South Side),3","7:59:25","7:59:25","7:58:00","7:58:00","0:01:25","0:01:25","10.20","1.51","1.36","","7.03","9.83"
"43","Stop","Transit Plaza (SE Platform),4","8:00:14","8:00:35","7:59:00","7:59:00","0:01:14","0:01:35","10.39","1.70","1.55","","13.93","13.93"
"44","Drive through","Wright & Healey (East Side),2","8:01:30","8:01:30","8:00:15","8:00:15","0:01:15","0:01:15","10.63","1.93","1.79","","15.66","15.66"
"45","Stop without doors","","8:02:27","8:02:38","","","","","10.80","","1.96","","","11.11"
