"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ORANGE, Block 604","","7:09:13","","7:21:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","7:09:13","7:09:13","","","","","0.00","","","","",""
"3","Depot","MTD Garage","7:09:15","7:09:15","7:21:00","7:21:00","-0:11:45","-0:11:45","0.00","0.00","0.00","","0.00","0.00"
"4","Drive through","MTD Garage,1","7:21:27","7:21:27","7:21:00","7:21:00","0:00:27","0:00:27","0.06","0.01","0.00","","0.30","0.30"
"5","Trip","Line ORANGE, Block 604","","7:21:27","","7:21:00","","","0.06","","0.00","Pattern: [@2.0.86175868@]27","","0.00"
"6","Drive through","MTD Garage,1","7:21:27","7:21:27","7:21:00","7:21:00","0:00:27","0:00:27","0.06","0.00","0.00","","0.00",""
"7","Drive through","East Pull Out,3","7:21:39","7:21:39","7:21:15","7:21:15","0:00:24","0:00:24","0.07","0.06","0.02","","3.17","3.17"
"8","Stop without doors","","7:21:49","7:21:56","","","","","0.08","","0.02","","","3.14"
"9","Stop","Butzow & Lierman (SE Corner),2","7:24:58","7:24:58","7:24:00","7:24:00","0:00:58","0:00:58","0.76","0.56","0.70","","12.32","13.30"
"10","Trip","Line ORANGE, Block 604","","7:25:02","","7:24:00","","","0.76","","0.00","Pattern: [@2.0.86175868@]19","","0.00"
"11","Stop","Butzow & Lierman (SE Corner),2","7:25:02","7:25:02","7:24:00","7:24:00","0:01:02","0:01:02","0.76","0.00","0.00","","0.00",""
"12","Drive through","Butzow at Guardian West (NE Corner),1","7:25:37","7:25:37","7:24:25","7:24:25","0:01:12","0:01:12","0.95","0.18","0.20","","19.75","19.75"
"13","Drive through","Guardian Dr. & Butzow (SW Corner),3","7:26:12","7:26:12","7:24:45","7:24:45","0:01:27","0:01:27","1.09","0.32","0.34","","14.64","14.64"
"14","Drive through","U.S. 150 & University (NW Corner),4","7:26:16","7:26:16","7:25:00","7:25:00","0:01:16","0:01:16","1.11","0.38","0.36","","17.90","17.90"
"15","Stop without doors","","7:26:26","7:27:13","","","","","1.12","","0.37","","","5.37"
"16","Drive through","U.S. 150 & Dale (South Side),3","7:27:47","7:27:47","7:25:40","7:25:40","0:02:07","0:02:07","1.35","0.61","0.60","","9.64","24.22"
"17","Drive through","Smith & U.S. 150 (SW Corner),3","7:27:54","7:27:54","7:26:00","7:26:00","0:01:54","0:01:54","1.41","0.68","0.66","","31.00","31.00"
"18","Drive through","U.S. 150 & Dodson (NE Far Side),5","7:28:53","7:28:53","7:27:00","7:27:00","0:01:53","0:01:53","1.80","1.04","1.05","","23.36","23.36"
"19","Trip","Line ORANGE, Block 604","","7:28:53","","7:27:00","","","1.80","","0.00","Pattern: [@2.0.86175868@]70","","0.00"
"20","Drive through","U.S. 150 & Dodson (NE Far Side),5","7:28:53","7:28:53","7:27:00","7:27:00","0:01:53","0:01:53","1.80","0.00","0.00","","0.00",""
"21","Stop","Dodson East & Slayback (SE Corner),2","7:29:26","7:29:43","7:27:40","7:27:40","0:01:46","0:02:03","1.95","0.21","0.16","","16.61","16.61"
"22","Drive through","Slayback & Ira (NW Far Side),8","7:30:13","7:30:13","7:28:00","7:28:00","0:02:13","0:02:13","2.14","0.38","0.35","","22.60","22.60"
"23","Drive through","Slayback & McGee (NE Corner),1","7:30:27","7:30:27","7:28:35","7:28:35","0:01:52","0:01:52","2.24","0.47","0.45","","25.73","25.73"
"24","Drive through","Smith & Carrie (NW Corner),4","7:30:58","7:30:58","7:28:55","7:28:55","0:02:03","0:02:03","2.41","0.64","0.62","","19.92","19.92"
"25","Stop without doors","","7:31:22","7:31:34","","","","","2.47","","0.68","","","9.14"
"26","Drive through","Smith & U.S. 150 (NW Corner),4","7:31:42","7:31:42","7:29:10","7:29:10","0:02:32","0:02:32","2.49","0.73","0.70","","6.72","9.51"
"27","Drive through","U.S. 150 & Dale (NE Corner),1","7:31:58","7:31:58","7:29:40","7:29:40","0:02:18","0:02:18","2.62","0.85","0.82","","28.25","28.25"
"28","Drive through","U.S. 150 & University (NW Far Side),8","7:32:43","7:32:43","7:30:20","7:30:20","0:02:23","0:02:23","2.83","1.08","1.04","","17.15","17.15"
"29","Drive through","University & Lierman (NE Corner),1","7:33:13","7:33:13","7:31:00","7:31:00","0:02:13","0:02:13","3.12","1.36","1.33","","34.53","34.53"
"30","Drive through","Ambucs Park (North Side),2","7:33:26","7:33:26","7:31:30","7:31:30","0:01:56","0:01:56","3.25","1.51","1.46","","36.66","36.66"
"31","Drive through","University & Cottage Grove (NE Corner),1","7:33:47","7:33:47","7:32:00","7:32:00","0:01:47","0:01:47","3.45","1.70","1.66","","35.05","35.05"
"32","Trip","Line ORANGEHOPPER, Block 604","","7:33:47","","7:32:00","","","3.45","","0.00","Pattern: 6WIT->CF HOPPER","","0.00"
"33","Drive through","University & Cottage Grove (NE Corner),1","7:33:47","7:33:47","7:32:00","7:32:00","0:01:47","0:01:47","3.45","0.00","0.00","","0.00",""
"34","Drive through","University & Hickory (NE Corner),1","7:33:54","7:33:54","7:32:15","7:32:15","0:01:39","0:01:39","3.52","0.08","0.07","","34.20","34.20"
"35","Drive through","University & Sycamore (NE Corner),1","7:34:12","7:34:12","7:32:45","7:32:45","0:01:27","0:01:27","3.69","0.25","0.24","","34.18","34.18"
"36","Drive through","University & Maple (NE Corner),1","7:34:23","7:34:23","7:33:00","7:33:00","0:01:23","0:01:23","3.79","0.35","0.34","","31.12","31.12"
"37","Drive through","University & Vine (SW Far Side),7","7:35:13","7:35:13","7:33:50","7:33:50","0:01:23","0:01:23","3.99","0.55","0.54","","14.59","14.59"
"38","Drive through","Vine & Water (NW Corner),4","7:35:29","7:35:29","7:34:30","7:34:30","0:00:59","0:00:59","4.09","0.68","0.64","","23.35","23.35"
"39","Drive through","Main & Vine (NW Corner),4","7:35:59","7:35:59","7:34:45","7:34:45","0:01:14","0:01:14","4.15","0.75","0.70","","7.24","7.24"
"40","Stop","Lincoln Square Courthouse,2","7:37:23","7:44:53","7:36:00","7:40:00","0:01:23","0:04:53","4.35","0.97","0.90","","8.21","8.21"
"41","Stop","Save A Lot (East Side),2","7:45:24","7:45:38","7:40:24","7:40:24","0:05:00","0:05:14","4.50","1.14","1.05","","18.48","18.48"
"42","Drive through","Broadway & University (SE Corner),2","7:46:05","7:46:05","7:40:42","7:40:42","0:05:23","0:05:23","4.61","1.23","1.16","","14.09","14.09"
"43","Stop without doors","","7:46:16","7:46:55","","","","","4.63","","1.18","","","6.51"
"44","Stop","Broadway & Park (NW Far Side),8","7:47:26","7:47:43","7:41:00","7:41:00","0:06:26","0:06:43","4.71","1.36","1.26","","4.59","9.67"
"45","Drive through","Park & Central (NE Corner),1","7:48:07","7:48:07","7:41:39","7:41:39","0:06:28","0:06:28","4.88","1.50","1.43","","25.08","25.08"
"46","Stop","Church & Orchard (NE Corner),1","7:49:01","7:49:17","7:42:21","7:42:21","0:06:40","0:06:56","5.08","1.72","1.63","","13.05","13.05"
"47","Drive through","Coler & Church (NE Corner),1","7:49:50","7:49:50","7:42:47","7:42:47","0:07:03","0:07:03","5.17","1.80","1.72","","10.10","10.10"
"48","Drive through","Church & Busey (NE Corner),1","7:50:02","7:50:02","7:43:08","7:43:08","0:06:54","0:06:54","5.24","1.86","1.79","","19.95","19.95"
"49","Stop","Lincoln & Park (West Side),4","7:50:45","7:51:02","7:43:48","7:43:48","0:06:57","0:07:14","5.40","2.05","1.95","","13.95","13.95"
"50","Drive through","Campus Circle (North Side),2","7:51:47","7:51:47","7:44:36","7:44:36","0:07:11","0:07:11","5.58","2.24","2.13","","14.27","14.27"
"51","Drive through","University & Goodwin (NE Corner),1","7:52:10","7:52:10","7:45:27","7:45:27","0:06:43","0:06:43","5.70","2.36","2.25","","18.68","18.68"
"52","Drive through","Goodwin & Park (NW Far Side),8","7:52:33","7:52:33","7:46:18","7:46:18","0:06:15","0:06:15","5.78","2.45","2.33","","12.75","12.75"
"53","Drive through","Park & Romine (North Side),1","7:53:08","7:53:08","7:47:09","7:47:09","0:05:59","0:05:59","5.93","2.59","2.48","","15.28","15.28"
"54","Stop","Park & Wright (NE Corner),1","7:53:27","7:53:36","7:48:00","7:48:00","0:05:27","0:05:36","5.99","2.68","2.54","","12.13","12.13"
"55","Stop without doors","","7:53:57","7:54:16","","","","","6.06","","2.61","","","11.19"
"56","Drive through","University & Sixth (NW Far Side),8","7:54:36","7:54:36","7:48:00","7:48:00","0:06:36","0:06:36","6.15","2.84","2.70","","9.62","17.12"
"57","Drive through","University & Fourth (NE Corner),1","7:54:53","7:54:53","7:49:40","7:49:40","0:05:13","0:05:13","6.31","2.99","2.86","","32.51","32.51"
"58","Drive through","University & Second (NE Corner),1","7:55:15","7:55:15","7:50:30","7:50:30","0:04:45","0:04:45","6.50","3.18","3.05","","30.81","30.81"
"59","Stop without doors","","7:55:47","7:55:58","","","","","6.56","","3.11","","","7.83"
"60","Stop","Illinois Terminal (Platform A),1","7:57:09","7:57:09","7:52:00","7:52:00","0:05:09","0:05:09","6.75","3.45","3.30","","7.99","9.30"
"61","Trip","Line ORANGE, Block 604","","7:57:38","","7:55:00","","","6.75","","0.00","Pattern: [@2.0.86175868@]ORANGE 12","","0.00"
"62","Stop","Illinois Terminal (Platform A),1","7:57:38","7:57:38","7:55:00","7:55:00","0:02:38","0:02:38","6.75","0.00","0.00","","0.00",""
"63","Stop without doors","","7:58:43","7:58:56","","","","","6.92","","0.17","","","9.30"
"64","Drive through","University & Second (SE Far Side),6","7:59:46","7:59:46","7:56:40","7:56:40","0:03:06","0:03:06","7.18","0.44","0.44","","12.24","19.24"
"65","Drive through","University & Fourth (SW Corner),3","8:00:07","8:00:07","7:57:20","7:57:20","0:02:47","0:02:47","7.33","0.60","0.59","","25.78","25.78"
"66","Drive through","University & Sixth (SW Corner),3","8:00:28","8:00:28","7:57:50","7:57:50","0:02:38","0:02:38","7.50","0.76","0.75","","27.81","27.81"
"67","Stop without doors","","8:00:51","8:01:04","","","","","7.56","","0.81","","","9.34"
"68","Drive through","Park & Wright (SE Corner),2","8:01:30","8:01:30","7:58:10","7:58:10","0:03:20","0:03:20","7.65","0.92","0.90","","8.74","12.57"
"69","Drive through","Park & Romine (SW Corner),3","8:01:52","8:01:52","7:58:25","7:58:25","0:03:27","0:03:27","7.72","1.00","0.98","","12.51","12.51"
"70","Stop","Goodwin & Park (SW Corner),3","8:02:23","8:02:48","7:58:40","7:58:40","0:03:43","0:04:08","7.86","1.16","1.12","","16.17","16.17"
"71","Stop without doors","","8:03:03","8:03:56","","","","","7.92","","1.18","","","13.72"
"72","Stop","University & Harvey (SE Far Side),6","8:04:29","8:04:36","7:59:05","7:59:05","0:05:24","0:05:31","8.06","1.35","1.32","","7.25","15.93"
"73","Stop without doors","","8:05:02","8:05:27","","","","","8.17","","1.42","","","14.11"
"74","Drive through","Lincoln & Park (SE Corner),2","8:05:45","8:05:45","7:59:30","7:59:30","0:06:15","0:06:15","8.25","1.54","1.51","","9.70","16.78"
"75","Drive through","Church & Busey (SW Corner),3","8:06:24","8:06:24","7:59:55","7:59:55","0:06:29","0:06:29","8.45","1.74","1.70","","18.07","18.07"
"76","Drive through","Coler & Church (SW Corner),3","8:06:42","8:06:42","8:00:20","8:00:20","0:06:22","0:06:22","8.49","1.80","1.75","","9.57","9.57"
"77","Drive through","Church & Orchard (SW Corner),3","8:07:07","8:07:07","8:01:00","8:01:00","0:06:07","0:06:07","8.57","1.87","1.83","","10.92","10.92"
"78","Drive through","Park & Central (SW Corner),3","8:08:01","8:08:01","8:02:04","8:02:04","0:05:57","0:05:57","8.80","2.09","2.06","","15.54","15.54"
"79","Stop without doors","","8:08:46","8:08:55","","","","","8.96","","2.22","","","12.73"
"80","Drive through","Broadway & Park (SW Corner),3","8:09:01","8:09:01","8:02:38","8:02:38","0:06:23","0:06:23","8.98","2.27","2.23","","10.33","7.83"
"81","Drive through","Broadway & University (SW Far Side),7","8:09:13","8:09:13","8:03:18","8:03:18","0:05:55","0:05:55","9.04","2.37","2.29","","18.46","18.46"
"82","Drive through","Save A Lot (West Side),1","8:09:41","8:09:41","8:03:48","8:03:48","0:05:53","0:05:53","9.14","2.48","2.40","","13.75","13.75"
"83","Stop","Lincoln Square Garage East,1","8:10:18","8:10:24","8:05:00","8:05:00","0:05:18","0:05:24","9.29","2.64","2.55","","14.09","14.09"
"84","Stop without doors","","8:12:10","8:12:44","","","","","9.63","","2.88","","","11.51"
"85","Drive through","Vine & Water (SE Corner),2","8:13:02","8:13:02","8:06:25","8:06:25","0:06:37","0:06:37","9.71","3.08","2.97","","9.60","16.53"
"86","Drive through","University & Vine (SE Corner),2","8:13:29","8:13:29","8:06:45","8:06:45","0:06:44","0:06:44","9.90","3.27","3.15","","25.11","25.11"
"87","Drive through","University & Maple (SW Corner),3","8:13:46","8:13:46","8:07:00","8:07:00","0:06:46","0:06:46","10.04","3.40","3.29","","29.22","29.22"
"88","Drive through","University & Sycamore (South Side),3","8:13:54","8:13:54","8:07:15","8:07:15","0:06:39","0:06:39","10.11","3.50","3.36","","32.16","32.16"
"89","Drive through","University & Hickory (South Side),3","8:14:10","8:14:10","8:07:45","8:07:45","0:06:25","0:06:25","10.28","3.67","3.54","","38.87","38.87"
"90","Drive through","University & Cottage Grove (SW Corner),3","8:14:17","8:14:17","8:08:00","8:08:00","0:06:17","0:06:17","10.35","3.75","3.60","","34.84","34.84"
"91","Drive through","Ambucs Park (South Side),1","8:14:37","8:14:37","8:08:30","8:08:30","0:06:07","0:06:07","10.55","3.94","3.80","","36.02","36.02"
"92","Drive through","University & Lierman (NE Far Side),5","8:15:10","8:15:10","8:09:00","8:09:00","0:06:10","0:06:10","10.72","4.12","3.98","","18.98","18.98"
"93","Drive through","Butzow & Lierman (SE Corner),2","8:15:36","8:15:36","8:10:00","8:10:00","0:05:36","0:05:36","10.82","4.22","4.07","","13.17","13.17"
"94","Drive through","Butzow at Guardian West (NE Corner),1","8:16:06","8:16:06","8:10:25","8:10:25","0:05:41","0:05:41","11.00","4.40","4.26","","22.52","22.52"
"95","Drive through","Guardian Dr. & Butzow (SW Corner),3","8:16:35","8:16:35","8:10:45","8:10:45","0:05:50","0:05:50","11.13","4.53","4.39","","15.43","15.43"
"96","Drive through","U.S. 150 & University (NW Corner),4","8:16:43","8:16:43","8:11:00","8:11:00","0:05:43","0:05:43","11.16","4.60","4.42","","14.82","14.82"
"97","Stop without doors","","8:16:50","8:17:26","","","","","11.17","","4.43","","","6.40"
"98","Drive through","U.S. 150 & Dale (South Side),3","8:18:07","8:18:07","8:11:40","8:11:40","0:06:27","0:06:27","11.41","4.82","4.67","","10.60","20.63"
"99","Drive through","Smith & U.S. 150 (SW Corner),3","8:18:14","8:18:14","8:12:00","8:12:00","0:06:14","0:06:14","11.46","4.90","4.72","","28.77","28.77"
"100","Stop without doors","","8:18:25","8:18:35","","","","","11.49","","4.75","","","8.55"
"101","Drive through","U.S. 150 & Dodson (NE Far Side),5","8:19:33","8:19:33","8:13:00","8:13:00","0:06:33","0:06:33","11.85","5.26","5.11","","17.53","22.26"
"102","Trip","Line ORANGE, Block 604","","8:19:33","","8:13:00","","","11.85","","0.00","Pattern: [@2.0.86175868@]6WIT->CF","","0.00"
"103","Drive through","U.S. 150 & Dodson (NE Far Side),5","8:19:33","8:19:33","8:13:00","8:13:00","0:06:33","0:06:33","11.85","0.00","0.00","","0.00",""
"104","Drive through","Dodson East & Slayback (SE Corner),2","8:20:10","8:20:10","8:13:40","8:13:40","0:06:30","0:06:30","12.04","0.21","0.20","","18.99","18.99"
"105","Drive through","Slayback & Ira (NW Far Side),8","8:20:29","8:20:29","8:14:00","8:14:00","0:06:29","0:06:29","12.18","0.38","0.33","","24.96","24.96"
"106","Drive through","Slayback & McGee (NE Corner),1","8:20:39","8:20:39","8:14:35","8:14:35","0:06:04","0:06:04","12.26","0.47","0.42","","31.55","31.55"
"107","Drive through","Smith & Carrie (NW Corner),4","8:21:09","8:21:09","8:14:55","8:14:55","0:06:14","0:06:14","12.44","0.64","0.59","","20.73","20.73"
"108","Drive through","Smith & U.S. 150 (NW Corner),4","8:21:34","8:21:34","8:15:10","8:15:10","0:06:24","0:06:24","12.52","0.73","0.68","","12.00","12.00"
"109","Drive through","U.S. 150 & Dale (NE Corner),1","8:21:52","8:21:52","8:15:30","8:15:30","0:06:22","0:06:22","12.65","0.85","0.81","","26.10","26.10"
"110","Drive through","U.S. 150 & University (NW Far Side),8","8:22:31","8:22:31","8:16:10","8:16:10","0:06:21","0:06:21","12.89","1.08","1.04","","21.86","21.86"
"111","Drive through","University & Lierman (NE Corner),1","8:22:59","8:22:59","8:17:00","8:17:00","0:05:59","0:05:59","13.15","1.36","1.30","","33.48","33.48"
"112","Drive through","Ambucs Park (North Side),2","8:23:15","8:23:15","8:17:30","8:17:30","0:05:45","0:05:45","13.28","1.51","1.43","","29.36","29.36"
"113","Drive through","University & Cottage Grove (NE Corner),1","8:23:56","8:23:56","8:18:00","8:18:00","0:05:56","0:05:56","13.48","1.70","1.63","","17.52","17.52"
"114","Drive through","University & Hickory (NE Corner),1","8:24:04","8:24:04","8:18:15","8:18:15","0:05:49","0:05:49","13.55","1.78","1.70","","32.16","32.16"
"115","Stop","University & Sycamore (NE Corner),1","8:24:29","8:24:52","8:18:45","8:18:45","0:05:44","0:06:07","13.70","1.95","1.85","","21.39","21.39"
"116","Drive through","University & Maple (NE Corner),1","8:25:10","8:25:10","8:19:00","8:19:00","0:06:10","0:06:10","13.81","2.05","1.97","","22.75","22.75"
"117","Stop without doors","","8:25:30","8:26:03","","","","","13.90","","2.05","","","15.44"
"118","Drive through","University & Vine (SW Far Side),7","8:26:27","8:26:27","8:19:40","8:19:40","0:06:47","0:06:47","14.02","2.25","2.17","","9.74","18.37"
"119","Drive through","Vine & Water (NW Corner),4","8:26:43","8:26:43","8:20:10","8:20:10","0:06:33","0:06:33","14.15","2.38","2.30","","29.23","29.23"
"120","Stop without doors","","8:26:56","8:27:07","","","","","14.18","","2.34","","","8.61"
"121","Drive through","Main & Vine (NW Corner),4","8:27:16","8:27:16","8:20:30","8:20:30","0:06:46","0:06:46","14.21","2.45","2.37","","7.12","13.68"
"122","Stop","Lincoln Square Courthouse,2","8:28:07","8:28:37","8:22:00","8:25:00","0:06:07","0:03:37","14.39","2.67","2.54","","12.33","12.33"
"123","Drive through","Save A Lot (East Side),2","8:29:01","8:29:01","8:26:26","8:26:26","0:02:35","0:02:35","14.57","2.84","2.72","","26.48","26.48"
"124","Drive through","Broadway & University (SE Corner),2","8:29:23","8:29:23","8:26:46","8:26:46","0:02:37","0:02:37","14.65","2.93","2.81","","14.55","14.55"
