"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line 1S YELLOW ALT, Block 3212","","7:17:34","","7:08:00","","","0.22","","0.00","Pattern: [Garage][DEPOT:1]","",""
"2","Stop","MTD Garage,1","7:17:34","7:17:34","7:08:00","7:08:00","0:09:34","0:09:34","0.22","0.00","0.00","","0.00",""
"3","Trip","Line 1S YELLOW ALT, Block 3212","","7:17:37","","7:08:00","","","0.22","","0.00","Pattern: [@124.0.94414886@]4","","0.00"
"4","Stop","MTD Garage,1","7:17:37","7:17:37","7:08:00","7:08:00","0:09:37","0:09:37","0.22","0.00","0.00","","0.00",""
"5","Stop without doors","","7:20:39","7:21:51","","","","","2.02","","1.81","","","35.77"
"6","Drive through","Baytowne & Boardwalk (SE Corner),2","7:27:12","7:27:12","7:20:00","7:20:00","0:07:12","0:07:12","5.90","5.64","5.69","","35.59","43.47"
"7","Drive through","Boardwalk & Town Center (SE Corner),2","7:27:27","7:27:27","7:20:25","7:20:25","0:07:02","0:07:02","6.02","5.78","5.81","","28.49","28.49"
"8","Drive through","Boardwalk & Meijer Dr. (SE Corner),2","7:27:56","7:27:56","7:21:25","7:21:25","0:06:31","0:06:31","6.32","6.06","6.11","","37.18","37.18"
"9","Stop without doors","","7:28:17","7:28:24","","","","","6.47","","6.26","","","25.46"
"10","Drive through","Newton & Nobel (SW Corner),3","7:30:05","7:30:05","7:23:55","7:23:55","0:06:10","0:06:10","7.03","6.77","6.82","","19.96","20.20"
"11","Stop","Newton & Leggett (SW Corner),3","7:30:32","7:30:50","7:24:25","7:24:25","0:06:07","0:06:25","7.15","6.94","6.94","","16.08","16.08"
"12","Stop","Bardeen & Toalson (SW Corner),3","7:31:24","7:31:38","7:24:45","7:24:45","0:06:39","0:06:53","7.26","7.06","7.05","","11.65","11.65"
"13","Drive through","Toalson & Interstate (NW Corner),4","7:32:24","7:32:24","7:25:15","7:25:15","0:07:09","0:07:09","7.49","7.26","7.28","","17.75","17.75"
"14","Stop without doors","","7:33:02","7:33:10","","","","","7.76","","7.55","","","25.61"
"15","Stop without doors","","7:34:30","7:34:39","","","","","8.20","","7.99","","","19.94"
"16","Drive through","Town Center at Target (SW Corner),3","7:35:09","7:35:09","7:27:45","7:27:45","0:07:24","0:07:24","8.41","8.15","8.20","","20.07","24.76"
"17","Stop","Town Center & Menards (SW Corner),3","7:35:22","7:35:33","7:28:15","7:28:15","0:07:07","0:07:18","8.48","8.29","8.27","","19.97","19.97"
"18","Stop","Town Center & Moreland (SW Corner),3","7:35:54","7:36:20","7:28:45","7:28:45","0:07:09","0:07:35","8.60","8.41","8.39","","20.14","20.14"
"19","Stop without doors","","7:36:43","7:36:50","","","","","8.73","","8.52","","","20.53"
"20","Stop","Market Place West (East Side),2","7:37:32","7:37:38","7:30:05","7:30:05","0:07:27","0:07:33","8.91","8.75","8.70","","15.63","15.56"
"21","Stop","Mkt Plc North Ent. & Market,3","7:39:16","7:39:26","7:31:50","7:31:50","0:07:26","0:07:36","9.39","9.22","9.18","","17.51","17.51"
"22","Drive through","Market & Paul (NW Corner),4","7:40:15","7:40:15","7:32:50","7:32:50","0:07:25","0:07:25","9.77","9.58","9.56","","28.08","28.08"
"23","Drive through","Market & Marketview (NW Corner),4","7:40:49","7:40:49","7:33:45","7:33:45","0:07:04","0:07:04","10.10","9.89","9.89","","35.07","35.07"
