"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Additional trip","Line ILLINI, Block 2292","","9:38:03","","9:40:00","","","9.13","","0.00","Pattern: 22N ILLINI 10","",""
"2","Stop without doors","","9:38:03","9:38:03","","","","","9.13","","0.00","","",""
"3","Stop without doors","","9:39:05","9:39:36","","","","","9.34","","0.21","","","12.13"
"4","Stop","ARC (North Side),2","9:41:08","9:41:08","9:40:00","9:40:00","0:01:08","0:01:08","9.74","0.00","0.61","","0.00","15.52"
"5","Stop","First & Stadium (SE Corner),2","9:41:29","9:42:04","9:40:55","9:40:55","0:00:34","0:01:09","9.81","0.22","0.68","","11.51","11.51"
"6","Stop","First & Gregory (SE Corner),2","9:42:31","9:42:43","9:41:35","9:41:35","0:00:56","0:01:08","9.90","0.30","0.77","","12.43","12.43"
"7","Stop","First & Armory (NE Far Side),5","9:43:11","9:43:39","9:42:35","9:42:35","0:00:36","0:01:04","10.01","0.42","0.88","","14.55","14.55"
"8","Stop","First & Daniel (SE Far Side),6","9:44:20","9:44:20","9:43:32","9:43:32","0:00:48","0:00:48","10.19","0.56","1.06","","15.61","15.61"
"9","Trip","Line YELLOW, Block 18","","11:02:07","","11:02:00","","","15.24","","0.00","Pattern: YELLOW 7","","0.00"
"10","Stop","Lot E-14 (North Shelter),2","11:02:07","11:02:07","11:02:00","11:02:00","0:00:07","0:00:07","15.24","0.00","0.00","","0.00",""
"11","Drive through","Kirby & Oak (SE Corner),2","11:02:59","11:02:59","11:02:23","11:02:23","0:00:36","0:00:36","15.45","0.20","0.22","","14.85","14.85"
"12","Stop","First & Stadium (SE Corner),2","11:04:21","11:04:37","11:03:40","11:03:40","0:00:41","0:00:57","15.89","0.68","0.66","","19.37","19.37"
"13","Stop","First & Gregory (SE Corner),2","11:04:58","11:05:11","11:04:00","11:04:00","0:00:58","0:01:11","15.99","0.76","0.75","","15.98","15.98"
"14","Stop","Gregory at Ikenberry Commons (South),1","11:05:59","11:06:25","11:05:20","11:05:20","0:00:39","0:01:05","16.20","0.98","0.97","","16.22","16.22"
"15","Stop without doors","","11:06:37","11:07:38","","","","","16.26","","1.02","","","16.04"
"16","Stop","Fourth & Armory (SE Corner),2","11:08:18","11:08:34","11:06:30","11:06:30","0:01:48","0:02:04","16.34","1.13","1.11","","4.46","7.78"
"17","Stop","Armory & Wright (South Side),3","11:09:46","11:10:03","11:09:00","11:09:00","0:00:46","0:01:03","16.58","1.37","1.35","","12.00","12.00"
"18","Stop","Transit Plaza (SE Platform),4","11:10:59","11:11:23","11:11:00","11:11:00","-0:00:01","0:00:23","16.79","1.57","1.56","","13.43","13.43"
"19","Stop without doors","","11:12:17","11:13:03","","","","","16.91","","1.68","","","7.79"
"20","Stop","Wright & Healey (East Side),2","11:13:32","11:13:44","11:14:00","11:14:00","-0:00:28","-0:00:16","16.97","1.79","1.74","","5.07","8.03"
"21","Stop without doors","","11:14:34","11:14:42","","","","","17.20","","1.96","","","16.02"
"22","Drive through","White & Wright (SE Corner),2","11:14:46","11:14:46","11:15:00","11:15:00","-0:00:14","-0:00:14","17.20","2.00","1.97","","13.39","7.28"
"23","Stop","White Street Mid-Block (North Side),2","11:15:26","11:15:41","11:16:20","11:16:20","-0:00:54","-0:00:39","17.41","2.20","2.17","","18.40","18.40"
"24","Stop without doors","","11:15:50","11:16:07","","","","","17.43","","2.20","","","9.45"
"25","Stop","White & Second (NE Corner),1","11:16:50","11:17:35","11:17:20","11:17:20","-0:00:30","0:00:15","17.61","2.43","2.38","","10.80","15.35"
"26","Drive through","White & First (NE Corner),1","11:17:53","11:17:53","11:17:50","11:17:50","0:00:03","0:00:03","17.71","2.51","2.47","","18.65","18.65"
"27","Stop","Illinois Terminal (Platform C),5","11:19:18","11:20:27","11:20:00","11:20:00","-0:00:42","0:00:27","17.97","2.78","2.74","","11.19","11.19"
"28","Stop without doors","","11:21:03","11:21:12","","","","","18.06","","2.82","","","8.58"
"29","Drive through","Walnut & Logan (NE Corner),1","11:21:22","11:21:22","11:20:54","11:20:54","0:00:28","0:00:28","18.08","2.90","2.84","","6.80","6.49"
"30","Stop without doors","","11:21:43","11:22:23","","","","","18.11","","2.87","","","5.44"
"31","Drive through","Walnut & University (SE Corner),2","11:22:37","11:22:37","11:21:12","11:21:12","0:01:25","0:01:25","18.15","2.98","2.91","","3.35","9.75"
"32","Drive through","Main & Walnut (SE Corner),2","11:22:55","11:22:55","11:21:48","11:21:48","0:01:07","0:01:07","18.25","3.08","3.02","","21.88","21.88"
"33","Drive through","Walnut & Washington (SE Corner),2","11:23:16","11:23:16","11:22:36","11:22:36","0:00:40","0:00:40","18.42","3.24","3.19","","28.13","28.13"
"34","Drive through","Walnut & Columbia (SE Corner),2","11:23:36","11:23:36","11:22:54","11:22:54","0:00:42","0:00:42","18.49","3.32","3.26","","13.43","13.43"
"35","Drive through","Neil & Columbia (NE Corner),1","11:23:54","11:23:54","11:23:30","11:23:30","0:00:24","0:00:24","18.62","3.44","3.39","","25.48","25.48"
"36","Stop","Randolph & Columbia (NE Corner),1","11:24:07","11:24:15","11:23:48","11:23:48","0:00:19","0:00:27","18.67","3.53","3.43","","12.74","12.74"
"37","Stop","Randolph & Vine (SE Corner),2","11:24:32","11:24:45","11:24:06","11:24:06","0:00:26","0:00:39","18.73","3.60","3.49","","12.90","12.90"
"38","Stop with doors","","11:25:06","11:25:07","","","","","18.82","","3.59","","","16.30"
"39","Drive through","Randolph & Tremont (East Side),2","11:25:28","11:25:28","11:25:12","11:25:12","0:00:16","0:00:16","18.92","3.77","3.69","","16.08","16.62"
"40","Drive through","Randolph & Eureka (East Side),2","11:25:38","11:25:38","11:25:40","11:25:40","-0:00:02","-0:00:02","18.98","3.83","3.75","","22.82","22.82"
"41","Stop","Randolph & Beardsley (SE),2","11:25:52","11:27:06","11:26:08","11:26:08","-0:00:16","0:00:58","19.02","3.89","3.79","","10.39","10.39"
"42","Drive through","Randolph & Bradley (SE Corner),2","11:27:27","11:27:27","11:26:26","11:26:26","0:01:01","0:01:01","19.09","3.94","3.86","","11.72","11.72"
"43","Drive through","Bradley & Neil (SW Corner),3","11:27:41","11:27:41","11:26:44","11:26:44","0:00:57","0:00:57","19.17","4.02","3.94","","21.10","21.10"
"44","Drive through","Bradley & Hickory (SW Corner),3","11:27:50","11:27:50","11:27:02","11:27:02","0:00:48","0:00:48","19.24","4.09","4.01","","27.35","27.35"
"45","Drive through","Bradley & Champaign (SW Corner),3","11:28:23","11:28:23","11:27:38","11:27:38","0:00:45","0:00:45","19.37","4.22","4.14","","14.38","14.38"
"46","Drive through","Market & Garwood (SE Corner),2","11:28:57","11:28:57","11:28:05","11:28:05","0:00:52","0:00:52","19.52","4.36","4.29","","15.99","15.99"
"47","Drive through","Market & Roper (NE Far Side),5","11:29:16","11:29:16","11:28:41","11:28:41","0:00:35","0:00:35","19.67","4.51","4.44","","28.26","28.26"
"48","Stop","Market & Tulip Tree (SE Corner),2","11:29:39","11:30:19","11:29:38","11:29:38","0:00:01","0:00:41","19.80","4.68","4.57","","20.14","20.14"
"49","Drive through","Barnes & Noble Books (East Side),2","11:30:48","11:30:48","11:30:34","11:30:34","0:00:14","0:00:14","20.06","4.91","4.83","","31.86","31.86"
