"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ORANGE, Block 602","","6:46:01","","6:52:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:46:01","6:46:01","","","","","0.00","","","","",""
"3","Stop with doors","","6:46:57","6:46:57","","","","","0.02","","","","","0.92"
"4","Trip","Line ORANGE, Block 602","","6:50:59","","6:52:00","","","0.10","","0.00","Pattern: [@2.0.86175868@]ORANGE 24","","0.00"
"5","Drive through","West Pull Out,1","6:50:59","6:50:59","6:52:15","6:52:15","-0:01:16","-0:01:16","0.10","0.00","0.00","","0.00",""
"6","Stop without doors","","6:51:32","6:52:03","","","","","0.18","","0.08","","","8.55"
"7","Stop with doors","","6:52:27","6:52:28","","","","","0.26","","0.16","","","11.38"
"8","Stop without doors","","6:54:28","6:56:42","","","","","0.96","","0.87","","","21.24"
"9","Stop","Lincoln Square Garage East,1","6:56:58","6:56:58","6:55:00","6:55:00","0:01:58","0:01:58","1.04","0.80","0.94","","9.36","15.94"
"10","Trip","Line ORANGE, Block 602","","6:57:20","","6:55:00","","","1.04","","0.00","Pattern: [@2.0.86175868@]ORANGE 14","","0.00"
"11","Stop","Lincoln Square Garage East,1","6:57:20","6:57:20","6:55:00","6:55:00","0:02:20","0:02:20","1.04","0.00","0.00","","0.00",""
"12","Stop with doors","","6:58:33","6:58:55","","","","","1.25","","0.22","","","10.70"
"13","Stop without doors","","6:59:26","6:59:39","","","","","1.38","","0.35","","","14.51"
"14","Drive through","Vine & Water (SE Corner),2","6:59:58","6:59:58","6:57:40","6:57:40","0:02:18","0:02:18","1.47","0.44","0.44","","10.01","18.49"
"15","Drive through","University & Vine (SE Corner),2","7:00:38","7:00:38","6:58:20","6:58:20","0:02:18","0:02:18","1.66","0.63","0.63","","16.45","16.45"
"16","Drive through","University & Maple (SW Corner),3","7:00:56","7:00:56","6:58:50","6:58:50","0:02:06","0:02:06","1.79","0.77","0.76","","27.47","27.47"
"17","Drive through","University & Sycamore (South Side),3","7:01:07","7:01:07","6:59:05","6:59:05","0:02:02","0:02:02","1.89","0.87","0.86","","30.51","30.51"
"18","Drive through","University & Hickory (South Side),3","7:01:27","7:01:27","6:59:40","6:59:40","0:01:47","0:01:47","2.06","1.04","1.03","","31.66","31.66"
"19","Stop","University & Cottage Grove (SW Corner),3","7:01:40","7:01:53","7:00:00","7:00:00","0:01:40","0:01:53","2.10","1.12","1.07","","10.67","10.67"
"20","Drive through","Ambucs Park (South Side),1","7:02:18","7:02:18","7:00:35","7:00:35","0:01:43","0:01:43","2.32","1.31","1.29","","31.77","31.77"
"21","Drive through","University & Lierman (NE Far Side),5","7:02:49","7:02:49","7:01:10","7:01:10","0:01:39","0:01:39","2.50","1.48","1.47","","21.00","21.00"
"22","Drive through","Butzow & Lierman (SE Corner),2","7:03:14","7:03:14","7:02:00","7:02:00","0:01:14","0:01:14","2.60","1.58","1.57","","13.34","13.34"
"23","Drive through","Butzow at Guardian West (NE Corner),1","7:03:45","7:03:45","7:02:25","7:02:25","0:01:20","0:01:20","2.78","1.76","1.75","","21.58","21.58"
"24","Drive through","Guardian Dr. & Butzow (SW Corner),3","7:04:15","7:04:15","7:02:45","7:02:45","0:01:30","0:01:30","2.91","1.90","1.88","","15.44","15.44"
"25","Drive through","U.S. 150 & University (NW Corner),4","7:04:21","7:04:21","7:03:00","7:03:00","0:01:21","0:01:21","2.93","1.96","1.90","","11.94","11.94"
"26","Stop without doors","","7:04:28","7:05:33","","","","","2.94","","1.91","","","3.84"
