"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Trip","Line GREEN EXPRESS, Block 14","","6:18:57","","6:16:00","","","0.16","","0.00","Pattern: GREEN EX 49","",""
"2","Stop with doors","","6:18:57","6:18:57","","","","","0.16","","0.00","","",""
"3","Stop without doors","","6:20:59","6:21:06","","","","","1.05","","0.89","","","26.00"
"4","Stop without doors","","6:21:50","6:21:59","","","","","1.31","","1.15","","","21.36"
"5","Stop without doors","","6:24:55","6:25:07","","","","","2.56","","2.40","","","25.72"
"6","Stop without doors","","6:28:39","6:29:11","","","","","4.58","","4.42","","","34.23"
"7","Stop without doors","","6:31:02","6:31:14","","","","","5.59","","5.43","","","32.67"
"8","Stop without doors","","6:33:07","6:33:22","","","","","6.58","","6.42","","","31.56"
"9","Stop","Curtis & Wynstone (NE Corner),1","6:36:25","6:36:25","6:36:00","6:36:00","0:00:25","0:00:25","8.19","0.00","8.03","","0.00","31.79"
"10","Trip","Line GREEN EXPRESS, Block 14","","6:36:31","","6:36:00","","","8.19","","0.00","Pattern: GREEN EX 1","","0.00"
"11","Stop","Curtis & Wynstone (NE Corner),1","6:36:31","6:36:31","6:36:00","6:36:00","0:00:31","0:00:31","8.19","0.00","0.00","","0.00",""
"12","Drive through","Cherry Hills & Curtis (NE Far Side),5","6:37:05","6:37:05","6:36:00","6:36:00","0:01:05","0:01:05","8.41","0.36","0.22","","22.83","22.83"
"13","Stop","Cherry Hills & Pine Valley (SE Corner),2","6:37:27","6:37:48","6:36:50","6:36:50","0:00:37","0:00:58","8.55","0.53","0.36","","22.98","22.98"
"14","Drive through","Timbergate & Cherry Hills (SE Corner),2","6:38:29","6:38:29","6:37:40","6:37:40","0:00:49","0:00:49","8.79","0.75","0.60","","20.96","20.96"
"15","Drive through","Wedgewood & Timbergate (SE Corner),2","6:39:06","6:39:06","6:38:30","6:38:30","0:00:36","0:00:36","8.97","0.93","0.79","","18.20","18.20"
"16","Drive through","Lakeview & Wedgewood (SW Corner),3","6:39:32","6:39:32","6:39:20","6:39:20","0:00:12","0:00:12","9.11","1.07","0.92","","18.24","18.24"
"17","Drive through","Lakeview & Worthington (SE Corner),2","6:39:46","6:39:46","6:40:00","6:40:00","-0:00:14","-0:00:14","9.21","1.17","1.02","","25.73","25.73"
