"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line GREEN, Block 504","","6:45:39","","7:05:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:45:39","6:45:39","","","","","0.00","","","","",""
"3","Depot","MTD Garage","6:48:53","6:48:53","7:05:00","7:05:00","-0:16:07","-0:16:07","0.02","0.00","0.00","","0.00","0.33"
"4","Drive through","MTD Garage,1","6:55:52","6:55:52","7:05:00","7:05:00","-0:09:08","-0:09:08","0.08","0.01","0.00","","0.52","0.52"
"5","Trip","Line GREEN, Block 504","","6:55:52","","7:05:00","","","0.08","","0.00","Pattern: [@15.0.73007320@]13","","0.00"
"6","Drive through","MTD Garage,1","6:55:52","6:55:52","7:05:00","7:05:00","-0:09:08","-0:09:08","0.08","0.00","0.00","","0.00",""
"7","Drive through","East Pull Out,3","7:01:39","7:01:39","7:05:30","7:05:30","-0:03:51","-0:03:51","0.27","0.06","0.19","","1.92","1.92"
"8","Stop without doors","","7:07:57","7:14:45","","","","","3.75","","3.68","","","33.23"
"9","Drive through","Cyprus Point & Stillwater Landing (SE),2","7:16:30","7:16:30","7:15:00","7:15:00","0:01:30","0:01:30","4.15","3.92","4.07","","15.69","13.51"
"10","Trip","Line GREEN, Block 504","","7:16:30","","7:15:00","","","4.15","","0.00","Pattern: [@15.0.63192321@]25","","0.00"
"11","Drive through","Cyprus Point & Stillwater Landing (SE),2","7:16:30","7:16:30","7:15:00","7:15:00","0:01:30","0:01:30","4.15","0.00","0.00","","0.00",""
"12","Drive through","Stone Creek & Stillwater Landing (NE),1","7:16:46","7:16:46","7:15:30","7:15:30","0:01:16","0:01:16","4.25","0.12","0.11","","22.51","22.51"
"13","Drive through","Stone Creek & Venturi (SE Corner),2","7:17:21","7:17:21","7:16:25","7:16:25","0:00:56","0:00:56","4.46","0.33","0.32","","21.86","21.86"
"14","Stop","Stone Creek & Bohn (SE Corner),2","7:17:58","7:18:14","7:17:40","7:17:40","0:00:18","0:00:34","4.63","0.65","0.48","","15.97","15.97"
"15","Stop","Florida & Smith (SE Corner),2","7:19:13","7:19:30","7:18:40","7:18:40","0:00:33","0:00:50","4.90","0.96","0.76","","16.72","16.72"
"16","Drive through","Florida & Bermuda (NE Corner),1","7:19:59","7:19:59","7:19:15","7:19:15","0:00:44","0:00:44","5.09","1.13","0.95","","23.61","23.61"
"17","Drive through","Florida & Kinch (NE Corner),1","7:20:14","7:20:14","7:19:35","7:19:35","0:00:39","0:00:39","5.20","1.24","1.05","","25.36","25.36"
"18","Drive through","Florida & Curtiss (NE Corner),1","7:20:28","7:20:28","7:20:05","7:20:05","0:00:23","0:00:23","5.29","1.34","1.15","","25.57","25.57"
"19","Stop","Florida & James Cherry (NE Corner),1","7:20:47","7:21:02","7:20:40","7:20:40","0:00:07","0:00:22","5.38","1.45","1.24","","16.25","16.25"
"20","Drive through","Florida & Adams (NE Corner),1","7:21:34","7:21:34","7:21:20","7:21:20","0:00:14","0:00:14","5.60","1.64","1.45","","24.47","24.47"
"21","Stop","Florida & Philo (NE Corner),1","7:21:51","7:22:31","7:22:00","7:22:00","-0:00:09","0:00:31","5.66","1.73","1.51","","12.64","12.64"
"22","Drive through","Sunnycrest Mall (North Side),2","7:22:47","7:22:47","7:22:31","7:22:31","0:00:16","0:00:16","5.77","1.83","1.63","","25.45","25.45"
"23","Drive through","Florida & Linden (NE Corner),1","7:22:57","7:22:57","7:22:54","7:22:54","0:00:03","0:00:03","5.84","1.89","1.70","","25.06","25.06"
"24","Stop","Florida & Cottage Grove (NE Corner),1","7:23:15","7:23:25","7:23:21","7:23:21","-0:00:06","0:00:04","5.92","2.00","1.77","","15.66","15.66"
"25","Drive through","Cottage Grove & Penn (SE Corner),2","7:23:57","7:23:57","7:23:51","7:23:51","0:00:06","0:00:06","6.06","2.12","1.91","","15.52","15.52"
"26","Drive through","Pennsylvania Ct. (South Side),1","7:24:10","7:24:10","7:24:18","7:24:18","-0:00:08","-0:00:08","6.14","2.22","1.99","","22.72","22.72"
"27","Drive through","Penn & Anderson (NE Corner),1","7:24:46","7:24:46","7:24:45","7:24:45","0:00:01","0:00:01","6.30","2.38","2.15","","16.04","16.04"
"28","Drive through","Anderson & Michigan (SE Corner),2","7:24:53","7:24:53","7:25:12","7:25:12","-0:00:19","-0:00:19","6.34","2.43","2.20","","21.42","21.42"
"29","Stop","Anderson & Fairlawn (NW Far Side),8","7:25:24","7:25:33","7:25:42","7:25:42","-0:00:18","-0:00:09","6.46","2.57","2.31","","13.71","13.71"
"30","Stop","Fairlawn (North Side),2","7:25:52","7:26:05","7:26:09","7:26:09","-0:00:17","-0:00:04","6.54","2.69","2.40","","15.31","15.31"
"31","Stop","Vine & Fairlawn (NE Corner),1","7:26:38","7:26:56","7:26:36","7:26:36","0:00:02","0:00:20","6.69","2.80","2.54","","16.27","16.27"
"32","Drive through","Vine & Washington (SE Corner),2","7:27:34","7:27:34","7:27:03","7:27:03","0:00:31","0:00:31","6.83","2.93","2.68","","13.13","13.13"
"33","Drive through","Vine & Oregon (SE Corner),2","7:27:53","7:27:53","7:27:38","7:27:38","0:00:15","0:00:15","6.97","3.09","2.82","","26.73","26.73"
"34","Drive through","Vine & Illinois (SE Corner),2","7:28:08","7:28:08","7:28:08","7:28:08","0:00:00","0:00:00","7.07","3.19","2.92","","24.01","24.01"
"35","Drive through","Vine & Green (SE Corner),2","7:28:25","7:28:25","7:28:35","7:28:35","-0:00:10","-0:00:10","7.17","3.30","3.03","","21.98","21.98"
"36","Stop","Lincoln Square Garage South,8","7:29:30","7:31:29","7:30:00","7:31:00","-0:00:30","0:00:29","7.39","3.53","3.25","","12.22","12.22"
"37","Stop","Green & Race (NW Corner),4","7:32:01","7:32:08","7:32:00","7:32:00","0:00:01","0:00:08","7.48","3.62","3.33","","9.30","9.30"
"38","Stop","Green & Cedar (NE Corner),1","7:32:35","7:32:41","7:32:30","7:32:30","0:00:05","0:00:11","7.56","3.70","3.41","","10.78","10.78"
"39","Stop","Green & Birch (NE Corner),1","7:33:02","7:33:10","7:33:00","7:33:00","0:00:02","0:00:10","7.63","3.78","3.49","","13.21","13.21"
"40","Stop","Green & Orchard (NE Corner),1","7:33:41","7:33:55","7:34:00","7:34:00","-0:00:19","-0:00:05","7.78","3.92","3.63","","16.75","16.75"
"41","Stop","Green & Busey (NE Corner),1","7:34:30","7:34:41","7:35:00","7:35:00","-0:00:30","-0:00:19","7.94","4.09","3.80","","17.13","17.13"
"42","Stop without doors","","7:34:59","7:35:08","","","","","8.02","","3.87","","","14.92"
"43","Drive through","Green & Gregory (NW Far Side),1","7:35:29","7:35:29","7:36:00","7:36:00","-0:00:31","-0:00:31","8.13","4.24","3.99","","13.94","19.07"
"44","Stop","Green & Goodwin (NW Far Side),8","7:36:21","7:36:31","7:37:00","7:37:00","-0:00:39","-0:00:29","8.33","4.47","4.19","","14.03","14.03"
"45","Stop","Illini Union (North Side Shelter),2","7:37:00","7:38:05","7:39:00","7:39:00","-0:02:00","-0:00:55","8.45","4.61","4.31","","14.81","14.81"
"46","Stop without doors","","7:38:16","7:39:11","","","","","8.52","","4.38","","","22.78"
"47","Stop","Transit Plaza (NW Platform),1","7:40:07","7:40:33","7:40:00","7:40:00","0:00:07","0:00:33","8.65","4.84","4.51","","5.91","8.39"
"48","Stop without doors","","7:40:59","7:41:06","","","","","8.74","","4.60","","","12.57"
"49","Stop","Wright & Chalmers (NW Corner),4","7:41:18","7:41:26","7:40:20","7:40:20","0:00:58","0:01:06","8.76","4.94","4.61","","8.36","4.11"
"50","Stop","Sixth & Armory (NW Corner),4","7:42:12","7:42:58","7:41:00","7:41:00","0:01:12","0:01:58","8.92","5.12","4.77","","12.60","12.60"
"51","Stop without doors","","7:43:18","7:43:31","","","","","9.01","","4.86","","","16.00"
"52","Stop","Sixth & Peabody (NW Corner),4","7:44:11","7:44:42","7:41:40","7:41:40","0:02:31","0:03:02","9.19","5.39","5.04","","13.30","16.28"
"53","Drive through","Pennsylvania & Sixth (NW Corner),4","7:45:02","7:45:02","7:42:00","7:42:00","0:03:02","0:03:02","9.27","5.45","5.13","","14.99","14.99"
"54","Dead run inter","Line GREEN, Block 504","","7:45:02","","7:42:00","","","9.27","","0.00","Pattern: [PA6TH:4][RNDBRNRD:2]","","0.00"
"55","Drive through","Pennsylvania & Sixth (NW Corner),4","7:45:02","7:45:02","7:42:00","7:42:00","0:03:02","0:03:02","9.27","0.00","0.00","","0.00",""
"56","Stop with doors","","7:45:31","7:45:50","","","","","9.41","","0.14","","","17.21"
"57","Stop without doors","","7:47:53","7:48:07","","","","","10.10","","0.84","","","20.39"
"58","Stop without doors","","7:52:15","7:52:54","","","","","11.80","","2.53","","","24.57"
"59","Stop","Round Barn Road (North Side),2","7:55:42","7:55:42","7:54:00","7:54:00","0:01:42","0:01:42","13.07","3.50","3.81","","21.40","27.34"
"60","Trip","Line BLUE, Block 504","","7:56:46","","7:55:00","","","13.07","","0.00","Pattern: BLUE 51","","0.00"
"61","Stop","Round Barn Road (North Side),2","7:56:46","7:56:46","7:55:00","7:55:00","0:01:46","0:01:46","13.07","0.00","0.00","","0.00",""
"62","Drive through","Round Barn Manor (West Side),1","7:56:48","7:56:48","7:56:05","7:56:05","0:00:43","0:00:43","13.19","0.12","0.12","","213.63","213.63"
"63","Drive through","Crescent & John (NW Corner),4","7:58:11","7:58:11","7:56:35","7:56:35","0:01:36","0:01:36","13.26","0.19","0.20","","3.16","3.16"
"64","Stop","Crescent & William (West Side),4","7:59:32","7:59:46","7:57:35","7:57:35","0:01:57","0:02:11","13.51","0.42","0.44","","10.80","10.80"
"65","Drive through","Crescent & Sangamon (NW Corner),4","8:00:38","8:00:38","7:58:35","7:58:35","0:02:03","0:02:03","13.75","0.67","0.68","","16.48","16.48"
"66","Drive through","Crescent & Greendale (West Side),4","8:01:00","8:01:00","7:59:20","7:59:20","0:01:40","0:01:40","13.91","0.82","0.84","","26.24","26.24"
"67","Stop with doors","","8:01:15","8:01:29","","","","","13.97","","0.90","","","14.32"
"68","Drive through","Kirby & Crescent (NW Corner),4","8:01:40","8:01:40","8:00:00","8:00:00","0:01:40","0:01:40","13.99","0.95","0.93","","7.89","9.16"
"69","Drive through","Kirby & Rosewood (South Side),3","8:02:15","8:02:15","8:00:20","8:00:20","0:01:55","0:01:55","14.11","1.05","1.04","","12.15","12.15"
"70","Drive through","Kirby & Mattis (SW Corner),3","8:02:34","8:02:34","8:00:40","8:00:40","0:01:54","0:01:54","14.25","1.19","1.18","","26.61","26.61"
"71","Stop without doors","","8:02:46","8:03:02","","","","","14.27","","1.20","","","5.97"
"72","Drive through","Mattis & Princeton (SE Corner),2","8:03:20","8:03:20","8:01:30","8:01:30","0:01:50","0:01:50","14.35","1.30","1.28","","7.74","15.79"
"73","Drive through","Mattis & Sangamon (SE Corner),2","8:03:46","8:03:46","8:02:30","8:02:30","0:01:16","0:01:16","14.59","1.52","1.52","","32.96","32.96"
