"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Trip","Line ORANGE, Block 603","","7:20:11","","7:15:00","","","0.20","","0.00","Pattern: [@2.0.86175868@]56","",""
"2","Stop","MTD Garage,1","7:20:11","7:20:11","7:15:00","7:15:00","0:05:11","0:05:11","0.20","0.00","0.00","","0.00",""
"3","Stop without doors","","7:21:04","7:21:56","","","","","0.56","","0.37","","","24.82"
"4","Stop without doors","","7:23:40","7:24:33","","","","","1.33","","1.14","","","26.70"
"5","Stop","Illinois Terminal (Platform A),1","7:27:23","7:27:23","7:25:00","7:25:00","0:02:23","0:02:23","2.56","2.38","2.37","","19.70","25.98"
"6","Trip","Line ORANGE, Block 603","","7:27:46","","7:25:00","","","2.56","","0.00","Pattern: [@2.0.86175868@]ORANGE 16","","0.00"
"7","Stop","Illinois Terminal (Platform A),1","7:27:46","7:27:46","7:25:00","7:25:00","0:02:46","0:02:46","2.56","0.00","0.00","","0.00",""
"8","Stop with doors","","7:28:00","7:28:54","","","","","2.64","","0.09","","","20.78"
"9","Stop","University & Second (SE Far Side),6","7:29:40","7:29:50","7:26:49","7:26:49","0:02:51","0:03:01","2.98","0.44","0.42","","13.15","26.26"
"10","Drive through","University & Fourth (SW Corner),3","7:30:38","7:30:38","7:27:39","7:27:39","0:02:59","0:02:59","3.16","0.60","0.60","","13.66","13.66"
"11","Drive through","University & Sixth (SW Corner),3","7:31:00","7:31:00","7:28:29","7:28:29","0:02:31","0:02:31","3.33","0.76","0.78","","28.68","28.68"
"12","Stop without doors","","7:31:12","7:31:30","","","","","3.38","","0.83","","","14.36"
"13","Drive through","Park & Wright (SE Corner),2","7:31:54","7:31:54","7:28:54","7:28:54","0:03:00","0:03:00","3.48","0.92","0.93","","9.95","15.20"
"14","Drive through","Park & Romine (SW Corner),3","7:32:18","7:32:18","7:29:19","7:29:19","0:02:59","0:02:59","3.56","1.00","1.00","","11.56","11.56"
"15","Drive through","Goodwin & Park (SW Corner),3","7:32:51","7:32:51","7:30:09","7:30:09","0:02:42","0:02:42","3.74","1.16","1.18","","19.05","19.05"
"16","Stop with doors","","7:32:58","7:34:33","","","","","3.75","","1.19","","","6.72"
"17","Drive through","University & Harvey (SE Far Side),6","7:34:54","7:34:54","7:30:39","7:30:39","0:04:15","0:04:15","3.89","1.35","1.33","","4.42","23.65"
"18","Drive through","Lincoln & Park (SE Corner),2","7:35:32","7:35:32","7:31:09","7:31:09","0:04:23","0:04:23","4.08","1.54","1.52","","18.31","18.31"
"19","Drive through","Church & Busey (SW Corner),3","7:36:10","7:36:10","7:31:39","7:31:39","0:04:31","0:04:31","4.27","1.74","1.72","","18.43","18.43"
"20","Drive through","Coler & Church (SW Corner),3","7:36:24","7:36:24","7:32:09","7:32:09","0:04:15","0:04:15","4.33","1.80","1.77","","13.59","13.59"
"21","Drive through","Church & Orchard (SW Corner),3","7:36:45","7:36:45","7:33:00","7:33:00","0:03:45","0:03:45","4.40","1.87","1.84","","12.47","12.47"
"22","Drive through","Park & Central (SW Corner),3","7:37:27","7:37:27","7:34:04","7:34:04","0:03:23","0:03:23","4.63","2.09","2.08","","20.14","20.14"
"23","Stop","Broadway & Park (SW Corner),3","7:37:49","7:38:02","7:35:08","7:35:08","0:02:41","0:02:54","4.76","2.27","2.20","","20.65","20.65"
"24","Stop without doors","","7:38:12","7:39:39","","","","","4.80","","2.25","","","15.22"
"25","Drive through","Broadway & University (SW Far Side),7","7:39:52","7:39:52","7:35:48","7:35:48","0:04:04","0:04:04","4.88","2.37","2.32","","3.91","21.34"
"26","Drive through","Save A Lot (West Side),1","7:40:18","7:40:18","7:36:18","7:36:18","0:04:00","0:04:00","5.00","2.48","2.45","","16.95","16.95"
"27","Stop without doors","","7:40:34","7:40:58","","","","","5.08","","2.52","","","17.34"
"28","Stop","Lincoln Square Garage East,1","7:41:14","7:41:14","7:38:00","7:38:00","0:03:14","0:03:14","5.12","2.64","2.56","","7.23","7.97"
"29","Trip","Line ORANGE, Block 603","","7:43:52","","7:40:00","","","5.12","","0.00","Pattern: [@2.0.86175868@]ORANGE 14","","0.00"
"30","Stop","Lincoln Square Garage East,1","7:43:52","7:43:52","7:40:00","7:40:00","0:03:52","0:03:52","5.12","0.00","0.00","","0.00",""
"31","Drive through","Vine & Water (SE Corner),2","7:45:28","7:45:28","7:41:55","7:41:55","0:03:33","0:03:33","5.58","0.44","0.47","","17.41","17.41"
"32","Drive through","University & Vine (SE Corner),2","7:45:54","7:45:54","7:42:50","7:42:50","0:03:04","0:03:04","5.74","0.63","0.63","","22.72","22.72"
"33","Drive through","University & Maple (SW Corner),3","7:46:09","7:46:09","7:43:20","7:43:20","0:02:49","0:02:49","5.87","0.77","0.76","","31.02","31.02"
"34","Drive through","University & Sycamore (South Side),3","7:46:19","7:46:19","7:43:50","7:43:50","0:02:29","0:02:29","5.97","0.87","0.86","","34.01","34.01"
"35","Drive through","University & Hickory (South Side),3","7:46:36","7:46:36","7:44:40","7:44:40","0:01:56","0:01:56","6.15","1.04","1.04","","38.56","38.56"
"36","Drive through","University & Cottage Grove (SW Corner),3","7:46:42","7:46:42","7:45:00","7:45:00","0:01:42","0:01:42","6.21","1.12","1.10","","38.41","38.41"
"37","Drive through","Ambucs Park (South Side),1","7:47:01","7:47:01","7:45:35","7:45:35","0:01:26","0:01:26","6.42","1.31","1.31","","39.45","39.45"
"38","Drive through","University & Lierman (NE Far Side),5","7:47:42","7:47:42","7:46:10","7:46:10","0:01:32","0:01:32","6.59","1.48","1.48","","14.79","14.79"
"39","Stop without doors","","7:47:47","7:50:41","","","","","6.59","","1.48","","","3.58"
"40","Drive through","Butzow & Lierman (SE Corner),2","7:51:11","7:51:11","7:47:00","7:47:00","0:04:11","0:04:11","6.68","1.58","1.57","","1.63","10.74"
"41","Drive through","Butzow at Guardian West (NE Corner),1","7:51:47","7:51:47","7:47:25","7:47:25","0:04:22","0:04:22","6.87","1.76","1.76","","18.89","18.89"
"42","Drive through","Guardian Dr. & Butzow (SW Corner),3","7:52:14","7:52:14","7:48:05","7:48:05","0:04:09","0:04:09","7.00","1.90","1.89","","17.32","17.32"
"43","Drive through","U.S. 150 & University (NW Corner),4","7:52:18","7:52:18","7:48:40","7:48:40","0:03:38","0:03:38","7.02","1.96","1.91","","12.87","12.87"
"44","Stop without doors","","7:52:24","7:53:06","","","","","7.03","","1.92","","","5.97"
"45","Drive through","U.S. 150 & Dale (South Side),3","7:53:39","7:53:39","7:49:40","7:49:40","0:03:59","0:03:59","7.27","2.19","2.16","","11.11","26.17"
"46","Drive through","Smith & U.S. 150 (SW Corner),3","7:53:46","7:53:46","7:50:00","7:50:00","0:03:46","0:03:46","7.32","2.26","2.21","","28.45","28.45"
"47","Stop without doors","","7:54:27","7:54:49","","","","","7.63","","2.52","","","27.34"
"48","Drive through","U.S. 150 & Dodson (NE Far Side),5","7:55:06","7:55:06","7:52:00","7:52:00","0:03:06","0:03:06","7.71","2.62","2.60","","17.26","15.27"
"49","Trip","Line ORANGE, Block 603","","7:55:06","","7:52:00","","","7.71","","0.00","Pattern: [@2.0.86175868@]70","","0.00"
"50","Drive through","U.S. 150 & Dodson (NE Far Side),5","7:55:06","7:55:06","7:52:00","7:52:00","0:03:06","0:03:06","7.71","0.00","0.00","","0.00",""
"51","Drive through","Dodson East & Slayback (SE Corner),2","7:55:45","7:55:45","7:52:40","7:52:40","0:03:05","0:03:05","7.90","0.21","0.20","","17.90","17.90"
"52","Drive through","Slayback & Ira (NW Far Side),8","7:56:10","7:56:10","7:53:00","7:53:00","0:03:10","0:03:10","8.06","0.38","0.36","","23.81","23.81"
"53","Stop","Slayback & McGee (NE Corner),1","7:56:23","7:56:32","7:53:35","7:53:35","0:02:48","0:02:57","8.12","0.47","0.42","","15.49","15.49"
"54","Drive through","Smith & Carrie (NW Corner),4","7:57:06","7:57:06","7:53:55","7:53:55","0:03:11","0:03:11","8.31","0.64","0.61","","19.74","19.74"
"55","Stop without doors","","7:57:21","7:57:44","","","","","8.38","","0.68","","","16.71"
"56","Drive through","Smith & U.S. 150 (NW Corner),4","7:57:52","7:57:52","7:54:10","7:54:10","0:03:42","0:03:42","8.40","0.73","0.70","","7.30","10.63"
"57","Drive through","U.S. 150 & Dale (NE Corner),1","7:58:07","7:58:07","7:54:40","7:54:40","0:03:27","0:03:27","8.52","0.85","0.82","","29.68","29.68"
"58","Stop without doors","","7:58:31","7:59:12","","","","","8.68","","0.98","","","23.40"
"59","Drive through","U.S. 150 & University (NW Far Side),8","7:59:27","7:59:27","7:55:20","7:55:20","0:04:07","0:04:07","8.77","1.08","1.07","","11.08","21.63"
"60","Drive through","University & Lierman (NE Corner),1","7:59:53","7:59:53","7:56:00","7:56:00","0:03:53","0:03:53","9.06","1.36","1.36","","39.93","39.93"
"61","Drive through","Ambucs Park (North Side),2","8:00:05","8:00:05","7:56:30","7:56:30","0:03:35","0:03:35","9.19","1.51","1.49","","40.08","40.08"
"62","Drive through","University & Cottage Grove (NE Corner),1","8:00:24","8:00:24","7:57:00","7:57:00","0:03:24","0:03:24","9.39","1.70","1.69","","38.27","38.27"
"63","Trip","Line ORANGEHOPPER, Block 603","","8:00:24","","7:57:00","","","9.39","","0.00","Pattern: 6WIT->CF HOPPER","","0.00"
"64","Drive through","University & Cottage Grove (NE Corner),1","8:00:24","8:00:24","7:57:00","7:57:00","0:03:24","0:03:24","9.39","0.00","0.00","","0.00",""
"65","Drive through","University & Hickory (NE Corner),1","8:00:30","8:00:30","7:57:15","7:57:15","0:03:15","0:03:15","9.46","0.08","0.07","","39.15","39.15"
"66","Drive through","University & Sycamore (NE Corner),1","8:00:42","8:00:42","7:57:45","7:57:45","0:02:57","0:02:57","9.60","0.25","0.21","","41.20","41.20"
"67","Drive through","University & Maple (NE Corner),1","8:00:50","8:00:50","7:58:00","7:58:00","0:02:50","0:02:50","9.68","0.35","0.30","","39.43","39.43"
"68","Stop without doors","","8:01:10","8:02:13","","","","","9.81","","0.42","","","22.04"
"69","Drive through","University & Vine (SW Far Side),7","8:02:28","8:02:28","7:58:50","7:58:50","0:03:38","0:03:38","9.90","0.55","0.51","","7.79","21.48"
"70","Drive through","Vine & Water (NW Corner),4","8:02:43","8:02:43","7:59:30","7:59:30","0:03:13","0:03:13","10.03","0.68","0.64","","32.96","32.96"
"71","Stop without doors","","8:02:56","8:03:17","","","","","10.07","","0.68","","","11.19"
"72","Drive through","Main & Vine (NW Corner),4","8:03:21","8:03:21","7:59:45","7:59:45","0:03:36","0:03:36","10.08","0.75","0.70","","4.83","9.51"
"73","Stop","Lincoln Square Courthouse,2","8:04:13","8:10:57","8:01:00","8:10:00","0:03:13","0:00:57","10.28","0.97","0.89","","13.25","13.25"
"74","Stop","Save A Lot (East Side),2","8:11:24","8:11:38","8:10:24","8:10:24","0:01:00","0:01:14","10.44","1.14","1.05","","21.46","21.46"
"75","Drive through","Broadway & University (SE Corner),2","8:12:02","8:12:02","8:10:42","8:10:42","0:01:20","0:01:20","10.54","1.23","1.15","","15.57","15.57"
"76","Stop without doors","","8:12:10","8:12:39","","","","","10.55","","1.16","","","5.88"
"77","Drive through","Broadway & Park (NW Far Side),8","8:13:10","8:13:10","8:11:00","8:11:00","0:02:10","0:02:10","10.67","1.36","1.28","","6.98","13.79"
"78","Drive through","Park & Central (NE Corner),1","8:13:30","8:13:30","8:11:39","8:11:39","0:01:51","0:01:51","10.83","1.50","1.44","","27.63","27.63"
"79","Stop","Church & Orchard (NE Corner),1","8:14:21","8:14:45","8:12:21","8:12:21","0:02:00","0:02:24","11.01","1.72","1.63","","13.34","13.34"
"80","Drive through","Coler & Church (NE Corner),1","8:15:08","8:15:08","8:12:47","8:12:47","0:02:21","0:02:21","11.10","1.80","1.71","","13.43","13.43"
"81","Drive through","Church & Busey (NE Corner),1","8:15:18","8:15:18","8:13:08","8:13:08","0:02:10","0:02:10","11.17","1.86","1.78","","23.72","23.72"
"82","Stop without doors","","8:15:39","8:15:56","","","","","11.27","","1.88","","","17.69"
"83","Stop without doors","","8:16:27","8:16:48","","","","","11.37","","1.98","","","11.41"
"84","Drive through","Lincoln & Park (West Side),4","8:16:51","8:16:51","8:13:48","8:13:48","0:03:03","0:03:03","11.37","2.05","1.98","","8.04","7.46"
"85","Drive through","Campus Circle (North Side),2","8:17:18","8:17:18","8:14:36","8:14:36","0:02:42","0:02:42","11.53","2.24","2.15","","21.46","21.46"
"86","Drive through","University & Goodwin (NE Corner),1","8:17:35","8:17:35","8:15:27","8:15:27","0:02:08","0:02:08","11.64","2.36","2.26","","23.30","23.30"
"87","Drive through","Goodwin & Park (NW Far Side),8","8:17:54","8:17:54","8:16:18","8:16:18","0:01:36","0:01:36","11.73","2.45","2.34","","16.02","16.02"
"88","Drive through","Park & Romine (North Side),1","8:18:27","8:18:27","8:17:09","8:17:09","0:01:18","0:01:18","11.88","2.59","2.49","","15.93","15.93"
"89","Stop","Park & Wright (NE Corner),1","8:18:40","8:18:57","8:18:00","8:18:00","0:00:40","0:00:57","11.93","2.68","2.54","","13.94","13.94"
"90","Drive through","University & Sixth (NW Far Side),8","8:19:37","8:19:37","8:18:00","8:18:00","0:01:37","0:01:37","12.11","2.84","2.72","","16.73","16.73"
"91","Drive through","University & Fourth (NE Corner),1","8:20:02","8:20:02","8:19:40","8:19:40","0:00:22","0:00:22","12.27","2.99","2.88","","22.37","22.37"
"92","Drive through","University & Second (NE Corner),1","8:20:26","8:20:26","8:20:30","8:20:30","-0:00:04","-0:00:04","12.46","3.18","3.07","","28.81","28.81"
"93","Stop","Illinois Terminal (Platform A),1","8:21:40","8:21:40","8:22:00","8:22:00","-0:00:20","-0:00:20","12.69","3.45","3.30","","11.22","11.22"
"94","Trip","Line ORANGEHOPPER, Block 603","","8:28:34","","8:25:00","","","13.12","","0.00","Pattern: ORANGEHOPPER 11","","0.00"
"95","Stop","Illinois Terminal (Platform A),1","8:28:34","8:28:34","8:25:00","8:25:00","0:03:34","0:03:34","13.12","0.00","0.00","","0.00",""
"96","Drive through","University & Second (SE Far Side),6","8:30:13","8:30:13","8:26:24","8:26:24","0:03:49","0:03:49","13.59","0.44","0.47","","16.93","16.93"
"97","Drive through","University & Fourth (SW Corner),3","8:30:49","8:30:49","8:27:08","8:27:08","0:03:41","0:03:41","13.75","0.60","0.63","","15.85","15.85"
"98","Drive through","University & Sixth (SW Corner),3","8:31:08","8:31:08","8:27:52","8:27:52","0:03:16","0:03:16","13.91","0.76","0.79","","30.62","30.62"
"99","Drive through","Park & Wright (SE Corner),2","8:31:46","8:31:46","8:28:36","8:28:36","0:03:10","0:03:10","14.06","0.92","0.94","","14.13","14.13"
"100","Stop with doors","","8:31:57","8:32:11","","","","","14.09","","0.97","","","8.75"
