"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line GREEN EXPRESS, Block 506","","6:35:48","","6:45:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:35:48","6:35:48","","","","","0.00","","","","",""
"3","Depot","MTD Garage","6:46:16","6:46:16","6:45:00","6:45:00","0:01:16","0:01:16","0.19","0.00","0.00","","0.00","1.06"
"4","Drive through","MTD Garage,1","6:46:49","6:46:49","6:45:00","6:45:00","0:01:49","0:01:49","0.25","0.01","0.00","","6.51","6.51"
"5","Trip","Line GREEN EXPRESS, Block 506","","6:46:49","","6:45:00","","","0.25","","0.00","Pattern: GREEN EX 49","","0.00"
"6","Drive through","MTD Garage,1","6:46:49","6:46:49","6:45:00","6:45:00","0:01:49","0:01:49","0.25","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","6:46:50","6:46:50","6:45:30","6:45:30","0:01:20","0:01:20","0.26","0.06","0.01","","29.09","29.09"
"8","Stop without doors","","6:50:30","6:51:00","","","","","1.74","","1.50","","","24.29"
"9","Stop without doors","","6:58:28","6:59:26","","","","","5.05","","4.81","","","26.62"
"10","Stop without doors","","7:02:12","7:02:29","","","","","6.60","","6.36","","","33.57"
"11","Stop","Curtis & Wynstone (NE Corner),1","7:05:14","7:05:14","7:05:00","7:05:00","0:00:14","0:00:14","8.06","7.71","7.81","","25.44","31.74"
"12","Trip","Line GREEN EXPRESS ALT, Block 506","","7:05:26","","7:05:00","","","8.06","","0.00","Pattern: [@2.0.84953216@]43","","0.00"
"13","Stop","Curtis & Wynstone (NE Corner),1","7:05:26","7:05:26","7:05:00","7:05:00","0:00:26","0:00:26","8.06","0.00","0.00","","0.00",""
"14","Stop","Duncan & Rolling Acres (SE Far Side),6","7:07:02","7:07:13","7:06:44","7:06:44","0:00:18","0:00:29","8.71","0.66","0.66","","24.49","24.49"
"15","Stop","Rolling Acres & Marjorie (SW Corner),3","7:07:37","7:07:53","7:07:04","7:07:04","0:00:33","0:00:49","8.81","0.78","0.76","","15.76","15.76"
"16","Stop","Rolling Acres & Valkar Dr. (SW Corner),3","7:08:19","7:08:40","7:07:34","7:07:34","0:00:45","0:01:06","8.93","0.89","0.88","","16.27","16.27"
