"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ILLINI, Block 2202","","6:38:39","","6:38:00","","","0.17","","0.00","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:38:39","6:38:39","","","","","0.17","","0.00","","",""
"3","Stop","MTD Garage,1","6:38:39","6:38:39","6:38:00","6:38:00","0:00:39","0:00:39","0.17","0.00","0.00","","0.00",""
"4","Trip","Line ILLINI, Block 2202","","6:38:57","","6:38:00","","","0.17","","0.00","Pattern: ILLINI 47","","0.00"
"5","Stop","MTD Garage,1","6:38:57","6:38:57","6:38:00","6:38:00","0:00:57","0:00:57","0.17","0.00","0.00","","0.00",""
"6","Stop without doors","","6:41:38","6:42:06","","","","","1.32","","1.15","","","25.67"
"7","Stop without doors","","6:42:57","6:43:29","","","","","1.58","","1.41","","","18.16"
"8","Stop","PAR (North Side Shelter),2","6:46:14","6:46:14","6:48:00","6:48:00","-0:01:46","-0:01:46","2.63","2.42","2.46","","20.25","22.98"
"9","Trip","Line ILLINI, Block 2202","","6:48:35","","6:48:00","","","2.63","","0.00","Pattern: 22N ILLINI 10","","0.00"
"10","Stop","PAR (North Side Shelter),2","6:48:35","6:48:35","6:48:00","6:48:00","0:00:35","0:00:35","2.63","0.00","0.00","","0.00",""
"11","Drive through","Penn & Maryland (SE Corner),2","6:49:38","6:49:38","6:48:50","6:48:50","0:00:48","0:00:48","2.82","0.20","0.20","","11.05","11.05"
"12","Drive through","LAR (East Side),2","6:51:04","6:51:04","6:50:30","6:50:30","0:00:34","0:00:34","3.31","0.65","0.69","","20.42","20.42"
"13","Drive through","Lincoln & Oregon (SE Corner),2","6:51:30","6:51:30","6:51:20","6:51:20","0:00:10","0:00:10","3.50","0.87","0.88","","26.50","26.50"
"14","Drive through","Lincoln & Illinois (NW Far Side),8","6:52:06","6:52:06","6:52:10","6:52:10","-0:00:04","-0:00:04","3.64","1.02","1.02","","14.23","14.23"
"15","Stop","Illinois St. Residence Hall (North Side),2","6:52:25","6:53:13","6:53:00","6:53:00","-0:00:35","0:00:13","3.72","1.14","1.10","","14.96","14.96"
"16","Stop without doors","","6:53:59","6:54:07","","","","","3.90","","1.28","","","13.96"
"17","Drive through","Chemical & Life Sciences,1","6:54:16","6:54:16","6:53:40","6:53:40","0:00:36","0:00:36","3.93","1.32","1.31","","12.01","12.68"
"18","Drive through","Goodwin & Nevada (NW Corner),4","6:54:57","6:54:57","6:55:00","6:55:00","-0:00:03","-0:00:03","4.06","1.45","1.43","","10.86","10.86"
