"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line BROWN ALT, Block 3210","","6:55:33","","7:00:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:55:33","6:55:33","","","","","0.00","","","","",""
"3","Depot","MTD Garage","7:00:32","7:00:32","7:00:00","7:00:00","0:00:32","0:00:32","0.18","0.00","0.00","","0.00","2.06"
"4","Drive through","MTD Garage,1","7:01:31","7:01:31","7:00:00","7:00:00","0:01:31","0:01:31","0.23","0.01","0.00","","3.34","3.34"
"5","Trip","Line BROWN ALT, Block 3210","","7:01:31","","7:00:00","","","0.23","","0.00","Pattern: [@15.0.60390798@]11","","0.00"
"6","Drive through","MTD Garage,1","7:01:31","7:01:31","7:00:00","7:00:00","0:01:31","0:01:31","0.23","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","7:01:32","7:01:32","7:00:15","7:00:15","0:01:17","0:01:17","0.24","0.06","0.01","","29.09","29.09"
"8","Stop without doors","","7:03:48","7:04:03","","","","","1.32","","1.09","","","28.62"
"9","Stop without doors","","7:05:25","7:05:50","","","","","1.83","","1.61","","","22.48"
"10","Stop without doors","","7:07:56","7:08:05","","","","","2.57","","2.34","","","21.10"
"11","Stop","Windsor & Prospect (NW Corner),4","7:15:51","7:21:23","7:21:00","7:21:00","-0:05:09","0:00:23","5.65","5.38","5.42","","22.67","23.78"
"12","Stop","Prospect & Park Ln. (NW Corner),4","7:21:58","7:22:06","7:21:42","7:21:42","0:00:16","0:00:24","5.80","5.60","5.58","","15.98","15.98"
"13","Stop","Galen & Salisbury (NE Corner),1","7:22:52","7:22:57","7:22:13","7:22:13","0:00:39","0:00:44","6.02","5.82","5.80","","17.12","17.12"
"14","Stop","Galen & Yorkshire (NE Corner),1","7:23:39","7:23:58","7:22:44","7:22:44","0:00:55","0:01:14","6.23","6.03","6.00","","17.58","17.58"
"15","Stop","Galen & Wilshire (NE Corner),1","7:24:23","7:24:37","7:23:05","7:23:05","0:01:18","0:01:32","6.33","6.14","6.11","","15.22","15.22"
"16","Drive through","Sussex & Southfield (NE Corner),1","7:25:14","7:25:14","7:23:47","7:23:47","0:01:27","0:01:27","6.52","6.31","6.30","","18.57","18.57"
"17","Drive through","Sussex & Oakmont (NE Corner),1","7:25:33","7:25:33","7:24:19","7:24:19","0:01:14","0:01:14","6.66","6.44","6.44","","26.85","26.85"
"18","Drive through","Sussex & Windward (NE Corner),1","7:26:05","7:26:05","7:24:40","7:24:40","0:01:25","0:01:25","6.81","6.58","6.58","","16.01","16.01"
"19","Stop","Windward & Waterford (SE Corner),2","7:26:30","7:26:38","7:25:01","7:25:01","0:01:29","0:01:37","6.94","6.76","6.71","","18.71","18.71"
"20","Drive through","Windward Point,2","7:26:56","7:26:56","7:25:33","7:25:33","0:01:23","0:01:23","7.07","6.87","6.84","","25.73","25.73"
"21","Stop","Windward & Autumnwood (East Side),2","7:27:18","7:27:36","7:25:54","7:25:54","0:01:24","0:01:42","7.17","6.99","6.94","","17.09","17.09"
"22","Drive through","Windsor & Windward (SW Corner),3","7:28:01","7:28:01","7:26:15","7:26:15","0:01:46","0:01:46","7.25","7.06","7.03","","11.91","11.91"
"23","Drive through","Windsor & Carlisle (South Side),3","7:28:20","7:28:20","7:26:57","7:26:57","0:01:23","0:01:23","7.39","7.18","7.16","","26.02","26.02"
"24","Drive through","Windsor & Stillwater (SW Corner),3","7:28:27","7:28:27","7:27:18","7:27:18","0:01:09","0:01:09","7.45","7.26","7.22","","28.77","28.77"
"25","Drive through","Windsor & Morrissey Park (South Side),3","7:28:33","7:28:33","7:27:29","7:27:29","0:01:04","0:01:04","7.50","7.32","7.27","","31.32","31.32"
"26","Stop","Galen & Windsor (SE Far Side),6","7:29:13","7:29:24","7:28:00","7:28:00","0:01:13","0:01:24","7.71","7.55","7.48","","18.74","18.74"
"27","Stop","Galen & Harrington (NW Corner),4","7:30:04","7:30:20","7:28:45","7:28:45","0:01:19","0:01:35","7.91","7.85","7.69","","18.52","18.52"
"28","Stop","Galen & Devonshire (NW Corner),4","7:30:55","7:31:05","7:29:15","7:29:15","0:01:40","0:01:50","8.10","8.04","7.87","","19.24","19.24"
"29","Drive through","Galen & Theodore (NW Corner),4","7:31:24","7:31:24","7:29:45","7:29:45","0:01:39","0:01:39","8.22","8.14","7.99","","22.96","22.96"
"30","Stop","Broadmoor & Galen (SW Corner),3","7:31:41","7:31:54","7:30:15","7:30:15","0:01:26","0:01:39","8.29","8.23","8.07","","15.14","15.14"
"31","Stop","Broadmoor & Bellamy (SW Corner),3","7:32:12","7:32:25","7:30:30","7:30:30","0:01:42","0:01:55","8.35","8.29","8.12","","11.56","11.56"
"32","Stop with doors","","7:32:40","7:32:43","","","","","8.41","","8.19","","","15.22"
"33","Stop","Broadmoor & Lynwood (SW Corner),3","7:33:01","7:33:10","7:31:00","7:31:00","0:02:01","0:02:10","8.46","8.42","8.24","","11.56","10.44"
"34","Drive through","Broadmoor & David (SW Corner),3","7:33:22","7:33:22","7:31:15","7:31:15","0:02:07","0:02:07","8.54","8.48","8.31","","21.82","21.82"
"35","Stop","Prospect & Broadmoor (SW Corner),3","7:33:38","7:33:48","7:31:30","7:31:30","0:02:08","0:02:18","8.59","8.54","8.36","","11.89","11.89"
"36","Stop","Propsect & Breen (SE Corner),2","7:34:11","7:34:28","7:31:30","7:31:30","0:02:41","0:02:58","8.69","8.64","8.46","","15.27","15.27"
"37","Stop without doors","","7:35:12","7:35:44","","","","","8.94","","8.71","","","20.59"
"38","Stop with doors","","7:36:32","7:36:38","","","","","9.17","","8.94","","","17.25"
"39","Stop","Kirby & Park Haven (SW Corner),3","7:37:05","7:37:16","7:35:30","7:35:30","0:01:35","0:01:46","9.29","9.26","9.07","","13.90","16.57"
"40","Stop with doors","","7:37:34","7:37:50","","","","","9.38","","9.16","","","17.40"
"41","Stop without doors","","7:38:22","7:38:50","","","","","9.52","","9.30","","","15.94"
"42","Stop without doors","","7:42:44","7:44:06","","","","","10.68","","10.45","","","17.77"
"43","Stop","Edison Middle School,9","7:44:24","7:44:51","7:38:30","7:38:30","0:05:54","0:06:21","10.72","10.71","10.50","","12.01","8.83"
"44","Stop with doors","","7:45:59","7:48:03","","","","","11.06","","10.84","","","18.13"
"45","Stop","Central High,9","7:49:21","7:49:55","7:42:00","7:42:00","0:07:21","0:07:55","11.37","11.37","11.14","","8.65","14.14"
"46","Stop without doors","","7:50:31","7:51:26","","","","","11.44","","11.22","","","7.40"
"47","Stop without doors","","7:52:29","7:53:12","","","","","11.76","","11.54","","","18.29"
"48","Stop with doors","","7:54:09","7:54:10","","","","","12.06","","11.84","","","18.80"
"49","Stop without doors","","7:55:06","7:55:13","","","","","12.31","","12.08","","","15.66"
"50","Stop with doors","","7:55:57","7:55:58","","","","","12.44","","12.22","","","11.14"
"51","Stop without doors","","7:57:05","7:58:13","","","","","12.71","","12.48","","","14.33"
"52","Stop","Franklin Middle School (East Side),2","7:58:49","7:58:49","7:47:00","7:47:00","0:11:49","0:11:49","12.78","12.84","12.55","","9.51","7.28"
"53","Dead run inter","Line BROWN ALT, Block 3210","","7:58:58","","7:47:00","","","12.78","","0.00","Pattern: [HRISFMS:2][6THBRAD:3]","","0.00"
"54","Stop","Franklin Middle School (East Side),2","7:58:58","7:58:58","7:47:00","7:47:00","0:11:58","0:11:58","12.78","0.00","0.00","","0.00",""
"55","Stop with doors","","7:59:25","7:59:26","","","","","12.90","","0.12","","","15.99"
"56","Stop without doors","","8:01:40","8:02:04","","","","","13.52","","0.75","","","16.75"
"57","Stop","Sixth & Bradley (SW Corner),3","8:07:39","8:07:39","7:52:00","7:52:00","0:15:39","0:15:39","15.26","1.36","2.48","","17.12","18.63"
"58","Trip","Line 7E GREY ALT, Block 3210","","8:07:49","","8:06:00","","","15.26","","0.00","Pattern: [@15.0.60391486@]2","","0.00"
"59","Stop","Sixth & Bradley (SW Corner),3","8:07:49","8:07:49","8:06:00","8:06:00","0:01:49","0:01:49","15.26","0.00","0.00","","0.00",""
"60","Stop","Bradley & Carver (SW Corner),3","8:08:12","8:08:17","8:06:30","8:06:30","0:01:42","0:01:47","15.36","0.11","0.10","","15.57","15.57"
"61","Drive through","Romine & Beardsley (NW Corner),4","8:09:02","8:09:02","8:07:30","8:07:30","0:01:32","0:01:32","15.49","0.23","0.24","","10.94","10.94"
"62","Stop","Romine & Tremont (NW Corner),4","8:09:27","8:09:44","8:08:30","8:08:30","0:00:57","0:01:14","15.59","0.34","0.33","","13.43","13.43"
"63","Stop","Romine & Eads (NW Corner),4","8:10:08","8:10:27","8:09:30","8:09:30","0:00:38","0:00:57","15.69","0.45","0.44","","15.66","15.66"
"64","Stop","Beech & Romine (NW Corner),4","8:10:42","8:10:51","8:10:00","8:10:00","0:00:42","0:00:51","15.76","0.52","0.51","","15.96","15.96"
"65","Stop with doors","","8:11:17","8:11:18","","","","","15.89","","0.64","","","17.99"
"66","Drive through","Beslin & Goodwin (SW Corner),3","8:12:10","8:12:10","8:10:30","8:10:30","0:01:40","0:01:40","16.07","0.81","0.82","","14.45","12.95"
"67","Drive through","Fairview & Harvey (SW Corner),3","8:12:34","8:12:34","8:11:00","8:11:00","0:01:34","0:01:34","16.22","0.95","0.97","","21.63","21.63"
"68","Stop without doors","","8:12:53","8:14:00","","","","","16.29","","1.04","","","14.25"
"69","Drive through","Fairview & Lincoln (SW Corner),3","8:14:08","8:14:08","8:11:45","8:11:45","0:02:23","0:02:23","16.33","1.06","1.07","","4.15","14.82"
"70","Drive through","Fairview & Busey (SW Corner),3","8:14:40","8:14:40","8:12:45","8:12:45","0:01:55","0:01:55","16.47","1.20","1.22","","16.01","16.01"
"71","Drive through","Coler & Fairview (SW Corner),3","8:15:05","8:15:05","8:13:15","8:13:15","0:01:50","0:01:50","16.52","1.26","1.27","","7.88","7.88"
"72","Drive through","Coler & Church (NW Corner),4","8:15:38","8:15:38","8:13:45","8:13:45","0:01:53","0:01:53","16.65","1.38","1.40","","13.56","13.56"
"73","Drive through","Church & Orchard (SW Corner),3","8:15:54","8:15:54","8:14:15","8:14:15","0:01:39","0:01:39","16.69","1.46","1.44","","9.79","9.79"
"74","Drive through","Park & McCullough (NW Corner),4","8:16:24","8:16:24","8:14:30","8:14:30","0:01:54","0:01:54","16.81","1.57","1.56","","14.40","14.40"
"75","Stop without doors","","8:16:35","8:16:59","","","","","16.85","","1.59","","","11.19"
"76","Stop without doors","","8:18:38","8:19:03","","","","","17.49","","2.24","","","23.62"
"77","Stop without doors","","8:21:07","8:21:32","","","","","18.01","","2.76","","","15.03"
"78","Stop","Urbana Middle School,9","8:22:16","8:22:16","8:21:30","8:21:30","0:00:46","0:00:46","18.09","2.96","2.84","","13.11","6.56"
"79","Dead run in","Line 7E GREY ALT, Block 3210","","8:23:01","","8:21:30","","","18.09","","0.00","Pattern: [UMS:9][Garage]","","0.00"
"80","Stop","Urbana Middle School,9","8:23:01","8:23:01","8:21:30","8:21:30","0:01:31","0:01:31","18.09","0.00","0.00","","0.00",""
"81","Stop without doors","","8:25:42","8:26:35","","","","","19.04","","0.95","","","21.19"
"82","Stop with doors","","8:28:07","8:53:16","","","","","19.46","","1.37","","","16.34"
"83","Stop with doors","","8:57:24","8:57:24","","","","","20.56","","2.47","","","15.96"
"84","Trip","Line SILVER, Block 135","","9:01:06","","8:56:00","","","20.85","","0.00","Pattern: SILVER 2","","0.00"
"85","Stop","PAR (North Side Shelter),2","9:01:06","9:01:06","8:56:00","8:56:00","0:05:06","0:05:06","20.85","0.00","0.00","","0.00",""
"86","Stop without doors","","9:01:39","9:02:07","","","","","21.01","","0.17","","","17.97"
"87","Drive through","Penn & Maryland (SE Corner),2","9:02:14","9:02:14","8:57:00","8:57:00","0:05:14","0:05:14","21.04","0.20","0.20","","10.10","13.43"
"88","Drive through","Plant Sciences Lab (East Side),2","9:02:53","9:02:53","8:57:45","8:57:45","0:05:08","0:05:08","21.24","0.40","0.40","","18.88","18.88"
"89","Stop","Gregory & Dorner (SE Corner),2","9:03:09","9:03:22","8:58:20","8:58:20","0:04:49","0:05:02","21.31","0.52","0.47","","14.96","14.96"
"90","Stop","Goodwin & Gregory (NE Corner),1","9:03:47","9:03:54","8:58:55","8:58:55","0:04:52","0:04:59","21.41","0.62","0.57","","14.50","14.50"
"91","Drive through","Gregory at Mumford Hall,2","9:04:25","9:04:25","8:59:30","8:59:30","0:04:55","0:04:55","21.54","0.73","0.70","","15.16","15.16"
"92","Stop","Gregory at Library (North Side),2","9:04:56","9:05:22","9:00:05","9:00:05","0:04:51","0:05:17","21.67","0.89","0.83","","15.59","15.59"
"93","Stop","Armory & Wright (South Side),3","9:06:18","9:06:36","9:01:15","9:01:15","0:05:03","0:05:21","21.90","1.12","1.06","","14.62","14.62"
"94","Stop","Transit Plaza (SE Platform),4","9:07:27","9:07:46","9:02:00","9:02:00","0:05:27","0:05:46","22.11","1.32","1.26","","14.39","14.39"
"95","Stop without doors","","9:08:26","9:09:11","","","","","22.23","","1.38","","","10.80"
"96","Stop","Illini Union (South Side Shelter),1","9:09:40","9:10:08","9:03:00","9:03:00","0:06:40","0:07:08","22.34","1.50","1.49","","7.30","13.81"
"97","Stop without doors","","9:10:39","9:11:00","","","","","22.48","","1.64","","","16.53"
"98","Stop","Goodwin at Materials Research,2","9:11:26","9:11:39","9:04:30","9:04:30","0:06:56","0:07:09","22.58","1.80","1.73","","11.07","13.51"
"99","Drive through","Springfield & Harvey (SW Corner),3","9:12:10","9:12:10","9:05:00","9:05:00","0:07:10","0:07:10","22.75","1.96","1.90","","19.78","19.78"
"100","Drive through","Springfield & Gregory St. (SW Corner),3","9:12:22","9:12:22","9:05:30","9:05:30","0:06:52","0:06:52","22.84","2.05","1.99","","26.48","26.48"
"101","Stop without doors","","9:12:35","9:13:10","","","","","22.86","","2.02","","","6.72"
"102","Drive through","Springfield & Busey (SW Corner),3","9:13:31","9:13:31","9:06:30","9:06:30","0:07:01","0:07:01","22.98","2.20","2.14","","7.69","21.10"
"103","Drive through","Springfield at Phillips Rec. Ctr (South),1","9:13:52","9:13:52","9:07:30","9:07:30","0:06:22","0:06:22","23.17","2.38","2.33","","32.28","32.28"
"104","Drive through","Springfield & Birch (SW Corner),3","9:14:04","9:14:04","9:08:00","9:08:00","0:06:04","0:06:04","23.28","2.50","2.44","","32.63","32.63"
"105","Stop","Lincoln Square Garage South,8","9:15:05","9:15:05","9:10:00","9:10:00","0:05:05","0:05:05","23.50","2.76","2.66","","12.91","12.91"
"106","Dead run in","Line SILVER, Block 135","","9:15:11","","9:10:00","","","23.50","","0.00","Pattern: [LSE:8][LSG]","","0.00"
"107","Stop","Lincoln Square Garage South,8","9:15:11","9:15:11","9:10:00","9:10:00","0:05:11","0:05:11","23.50","0.00","0.00","","0.00",""
"108","Depot","LSG","9:15:11","9:15:11","9:11:00","9:11:00","0:04:11","0:04:11","23.50","0.32","0.00","","0.00",""
"109","Dead run out","Line SILVER, Block 135","","9:17:18","","9:19:00","","","23.81","","0.00","Pattern: [LSG][LSE:8]","","0.00"
"110","Depot","LSG","9:17:18","9:17:18","9:19:00","9:19:00","-0:01:42","-0:01:42","23.81","0.00","0.00","","0.00",""
"111","Additional trip","Line YELLOWHOPPER, Block 10388","","9:40:40","","9:36:00","","","26.25","","0.00","Pattern: YELLOWHOPPER 23","","0.00"
"112","Stop","Lot E-14 (North Shelter),2","9:40:40","9:40:40","9:36:00","9:36:00","0:04:40","0:04:40","26.25","0.00","0.00","","0.00",""
"113","Stop","Gregory at Ikenberry Commons (South),1","9:41:03","9:41:46","9:39:00","9:40:00","0:02:03","0:01:46","26.33","0.98","0.09","","13.62","13.62"
"114","Drive through","Fourth & Armory (SE Corner),2","9:43:18","9:43:18","9:42:00","9:42:00","0:01:18","0:01:18","26.50","1.13","0.26","","6.40","6.40"
"115","Trip","Line YELLOW, Block 18","","11:00:40","","10:50:00","","","28.70","","0.00","Pattern: YELLOW 50","","0.00"
