"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line GREEN EXPRESS, Block 14","","6:11:54","","6:16:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:11:54","6:11:54","","","","","0.00","","","","",""
"3","Depot","MTD Garage","6:17:30","6:17:30","6:16:00","6:16:00","0:01:30","0:01:30","0.13","0.00","0.00","","0.00","1.31"
"4","Drive through","MTD Garage,1","6:18:18","6:18:18","6:16:00","6:16:00","0:02:18","0:02:18","0.18","0.01","0.00","","4.20","4.20"
"5","Trip","Line GREEN EXPRESS, Block 14","","6:18:18","","6:16:00","","","0.18","","0.00","Pattern: GREEN EX 49","","0.00"
"6","Drive through","MTD Garage,1","6:18:18","6:18:18","6:16:00","6:16:00","0:02:18","0:02:18","0.18","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","6:18:27","6:18:27","6:16:30","6:16:30","0:01:57","0:01:57","0.23","0.06","0.05","","19.39","19.39"
"8","Stop without doors","","6:21:22","6:21:36","","","","","1.31","","1.13","","","22.16"
"9","Stop without doors","","6:32:50","6:32:58","","","","","6.59","","6.41","","","28.22"
"10","Stop","Curtis & Wynstone (NE Corner),1","6:35:56","6:35:56","6:36:00","6:36:00","-0:00:04","-0:00:04","8.05","7.71","7.87","","26.82","29.44"
"11","Trip","Line GREEN EXPRESS, Block 14","","6:36:06","","6:36:00","","","8.05","","0.00","Pattern: GREEN EX 1","","0.00"
"12","Stop","Curtis & Wynstone (NE Corner),1","6:36:06","6:36:06","6:36:00","6:36:00","0:00:06","0:00:06","8.05","0.00","0.00","","0.00",""
"13","Drive through","Cherry Hills & Curtis (NE Far Side),5","6:37:19","6:37:19","6:36:00","6:36:00","0:01:19","0:01:19","8.43","0.36","0.38","","18.73","18.73"
"14","Stop","Cherry Hills & Pine Valley (SE Corner),2","6:37:57","6:38:32","6:36:50","6:36:50","0:01:07","0:01:42","8.56","0.53","0.52","","13.19","13.19"
"15","Drive through","Timbergate & Cherry Hills (SE Corner),2","6:39:22","6:39:22","6:37:40","6:37:40","0:01:42","0:01:42","8.81","0.75","0.77","","17.72","17.72"
"16","Stop","Wedgewood & Timbergate (SE Corner),2","6:39:54","6:40:01","6:38:30","6:38:30","0:01:24","0:01:31","8.96","0.93","0.92","","17.06","17.06"
"17","Drive through","Lakeview & Wedgewood (SW Corner),3","6:40:33","6:40:33","6:39:20","6:39:20","0:01:13","0:01:13","9.12","1.07","1.08","","17.55","17.55"
"18","Drive through","Lakeview & Worthington (SE Corner),2","6:40:53","6:40:53","6:40:00","6:40:00","0:00:53","0:00:53","9.23","1.17","1.19","","19.80","19.80"
"19","Drive through","Cherry Hills & Lakeview (SE Corner),2","6:41:35","6:41:35","6:40:42","6:40:42","0:00:53","0:00:53","9.40","1.34","1.36","","14.81","14.81"
"20","Drive through","Cherry Hills & Applewood (SW Corner),3","6:41:54","6:41:54","6:41:26","6:41:26","0:00:28","0:00:28","9.49","1.44","1.45","","17.78","17.78"
"21","Drive through","Windsor & Cherry Hills (SE Corner),2","6:42:23","6:42:23","6:42:00","6:42:00","0:00:23","0:00:23","9.60","1.57","1.56","","12.73","12.73"
"22","Drive through","Windsor & Crossing Ct. (NE Corner),1","6:42:48","6:42:48","6:42:15","6:42:15","0:00:33","0:00:33","9.73","1.70","1.69","","19.15","19.15"
"23","Drive through","Windsor & Lakewood (NE Corner),1","6:42:55","6:42:55","6:42:30","6:42:30","0:00:25","0:00:25","9.77","1.75","1.73","","22.37","22.37"
"24","Stop","Windsor & Duncan (NE Corner),1","6:43:23","6:43:31","6:42:45","6:42:45","0:00:38","0:00:46","9.87","1.84","1.83","","12.79","12.79"
"25","Drive through","Duncan & Valleybrook (SE Corner),2","6:43:59","6:43:59","6:43:15","6:43:15","0:00:44","0:00:44","10.04","2.03","2.00","","21.74","21.74"
"26","Drive through","Duncan & Prairie Meadow (SE Corner),2","6:44:17","6:44:17","6:43:35","6:43:35","0:00:42","0:00:42","10.18","2.17","2.14","","28.09","28.09"
"27","Drive through","Duncan & Stoneybrook (NW Far Side),8","6:44:56","6:44:56","6:44:00","6:44:00","0:00:56","0:00:56","10.39","2.37","2.35","","19.22","19.22"
"28","Drive through","Moraine & Lake Shore (SE Corner),2","6:45:37","6:45:37","6:44:30","6:44:30","0:01:07","0:01:07","10.53","2.51","2.49","","11.90","11.90"
"29","Drive through","Lakeshore & Maynard (NE Corner),1","6:46:41","6:46:41","6:45:15","6:45:15","0:01:26","0:01:26","10.78","2.75","2.74","","14.16","14.16"
"30","Drive through","Coventry & Maynard (SE Corner),2","6:47:24","6:47:24","6:45:41","6:45:41","0:01:43","0:01:43","10.95","2.93","2.91","","14.36","14.36"
"31","Drive through","Coventry & Roxford (SE Corner),2","6:48:05","6:48:05","6:46:08","6:46:08","0:01:57","0:01:57","11.15","3.13","3.11","","17.41","17.41"
"32","Drive through","Halifax & Maynard (SW Corner),3","6:49:13","6:49:13","6:47:00","6:47:00","0:02:13","0:02:13","11.40","3.37","3.36","","13.26","13.26"
"33","Drive through","Kirby & Duncan (SW Corner),3","6:50:05","6:50:05","6:49:00","6:49:00","0:01:05","0:01:05","11.62","3.62","3.58","","15.10","15.10"
"34","Stop","Kirby & Bellepark (SW Corner),3","6:50:21","6:50:29","6:49:25","6:49:25","0:00:56","0:01:04","11.67","3.72","3.63","","11.75","11.75"
"35","Drive through","Kirby & Stratford (SW Corner),3","6:50:41","6:50:41","6:49:50","6:49:50","0:00:51","0:00:51","11.76","3.79","3.72","","26.29","26.29"
"36","Drive through","Kirby & Scottsdale (SW Corner),3","6:51:15","6:51:15","6:50:40","6:50:40","0:00:35","0:00:35","12.00","4.01","3.96","","25.99","25.99"
"37","Drive through","Kirby & Carolyn (SW Corner),3","6:51:36","6:51:36","6:51:30","6:51:30","0:00:06","0:00:06","12.16","4.18","4.12","","27.91","27.91"
"38","Stop","Crescent & Greendale (SE Corner),2","6:52:35","6:52:49","6:52:20","6:52:20","0:00:15","0:00:29","12.43","4.48","4.39","","16.23","16.23"
"39","Drive through","Crescent & Sangamon (SE Corner),2","6:53:22","6:53:22","6:52:45","6:52:45","0:00:37","0:00:37","12.60","4.62","4.56","","18.10","18.10"
"40","Stop","Crescent & William (SE Corner),2","6:54:08","6:54:28","6:53:35","6:53:35","0:00:33","0:00:53","12.83","4.88","4.79","","18.29","18.29"
"41","Drive through","Crescent & John (SE),2","6:55:01","6:55:01","6:54:00","6:54:00","0:01:01","0:01:01","13.04","5.08","5.00","","23.12","23.12"
"42","Drive through","John & Hollycrest (SW Corner),3","6:55:21","6:55:21","6:54:25","6:54:25","0:00:56","0:00:56","13.11","5.14","5.07","","12.76","12.76"
"43","Drive through","John & Frank (SW Corner),3","6:55:30","6:55:30","6:54:50","6:54:50","0:00:40","0:00:40","13.18","5.21","5.14","","26.10","26.10"
"44","Stop without doors","","6:55:53","6:56:16","","","","","13.28","","5.24","","","15.86"
"45","Stop","Round Barn Road (North Side),2","6:57:29","6:58:21","6:56:00","6:56:00","0:01:29","0:02:21","13.59","5.64","5.55","","12.41","15.23"
"46","Stop","Round Barn & Country Fair Dr. (NE),1","6:58:31","6:58:35","6:56:25","6:56:25","0:02:06","0:02:10","13.74","5.79","5.70","","55.03","55.03"
"47","Drive through","Springfield & Country Fair Dr. (SE),2","6:59:02","6:59:02","6:56:40","6:56:40","0:02:22","0:02:22","13.85","5.89","5.81","","15.17","15.17"
"48","Drive through","Springfield at Round Barn (SW Corner),3","6:59:38","6:59:38","6:57:25","6:57:25","0:02:13","0:02:13","14.09","6.11","6.05","","23.93","23.93"
"49","Stop without doors","","6:59:56","7:00:35","","","","","14.15","","6.11","","","12.31"
"50","Drive through","Springfield & Mattis (SW Corner),3","7:00:37","7:00:37","6:57:40","6:57:40","0:02:57","0:02:57","14.16","6.19","6.12","","4.06","8.95"
"51","Drive through","Springfield & Mattis (NE),9","7:00:58","7:00:58","6:58:35","6:58:35","0:02:23","0:02:23","14.30","6.32","6.26","","23.97","23.97"
"52","Drive through","Springfield & Westlawn (SW Corner),3","7:01:22","7:01:22","6:59:05","6:59:05","0:02:17","0:02:17","14.49","6.51","6.45","","28.81","28.81"
"53","Drive through","Springfield & Russell (SW Corner),3","7:01:49","7:01:49","6:59:50","6:59:50","0:01:59","0:01:59","14.70","6.72","6.66","","28.26","28.26"
"54","Drive through","Springfield & James (SW Corner),3","7:02:04","7:02:04","7:00:20","7:00:20","0:01:44","0:01:44","14.82","6.85","6.78","","27.59","27.59"
"55","Drive through","Springfield & McKinley (SW Corner),3","7:02:19","7:02:19","7:00:50","7:00:50","0:01:29","0:01:29","14.94","6.97","6.90","","30.13","30.13"
