"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line YELLOW, Block 17","","7:09:22","","7:15:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","7:09:22","7:09:22","","","","","0.00","","","","",""
"3","Depot","MTD Garage","7:17:08","7:17:08","7:15:00","7:15:00","0:02:08","0:02:08","0.12","0.00","0.00","","0.00","0.92"
"4","Stop","MTD Garage,1","7:17:27","7:17:27","7:15:00","7:15:00","0:02:27","0:02:27","0.14","0.01","0.00","","3.30","3.30"
"5","Trip","Line YELLOW, Block 17","","7:18:07","","7:15:00","","","0.14","","0.00","Pattern: [@14.0.56288722@]36","","0.00"
"6","Stop","MTD Garage,1","7:18:07","7:18:07","7:15:00","7:15:00","0:03:07","0:03:07","0.14","0.00","0.00","","0.00",""
"7","Stop without doors","","7:20:20","7:20:37","","","","","1.26","","1.12","","","30.26"
"8","Stop without doors","","7:20:58","7:21:15","","","","","1.30","","1.17","","","7.46"
"9","Stop without doors","","7:22:02","7:22:18","","","","","1.55","","1.41","","","18.66"
"10","Stop without doors","","7:27:02","7:27:13","","","","","3.57","","3.43","","","25.67"
"11","Drive through","Water Survey,2","7:29:51","7:29:51","7:25:00","7:25:00","0:04:51","0:04:51","4.59","4.43","4.45","","22.75","23.20"
"12","Trip","Line YELLOW, Block 17","","7:30:28","","7:25:00","","","4.70","","0.00","Pattern: [@14.0.56288722@]64","","0.00"
"13","Drive through","Water Survey,2","7:30:28","7:30:28","7:25:00","7:25:00","0:05:28","0:05:28","4.70","0.00","0.00","","0.00",""
"14","Drive through","Hazelwood & Oak (SE Corner),2","7:31:32","7:31:32","7:26:00","7:26:00","0:05:32","0:05:32","5.02","0.60","0.33","","18.08","18.08"
"15","Drive through","Oak St. (East Side),2","7:31:55","7:31:55","7:27:00","7:27:00","0:04:55","0:04:55","5.19","0.78","0.50","","26.95","26.95"
"16","Drive through","St. Mary's & Oak (SE Corner),2","7:32:12","7:32:12","7:28:00","7:28:00","0:04:12","0:04:12","5.25","0.85","0.55","","11.58","11.58"
"17","Drive through","First & St. Mary's (NE Far Side),5","7:32:50","7:32:50","7:28:45","7:28:45","0:04:05","0:04:05","5.45","1.04","0.75","","18.78","18.78"
"18","Stop","Lot E-14 (North Shelter),2","7:33:21","7:33:59","7:30:00","7:30:00","0:03:21","0:03:59","5.57","1.20","0.87","","14.15","14.15"
"19","Stop without doors","","7:34:42","7:35:08","","","","","5.75","","1.05","","","15.04"
"20","Drive through","Kirby & Oak (SE Corner),2","7:35:23","7:35:23","7:30:45","7:30:45","0:04:38","0:04:38","5.79","1.39","1.09","","9.43","9.70"
"21","Stop","First & Stadium (SE Corner),2","7:37:00","7:37:15","7:32:20","7:32:20","0:04:40","0:04:55","6.22","1.87","1.52","","16.03","16.03"
"22","Stop without doors","","7:37:35","7:37:43","","","","","6.31","","1.62","","","16.78"
"23","Drive through","First & Gregory (SE Corner),2","7:37:48","7:37:48","7:32:40","7:32:40","0:05:08","0:05:08","6.32","1.95","1.63","","11.05","5.82"
"24","Stop","Gregory at Ikenberry Commons (South),1","7:38:30","7:39:00","7:33:50","7:33:50","0:04:40","0:05:10","6.52","2.18","1.83","","17.26","17.26"
"25","Stop without doors","","7:39:15","7:39:53","","","","","6.58","","1.88","","","13.58"
