"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line 1S YELLOW ALT, Block 3212","","6:51:00","","7:08:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:51:00","6:51:00","","","","","0.00","","","","",""
"3","Depot","MTD Garage","6:51:03","6:51:03","7:08:00","7:08:00","-0:16:57","-0:16:57","0.00","0.00","0.00","","0.00","0.00"
"4","Drive through","MTD Garage,1","7:07:23","7:07:23","7:08:00","7:08:00","-0:00:37","-0:00:37","0.06","0.01","0.00","","0.20","0.20"
"5","Trip","Line 1S YELLOW ALT, Block 3212","","7:07:23","","7:08:00","","","0.06","","0.00","Pattern: [@124.0.94414886@]4","","0.00"
"6","Drive through","MTD Garage,1","7:07:23","7:07:23","7:08:00","7:08:00","-0:00:37","-0:00:37","0.06","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","7:07:28","7:07:28","7:08:15","7:08:15","-0:00:47","-0:00:47","0.07","0.06","0.01","","6.27","6.27"
"8","Stop without doors","","7:08:36","7:09:11","","","","","0.20","","0.15","","","7.24"
"9","Stop without doors","","7:14:25","7:14:35","","","","","1.99","","1.94","","","20.53"
"10","Stop without doors","","7:19:19","7:19:34","","","","","5.53","","5.47","","","44.78"
"11","Stop","Baytowne & Boardwalk (SE Corner),2","7:20:44","7:20:44","7:20:00","7:20:00","0:00:44","0:00:44","5.86","5.64","5.80","","26.19","17.01"
"12","Drive through","Boardwalk & Town Center (SE Corner),2","7:21:03","7:21:03","7:20:25","7:20:25","0:00:38","0:00:38","5.98","5.78","5.92","","22.49","22.49"
"13","Drive through","Boardwalk & Meijer Dr. (SE Corner),2","7:21:43","7:21:43","7:21:25","7:21:25","0:00:18","0:00:18","6.27","6.06","6.22","","26.46","26.46"
"14","Drive through","Newton & Nobel (SW Corner),3","7:23:56","7:23:56","7:23:55","7:23:55","0:00:01","0:00:01","6.95","6.77","6.90","","18.41","18.41"
"15","Stop","Newton & Leggett (SW Corner),3","7:24:26","7:24:31","7:24:25","7:24:25","0:00:01","0:00:06","7.08","6.94","7.02","","15.22","15.22"
"16","Drive through","Bardeen & Toalson (SW Corner),3","7:25:16","7:25:16","7:24:45","7:24:45","0:00:31","0:00:31","7.21","7.06","7.16","","10.59","10.59"
"17","Drive through","Toalson & Interstate (NW Corner),4","7:26:22","7:26:22","7:25:15","7:25:15","0:01:07","0:01:07","7.43","7.26","7.38","","12.17","12.17"
"18","Stop without doors","","7:27:23","7:27:50","","","","","7.84","","7.79","","","24.32"
"19","Stop without doors","","7:28:36","7:28:46","","","","","8.11","","8.06","","","20.77"
"20","Drive through","Town Center at Target (SW Corner),3","7:29:16","7:29:16","7:27:45","7:27:45","0:01:31","0:01:31","8.29","8.15","8.24","","17.82","22.08"
"21","Drive through","Town Center & Menards (SW Corner),3","7:29:31","7:29:31","7:28:15","7:28:15","0:01:16","0:01:16","8.40","8.29","8.35","","26.25","26.25"
"22","Stop","Town Center & Moreland (SW Corner),3","7:29:51","7:30:05","7:28:45","7:28:45","0:01:06","0:01:20","8.50","8.41","8.44","","17.23","17.23"
"23","Drive through","Market Place West (East Side),2","7:31:20","7:31:20","7:30:05","7:30:05","0:01:15","0:01:15","8.86","8.75","8.81","","17.51","17.51"
"24","Stop","Mkt Plc North Ent. & Market,3","7:32:49","7:33:15","7:31:50","7:31:50","0:00:59","0:01:25","9.27","9.22","9.22","","16.52","16.52"
"25","Drive through","Market & Paul (NW Corner),4","7:34:13","7:34:13","7:32:50","7:32:50","0:01:23","0:01:23","9.66","9.58","9.61","","24.46","24.46"
"26","Drive through","Market & Marketview (NW Corner),4","7:34:54","7:34:54","7:33:45","7:33:45","0:01:09","0:01:09","9.99","9.89","9.93","","28.27","28.27"
"27","Drive through","Barnes & Noble Books (NW),4","7:35:08","7:35:08","7:34:10","7:34:10","0:00:58","0:00:58","10.09","10.02","10.04","","27.81","27.81"
"28","Stop","Market & Garwood (NW Corner),4","7:35:48","7:36:05","7:36:15","7:36:15","-0:00:27","-0:00:10","10.36","10.56","10.30","","23.72","23.72"
"29","Drive through","Market & Bradley (NW Corner),4","7:36:42","7:36:42","7:36:30","7:36:30","0:00:12","0:00:12","10.45","10.64","10.39","","8.71","8.71"
"30","Stop with doors","","7:39:31","7:39:36","","","","","11.08","","11.02","","","13.41"
"31","Stop","Church & Lynn (NE Corner),1","7:41:43","7:41:56","7:42:00","7:42:00","-0:00:17","-0:00:04","11.72","11.96","11.66","","15.19","18.15"
"32","Stop without doors","","7:42:58","7:43:22","","","","","12.04","","11.98","","","18.48"
"33","Stop without doors","","7:45:37","7:46:20","","","","","13.03","","12.97","","","26.43"
"34","Stop without doors","","7:47:25","7:47:44","","","","","13.40","","13.35","","","20.62"
"35","Stop","Crescent & William (West Side),4","7:50:18","7:50:18","7:50:00","7:50:00","0:00:18","0:00:18","14.14","14.34","14.09","","17.39","17.38"
"36","Dead run inter","Line 1S YELLOW ALT, Block 3212","","7:50:30","","7:50:00","","","14.14","","0.00","Pattern: [CRSNTWLM:4][BAYBRDWLK:2]","","0.00"
"37","Stop","Crescent & William (West Side),4","7:50:30","7:50:30","7:50:00","7:50:00","0:00:30","0:00:30","14.14","0.00","0.00","","0.00",""
"38","Stop without doors","","7:53:01","7:54:09","","","","","14.92","","0.78","","","18.60"
"39","Stop without doors","","7:58:54","7:59:43","","","","","16.74","","2.60","","","22.92"
"40","Stop with doors","","8:01:51","8:01:56","","","","","17.60","","3.47","","","24.42"
"41","Stop with doors","","8:03:22","8:03:27","","","","","17.95","","3.81","","","14.36"
"42","Stop without doors","","8:04:25","8:04:40","","","","","18.18","","4.04","","","14.27"
"43","Stop without doors","","8:05:03","8:05:44","","","","","18.24","","4.11","","","10.31"
"44","Stop without doors","","8:08:25","8:08:37","","","","","19.38","","5.25","","","25.49"
"45","Stop without doors","","8:12:32","8:19:03","","","","","20.86","","6.72","","","22.56"
