"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line RED, Block 204","","6:30:52","","6:33:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:30:52","6:30:52","","","","","0.00","","","","",""
"3","Depot","MTD Garage","6:31:51","6:31:51","6:33:00","6:33:00","-0:01:09","-0:01:09","0.00","0.00","0.00","","0.00","0.00"
"4","Drive through","MTD Garage,1","6:33:47","6:33:47","6:33:00","6:33:00","0:00:47","0:00:47","0.09","0.01","0.00","","2.72","2.72"
"5","Trip","Line RED, Block 204","","6:33:47","","6:33:00","","","0.09","","0.00","Pattern: [@14.0.56288404@]33","","0.00"
"6","Drive through","MTD Garage,1","6:33:47","6:33:47","6:33:00","6:33:00","0:00:47","0:00:47","0.09","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","6:33:51","6:33:51","6:33:30","6:33:30","0:00:21","0:00:21","0.10","0.06","0.01","","8.39","8.39"
"8","Stop without doors","","6:38:31","6:38:48","","","","","1.71","","1.62","","","20.66"
"9","Stop without doors","","6:39:25","6:39:41","","","","","1.92","","1.83","","","20.14"
"10","Stop","Market Place (NE Mall Entrance),1","6:46:02","6:46:02","6:43:00","6:43:00","0:03:02","0:03:02","5.35","5.33","5.26","","25.86","32.47"
"11","Trip","Line RED, Block 204","","6:46:09","","6:43:00","","","5.35","","0.00","Pattern: RED 9","","0.00"
"12","Stop","Market Place (NE Mall Entrance),1","6:46:09","6:46:09","6:43:00","6:43:00","0:03:09","0:03:09","5.35","0.00","0.00","","0.00",""
"13","Drive through","Market Place Southeast (North Side),4","6:47:06","6:47:06","6:43:40","6:43:40","0:03:26","0:03:26","5.60","0.24","0.26","","15.86","15.86"
"14","Drive through","Market Place & Convenience Dr. (SW),3","6:47:21","6:47:21","6:44:00","6:44:00","0:03:21","0:03:21","5.70","0.34","0.36","","24.61","24.61"
"15","Drive through","Market Place South,1","6:47:39","6:47:39","6:44:20","6:44:20","0:03:19","0:03:19","5.79","0.43","0.45","","17.53","17.53"
"16","Drive through","Neil & Marketview (NW Corner),4","6:48:32","6:48:32","6:45:00","6:45:00","0:03:32","0:03:32","6.00","0.66","0.66","","14.35","14.35"
"17","Drive through","Neil & Anthony (NW Corner),4","6:48:39","6:48:39","6:45:20","6:45:20","0:03:19","0:03:19","6.05","0.73","0.71","","26.21","26.21"
"18","Drive through","Public Health District (North Side),2","6:50:17","6:50:17","6:47:20","6:47:20","0:02:57","0:02:57","6.51","1.20","1.16","","16.74","16.74"
"19","Stop without doors","","6:50:53","6:51:01","","","","","6.62","","1.28","","","11.19"
"20","Stop","Neil & Edgebrook (NW Corner),4","6:51:28","6:51:56","6:48:40","6:48:40","0:02:48","0:03:16","6.70","1.46","1.35","","9.68","10.53"
"21","Drive through","Neil & Arcadia (NW Corner),4","6:52:15","6:52:15","6:48:55","6:48:55","0:03:20","0:03:20","6.83","1.57","1.48","","23.67","23.67"
"22","Drive through","Neil & Garwood (NW Corner),4","6:52:27","6:52:27","6:49:10","6:49:10","0:03:17","0:03:17","6.90","1.66","1.56","","23.49","23.49"
"23","Stop without doors","","6:52:41","6:53:10","","","","","6.96","","1.62","","","15.02"
"24","Drive through","Neil & Beardsley (NW Corner),4","6:53:26","6:53:26","6:49:50","6:49:50","0:03:36","0:03:36","7.04","1.79","1.69","","8.19","17.06"
"25","Drive through","Neil & Eureka (NW Corner),4","6:53:40","6:53:40","6:50:25","6:50:25","0:03:15","0:03:15","7.14","1.90","1.79","","25.89","25.89"
"26","Drive through","Neil & North (NW Corner),4","6:53:54","6:53:54","6:50:45","6:50:45","0:03:09","0:03:09","7.23","1.99","1.89","","23.81","23.81"
"27","Stop without doors","","6:54:32","6:54:55","","","","","7.36","","2.02","","","12.43"
"28","Drive through","Neil & Columbia (NW Corner),4","6:55:05","6:55:05","6:51:20","6:51:20","0:03:45","0:03:45","7.40","2.15","2.05","","8.45","12.76"
"29","Stop","Neil & Washington (NW Corner),4","6:55:17","6:55:29","6:51:40","6:51:40","0:03:37","0:03:49","7.43","2.22","2.08","","9.33","9.33"
"30","Drive through","Neil & Hill (NW Corner),4","6:55:42","6:55:42","6:52:00","6:52:00","0:03:42","0:03:42","7.51","2.29","2.17","","23.41","23.41"
"31","Stop without doors","","6:56:13","6:56:32","","","","","7.64","","2.29","","","14.73"
"32","Drive through","Main & Walnut (SW Corner),3","6:56:43","6:56:43","6:52:50","6:52:50","0:03:53","0:03:53","7.68","2.44","2.33","","9.83","13.02"
"33","Stop","Main & Chestnut (SW Corner),3","6:56:56","6:57:13","6:53:20","6:53:20","0:03:36","0:03:53","7.71","2.52","2.37","","9.47","9.47"
"34","Stop without doors","","6:57:36","6:57:45","","","","","7.79","","2.44","","","11.38"
"35","Stop","Illinois Terminal (Platform A),1","6:58:03","6:58:46","6:54:00","6:54:00","0:04:03","0:04:46","7.82","2.64","2.48","","7.88","7.34"
"36","Stop","Logan & First (SW Corner),3","7:00:00","7:00:19","6:55:54","6:55:54","0:04:06","0:04:25","8.12","2.96","2.77","","14.39","14.39"
"37","Drive through","White & Second (SE Far Side),3","7:00:38","7:00:38","6:56:32","6:56:32","0:04:06","0:04:06","8.24","3.06","2.89","","22.02","22.02"
"38","Stop without doors","","7:01:06","7:01:26","","","","","8.38","","3.03","","","18.70"
"39","Stop","White Street Mid-Block (South Side),1","7:01:49","7:02:16","6:57:49","6:57:49","0:04:00","0:04:27","8.42","3.26","3.07","","9.24","5.74"
"40","Drive through","Wright & Stoughton (NW Corner),4","7:03:04","7:03:04","6:58:27","6:58:27","0:04:37","0:04:37","8.69","3.53","3.34","","20.14","20.14"
"41","Stop without doors","","7:03:16","7:03:30","","","","","8.72","","3.38","","","10.63"
"42","Drive through","Wright & Healey (NW Corner),4","7:03:52","7:03:52","7:00:22","7:00:22","0:03:30","0:03:30","8.82","3.67","3.47","","10.12","16.27"
"43","Stop without doors","","7:04:09","7:04:24","","","","","8.88","","3.53","","","12.37"
"44","Stop","Illini Union (South Side Shelter),1","7:04:53","7:05:22","7:01:00","7:01:00","0:03:53","0:04:22","8.99","3.87","3.65","","10.09","13.97"
"45","Stop without doors","","7:05:35","7:06:02","","","","","9.12","","3.77","","","35.28"
"46","Drive through","Green & Goodwin (SW Far Side),7","7:06:19","7:06:19","7:01:54","7:01:54","0:04:25","0:04:25","9.18","4.06","3.83","","11.74","12.37"
"47","Drive through","Chemical & Life Sciences,1","7:06:53","7:06:53","7:02:21","7:02:21","0:04:32","0:04:32","9.33","4.19","3.98","","15.79","15.79"
"48","Drive through","Goodwin & Nevada (NW Corner),4","7:07:37","7:07:37","7:02:48","7:02:48","0:04:49","0:04:49","9.44","4.33","4.09","","9.36","9.36"
"49","Stop","Nevada & Gregory Pl. (SW Corner),3","7:08:02","7:08:09","7:03:15","7:03:15","0:04:47","0:04:54","9.54","4.45","4.19","","14.23","14.23"
"50","Stop without doors","","7:08:39","7:09:11","","","","","9.66","","4.32","","","14.77"
"51","Drive through","Nevada & Lincoln (SW Corner),3","7:08:53","7:08:53","7:03:42","7:03:42","0:05:11","0:05:11","9.66","4.56","4.32","","10.02","0.13"
