"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line BRONZE ALT, Block 508","","13:18:45","","13:30:00","","","4.52","","0.00","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","13:18:45","13:18:45","","","","","4.52","","0.00","","",""
"3","Stop with doors","","13:26:03","13:27:27","","","","","4.52","","0.00","","","0.00"
"4","Stop without doors","","13:28:36","13:28:54","","","","","4.69","","0.17","","","8.79"
"5","Drive through","MTD Garage,1","13:29:09","13:29:09","13:30:00","13:30:00","-0:00:51","-0:00:51","4.74","0.00","0.22","","0.00","11.79"
"6","Trip","Line BRONZE ALT, Block 508","","13:29:09","","13:30:00","","","4.74","","0.00","Pattern: [@2.0.84948307@]133","","0.00"
"7","Drive through","MTD Garage,1","13:29:09","13:29:09","13:30:00","13:30:00","-0:00:51","-0:00:51","4.74","0.00","0.00","","0.00",""
"8","Drive through","West Pull Out,1","13:29:10","13:29:10","13:30:30","13:30:30","-0:01:20","-0:01:20","4.74","0.06","0.01","","22.37","22.37"
"9","Stop without doors","","13:33:46","13:33:57","","","","","6.31","","1.58","","","20.48"
"10","Stop","Race & Indiana (SE Corner),2","13:35:00","13:42:37","13:34:45","13:34:45","0:00:15","0:07:52","6.44","1.72","1.71","","17.45","7.21"
"11","Stop","Orchard Downs North Shelter (East),2","13:48:56","13:48:56","14:09:30","14:09:30","-0:20:34","-0:20:34","6.48","7.34","1.74","","0.35","0.35"
"12","Dead run inter","Line BRONZE ALT, Block 508","","13:52:11","","14:09:30","","","6.48","","0.00","Pattern: [ODNS:2][UHS:2]","","0.00"
"13","Stop","Orchard Downs North Shelter (East),2","13:52:11","13:52:11","14:09:30","14:09:30","-0:17:19","-0:17:19","6.48","0.00","0.00","","0.00",""
"14","Stop","Urbana High School,2","13:52:12","13:52:12","14:11:43","14:11:43","-0:19:31","-0:19:31","6.48","0.77","0.00","","0.00","0.00"
"15","Trip","Line GREEN ALT, Block 508","","14:32:50","","14:31:00","","","6.48","","0.00","Pattern: [@2.0.84887452@]S6 ALT","","0.00"
