"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Trip","Line ILLINI, Block 2207","","7:24:40","","7:18:00","","","2.60","","0.00","Pattern: 22N ILLINI 10","",""
"2","Stop","PAR (North Side Shelter),2","7:24:40","7:24:40","7:18:00","7:18:00","0:06:40","0:06:40","2.60","0.00","0.00","","0.00",""
"3","Drive through","Penn & Maryland (SE Corner),2","7:25:31","7:25:31","7:18:50","7:18:50","0:06:41","0:06:41","2.82","0.20","0.22","","15.27","15.27"
"4","Stop","LAR (East Side),2","7:27:02","7:27:21","7:20:30","7:20:30","0:06:32","0:06:51","3.23","0.65","0.63","","16.28","16.28"
"5","Drive through","Lincoln & Oregon (SE Corner),2","7:27:47","7:27:47","7:21:20","7:21:20","0:06:27","0:06:27","3.48","0.87","0.88","","34.94","34.94"
"6","Drive through","Lincoln & Illinois (NW Far Side),8","7:28:12","7:28:12","7:22:10","7:22:10","0:06:02","0:06:02","3.63","1.02","1.03","","21.57","21.57"
"7","Drive through","Illinois St. Residence Hall (North Side),2","7:28:28","7:28:28","7:23:00","7:23:00","0:05:28","0:05:28","3.76","1.14","1.16","","27.83","27.83"
"8","Drive through","Chemical & Life Sciences,1","7:28:58","7:28:58","7:23:40","7:23:40","0:05:18","0:05:18","3.92","1.32","1.32","","19.39","19.39"
"9","Drive through","Goodwin & Nevada (NW Corner),4","7:29:37","7:29:37","7:25:00","7:25:00","0:04:37","0:04:37","4.03","1.45","1.43","","10.44","10.44"
"10","Drive through","Goodwin & Gregory (NW Corner),4","7:30:11","7:30:11","7:25:40","7:25:40","0:04:31","0:04:31","4.15","1.57","1.55","","12.70","12.70"
"11","Drive through","Gregory at Mumford Hall,2","7:30:34","7:30:34","7:26:20","7:26:20","0:04:14","0:04:14","4.25","1.67","1.65","","15.57","15.57"
"12","Stop","Gregory at Library (North Side),2","7:30:59","7:31:12","7:27:00","7:27:00","0:03:59","0:04:12","4.39","1.83","1.79","","20.32","20.32"
"13","Drive through","Fourth & Gregory (SW Far Side),7","7:32:09","7:32:09","7:28:30","7:28:30","0:03:39","0:03:39","4.70","2.11","2.10","","19.35","19.35"
"14","Drive through","Fourth & Peabody (NW Corner),4","7:32:36","7:32:36","7:29:30","7:29:30","0:03:06","0:03:06","4.85","2.27","2.25","","20.47","20.47"
"15","Stop","ARC (North Side),2","7:33:10","7:33:21","7:30:30","7:30:30","0:02:40","0:02:51","4.98","2.41","2.38","","13.16","13.16"
"16","Stop","First & Stadium (SE Corner),2","7:34:11","7:34:26","7:31:25","7:31:25","0:02:46","0:03:01","5.17","2.63","2.57","","13.70","13.70"
"17","Drive through","First & Gregory (SE Corner),2","7:34:48","7:34:48","7:32:05","7:32:05","0:02:43","0:02:43","5.26","2.71","2.66","","15.56","15.56"
"18","Stop","First & Armory (NE Far Side),5","7:35:20","7:35:33","7:33:05","7:33:05","0:02:15","0:02:28","5.38","2.83","2.78","","12.80","12.80"
"19","Stop without doors","","7:35:38","7:35:46","","","","","5.38","","2.78","","","3.58"
