"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ORANGE, Block 601","","6:18:14","","6:34:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:18:14","6:18:14","","","","","0.00","","","","",""
"3","Stop with doors","","6:26:03","6:26:03","","","","","0.00","","","","","0.00"
"4","Trip","Line ORANGE, Block 601","","6:29:46","","6:34:00","","","0.08","","0.00","Pattern: [@2.0.86175868@]ORANGE 610","","0.00"
"5","Drive through","West Pull Out,1","6:29:46","6:29:46","6:34:15","6:34:15","-0:04:29","-0:04:29","0.08","0.00","0.00","","0.00",""
"6","Stop without doors","","6:31:46","6:32:42","","","","","0.59","","0.51","","","15.10"
"7","Stop","Lincoln Square Courthouse,2","6:34:30","6:34:30","6:37:00","6:37:00","-0:02:30","-0:02:30","1.06","0.83","0.98","","12.32","15.62"
"8","Trip","Line ORANGE, Block 601","","6:37:47","","6:37:00","","","1.06","","0.00","Pattern: [@2.0.86175868@]ORANGE 33","","0.00"
"9","Stop","Lincoln Square Courthouse,2","6:37:47","6:37:47","6:37:00","6:37:00","0:00:47","0:00:47","1.06","0.00","0.00","","0.00",""
"10","Stop","Save A Lot (East Side),2","6:38:15","6:38:49","6:38:26","6:38:26","-0:00:11","0:00:23","1.22","0.18","0.17","","20.78","20.78"
"11","Drive through","Broadway & University (SE Corner),2","6:39:13","6:39:13","6:38:56","6:38:56","0:00:17","0:00:17","1.32","0.27","0.27","","15.66","15.66"
"12","Stop","Broadway & Park (NW Far Side),8","6:39:50","6:40:00","6:39:26","6:39:26","0:00:24","0:00:34","1.42","0.40","0.37","","9.92","9.92"
"13","Stop","Park & Central (NE Corner),1","6:40:27","6:40:35","6:40:10","6:40:10","0:00:17","0:00:25","1.57","0.54","0.52","","20.05","20.05"
"14","Stop","Church & Orchard (NE Corner),1","6:41:30","6:42:11","6:40:54","6:40:54","0:00:36","0:01:17","1.79","0.76","0.74","","14.08","14.08"
"15","Stop","Coler & Church (NE Corner),1","6:42:27","6:42:59","6:41:38","6:41:38","0:00:49","0:01:21","1.85","0.83","0.80","","14.68","14.68"
"16","Drive through","Church & Busey (NE Corner),1","6:43:12","6:43:12","6:42:00","6:42:00","0:01:12","0:01:12","1.93","0.90","0.88","","22.20","22.20"
"17","Drive through","Lincoln & Park (West Side),4","6:43:45","6:43:45","6:42:22","6:42:22","0:01:23","0:01:23","2.14","1.09","1.09","","22.31","22.31"
