"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line GOLD, Block 2204","","6:00:53","","6:06:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:00:53","6:00:53","","","","","0.00","","","","",""
"3","Stop with doors","","6:05:13","6:05:21","","","","","0.17","","","","","2.31"
"4","Drive through","MTD Garage,1","6:05:30","6:05:30","6:06:00","6:06:00","-0:00:30","-0:00:30","0.22","0.00","0.00","","0.00","19.89"
"5","Trip","Line GOLD, Block 2204","","6:05:30","","6:06:00","","","0.22","","0.00","Pattern: GOLD 45","","0.00"
"6","Drive through","MTD Garage,1","6:05:30","6:05:30","6:06:00","6:06:00","-0:00:30","-0:00:30","0.22","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","6:05:32","6:05:32","6:06:30","6:06:30","-0:00:58","-0:00:58","0.23","0.06","0.02","","20.14","20.14"
"8","Stop without doors","","6:06:32","6:06:50","","","","","0.55","","0.34","","","19.28"
"9","Stop with doors","","6:16:06","6:16:35","","","","","4.32","","4.10","","","24.37"
"10","Drive through","Prospect & Kirby (NW Far Side),8","6:17:23","6:17:23","6:16:00","6:16:00","0:01:23","0:01:23","4.67","4.34","4.46","","22.49","26.85"
"11","Trip","Line GOLD, Block 2204","","6:17:23","","6:16:00","","","4.67","","0.00","Pattern: 10WSV1","","0.00"
"12","Drive through","Prospect & Kirby (NW Far Side),8","6:17:23","6:17:23","6:16:00","6:16:00","0:01:23","0:01:23","4.67","0.00","0.00","","0.00",""
"13","Drive through","Kirby & Greencroft (NE Corner),1","6:17:49","6:17:49","6:16:40","6:16:40","0:01:09","0:01:09","4.89","0.24","0.22","","30.46","30.46"
"14","Drive through","Kirby & Lincoln Rd. (NE Corner),1","6:18:04","6:18:04","6:17:00","6:17:00","0:01:04","0:01:04","5.02","0.37","0.35","","29.53","29.53"
"15","Drive through","Kirby & Mayfair (NE Corner),1","6:18:33","6:18:33","6:17:40","6:17:40","0:00:53","0:00:53","5.22","0.57","0.55","","25.69","25.69"
"16","Drive through","Kirby & Waverly (NE Corner),1","6:18:49","6:18:49","6:18:00","6:18:00","0:00:49","0:00:49","5.34","0.69","0.68","","27.13","27.13"
"17","Drive through","Kirby & Rose (NE Corner),1","6:19:04","6:19:04","6:18:40","6:18:40","0:00:24","0:00:24","5.46","0.81","0.79","","26.85","26.85"
"18","Stop without doors","","6:19:35","6:19:44","","","","","5.60","","0.93","","","16.53"
"19","Drive through","Kirby & Mattis (SW Far Side),7","6:20:05","6:20:05","6:19:20","6:19:20","0:00:45","0:00:45","5.71","1.05","1.04","","15.08","19.39"
"20","Drive through","Mattis & Southwood (NW Corner),4","6:20:21","6:20:21","6:19:40","6:19:40","0:00:41","0:00:41","5.84","1.19","1.17","","28.53","28.53"
"21","Drive through","Mattis & Broadmoor (NW Corner),4","6:20:28","6:20:28","6:20:00","6:20:00","0:00:28","0:00:28","5.90","1.26","1.23","","30.68","30.68"
"22","Stop","Mattis & Gentry Square South (NW Corner),4","6:20:55","6:21:22","6:20:40","6:20:40","0:00:15","0:00:42","6.05","1.43","1.38","","20.05","20.05"
"23","Stop","Mattis & Devonshire (SE Far Side),6","6:21:56","6:22:03","6:21:00","6:21:00","0:00:56","0:01:03","6.15","1.52","1.48","","10.66","10.66"
"24","Drive through","Devonshire & Lakeside (SW Corner),3","6:22:33","6:22:33","6:21:20","6:21:20","0:01:13","0:01:13","6.31","1.67","1.64","","19.39","19.39"
"25","Drive through","Devonshire & Sandpiper (SW Corner),3","6:22:47","6:22:47","6:21:40","6:21:40","0:01:07","0:01:07","6.38","1.74","1.72","","19.02","19.02"
"26","Drive through","Devonshire & Mayfair (SW Corner),3","6:23:31","6:23:31","6:22:00","6:22:00","0:01:31","0:01:31","6.55","1.90","1.89","","13.93","13.93"
"27","Trip","Line GOLD, Block 2204","","6:23:31","","6:22:00","","","6.55","","0.00","Pattern: GOLD 11","","0.00"
"28","Drive through","Devonshire & Mayfair (SW Corner),3","6:23:31","6:23:31","6:22:00","6:22:00","0:01:31","0:01:31","6.55","0.00","0.00","","0.00",""
"29","Drive through","Mayfair & Theodore (SE Corner),2","6:23:52","6:23:52","6:22:45","6:22:45","0:01:07","0:01:07","6.66","0.12","0.11","","18.86","18.86"
"30","Drive through","Mayfair & Broadmoor (SE Corner),2","6:24:35","6:24:35","6:23:30","6:23:30","0:01:05","0:01:05","6.84","0.29","0.29","","14.93","14.93"
"31","Drive through","Broadmoor & Lakeside (NE Corner),1","6:24:51","6:24:51","6:24:02","6:24:02","0:00:49","0:00:49","6.94","0.42","0.39","","21.26","21.26"
"32","Stop","Mattis & Broadmoor (NE Corner),1","6:25:32","6:25:53","6:25:00","6:25:00","0:00:32","0:00:53","7.14","0.64","0.59","","17.35","17.35"
"33","Drive through","Kirby & Mattis (SE Corner),2","6:26:55","6:26:55","6:25:32","6:25:32","0:01:23","0:01:23","7.43","0.91","0.88","","17.21","17.21"
"34","Drive through","Kirby & Rose (South Side),3","6:27:21","6:27:21","6:26:00","6:26:00","0:01:21","0:01:21","7.61","1.08","1.06","","24.18","24.18"
"35","Drive through","Champaign House (South Side),1","6:27:35","6:27:35","6:26:28","6:26:28","0:01:07","0:01:07","7.71","1.21","1.16","","26.21","26.21"
