"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line SILVER, Block 133","","9:32:29","","9:35:00","","","2.60","","0.00","Pattern: [PAR][PAR:2]","",""
"2","Depot","PAR","9:32:29","9:32:29","9:35:00","9:35:00","-0:02:31","-0:02:31","2.60","0.00","0.00","","0.00",""
"3","Stop","PAR (North Side Shelter),2","9:32:30","9:32:30","9:36:00","9:36:00","-0:03:30","-0:03:30","2.60","0.27","0.00","","0.00","0.00"
"4","Trip","Line SILVER, Block 133","","9:36:20","","9:36:00","","","2.60","","0.00","Pattern: SILVER 2","","0.00"
"5","Stop","PAR (North Side Shelter),2","9:36:20","9:36:20","9:36:00","9:36:00","0:00:20","0:00:20","2.60","0.00","0.00","","0.00",""
"6","Drive through","Penn & Maryland (SE Corner),2","9:37:12","9:37:12","9:37:00","9:37:00","0:00:12","0:00:12","2.79","0.20","0.19","","13.00","13.00"
"7","Drive through","Plant Sciences Lab (East Side),2","9:38:07","9:38:07","9:37:45","9:37:45","0:00:22","0:00:22","3.00","0.40","0.40","","13.71","13.71"
"8","Stop","Gregory & Dorner (SE Corner),2","9:38:23","9:38:58","9:38:20","9:38:20","0:00:03","0:00:38","3.07","0.52","0.47","","14.82","14.82"
"9","Drive through","Goodwin & Gregory (NE Corner),1","9:39:29","9:39:29","9:38:55","9:38:55","0:00:34","0:00:34","3.19","0.62","0.59","","14.08","14.08"
"10","Drive through","Gregory at Mumford Hall,2","9:40:01","9:40:01","9:39:30","9:39:30","0:00:31","0:00:31","3.31","0.73","0.71","","14.06","14.06"
"11","Stop","Gregory at Library (North Side),2","9:40:28","9:40:58","9:40:05","9:40:05","0:00:23","0:00:53","3.43","0.89","0.83","","15.66","15.66"
"12","Stop without doors","","9:41:49","9:42:16","","","","","3.58","","0.98","","","10.62"
"13","Stop","Armory & Wright (South Side),3","9:42:43","9:43:10","9:41:15","9:41:15","0:01:28","0:01:55","3.66","1.12","1.06","","7.87","10.53"
"14","Stop","Transit Plaza (SE Platform),4","9:44:21","9:44:50","9:42:00","9:42:00","0:02:21","0:02:50","3.87","1.32","1.27","","10.59","10.59"
"15","Stop without doors","","9:45:27","9:46:18","","","","","3.99","","1.39","","","11.31"
"16","Stop","Illini Union (South Side Shelter),1","9:47:11","9:47:55","9:43:00","9:43:00","0:04:11","0:04:55","4.09","1.50","1.49","","5.64","7.10"
"17","Stop without doors","","9:48:23","9:49:26","","","","","4.24","","1.64","","","18.70"
"18","Stop","Goodwin at Materials Research,2","9:50:00","9:50:16","9:44:30","9:44:30","0:05:30","0:05:46","4.34","1.80","1.74","","7.16","10.93"
"19","Drive through","Springfield & Harvey (SW Corner),3","9:50:58","9:50:58","9:45:00","9:45:00","0:05:58","0:05:58","4.49","1.96","1.89","","13.05","13.05"
