"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Trip","Line LAVENDER ALT, Block 134","","6:58:38","","6:48:00","","","4.98","","0.00","Pattern: [@2.0.84876422@]LP1SCHOOLPO","",""
"2","Stop without doors","","6:58:38","6:58:38","","","","","4.98","","0.00","","",""
"3","Stop","Town Center & Menards (NE Corner),1","6:59:24","6:59:24","7:00:00","7:00:00","-0:00:36","-0:00:36","5.17","0.00","0.19","","0.00","14.40"
"4","Stop with doors","","6:59:57","7:01:02","","","","","5.29","","0.32","","","13.90"
"5","Stop without doors","","7:02:08","7:02:30","","","","","5.69","","0.71","","","21.36"
"6","Drive through","Boardwalk & Town Center (SW Far Side),7","7:03:25","7:03:25","7:02:25","7:02:25","0:01:00","0:01:00","5.97","0.51","0.99","","11.96","18.43"
"7","Drive through","Prospect & Marketview (SW Corner),3","7:04:48","7:04:48","7:03:25","7:03:25","0:01:23","0:01:23","6.37","0.91","1.40","","17.63","17.63"
"8","Stop without doors","","7:05:06","7:05:15","","","","","6.45","","1.47","","","14.67"
"9","Drive through","Bloomington & Prospect (NW Corner),4","7:06:19","7:06:19","7:07:50","7:07:50","-0:01:31","-0:01:31","6.73","1.35","1.75","","14.14","15.98"
"10","Drive through","Bloomington at Pioneer Plaza,1","7:06:34","7:06:34","7:07:50","7:07:50","-0:01:16","-0:01:16","6.84","1.48","1.86","","26.70","26.70"
"11","Drive through","Bloomington & McKinley (NE Corner),1","7:07:21","7:07:21","7:09:15","7:09:15","-0:01:54","-0:01:54","7.26","1.87","2.28","","31.66","31.66"
"12","Stop without doors","","7:08:35","7:08:51","","","","","7.79","","2.82","","","26.24"
"13","Stop","Mattis at Post Office (West Side),1","7:11:33","7:13:20","7:12:40","7:12:40","-0:01:07","0:00:40","7.95","2.87","2.97","","9.92","3.44"
"14","Drive through","Paula & Mattis (SE Far Side),6","7:13:57","7:13:57","7:13:10","7:13:10","0:00:47","0:00:47","8.07","2.98","3.09","","11.85","11.85"
"15","Drive through","Paula & Cynthia (SW Corner),3","7:14:11","7:14:11","7:13:38","7:13:38","0:00:33","0:00:33","8.16","3.07","3.18","","22.69","22.69"
"16","Drive through","Paula & Garden Hills (SW Corner),3","7:14:43","7:14:43","7:14:06","7:14:06","0:00:37","0:00:37","8.29","3.19","3.31","","14.68","14.68"
"17","Stop","Paula & Joanne (SW Corner),3","7:14:56","7:15:11","7:14:34","7:14:34","0:00:22","0:00:37","8.33","3.26","3.35","","9.98","9.98"
"18","Drive through","Paula & Melanie (South Side),3","7:15:27","7:15:27","7:15:02","7:15:02","0:00:25","0:00:25","8.44","3.35","3.46","","25.87","25.87"
"19","Stop","Paula & Honeysuckle (SW Corner),3","7:15:45","7:15:58","7:15:30","7:15:30","0:00:15","0:00:28","8.50","3.43","3.52","","11.07","11.07"
"20","Drive through","Paula & Larkspur (South Side),3","7:16:08","7:16:08","7:15:58","7:15:58","0:00:10","0:00:10","8.57","3.48","3.59","","26.62","26.62"
"21","Stop","Paula & Kirk Ln. (SW Corner),3","7:16:31","7:16:43","7:16:26","7:16:26","0:00:05","0:00:17","8.69","3.62","3.71","","18.48","18.48"
"22","Drive through","Paula & Jeanne (South Side),3","7:16:54","7:16:54","7:16:54","7:16:54","0:00:00","0:00:00","8.76","3.68","3.79","","24.81","24.81"
"23","Drive through","Paula & Powers (SW Corner),3","7:17:01","7:17:01","7:17:22","7:17:22","-0:00:21","-0:00:21","8.81","3.73","3.83","","24.93","24.93"
"24","Drive through","Paula & McKinley (SW Corner),3","7:17:24","7:17:24","7:17:50","7:17:50","-0:00:26","-0:00:26","8.87","3.79","3.89","","9.24","9.24"
"25","Stop","Bradley & McKinley (NW Corner),4","7:18:18","7:18:43","7:19:18","7:19:18","-0:01:00","-0:00:35","9.10","4.04","4.13","","15.50","15.50"
"26","Drive through","Bradley & Prospect (SW Corner),3","7:19:36","7:19:36","7:20:46","7:20:46","-0:01:10","-0:01:10","9.39","4.29","4.41","","19.17","19.17"
"27","Stop","Prospect & Vine (NW Corner),4","7:20:39","7:20:52","7:23:14","7:23:14","-0:02:35","-0:02:22","9.72","4.63","4.74","","19.11","19.11"
"28","Drive through","University & New (SW Corner),3","7:22:31","7:22:31","7:26:30","7:26:30","-0:03:59","-0:03:59","10.30","5.23","5.33","","21.24","21.24"
"29","Stop","University & Lynn (SW Corner),3","7:22:52","7:23:14","7:27:34","7:27:34","-0:04:42","-0:04:20","10.41","5.36","5.43","","17.47","17.47"
"30","Drive through","University & Elm (NW Corner),4","7:23:31","7:23:31","7:27:49","7:27:49","-0:04:18","-0:04:18","10.52","5.46","5.54","","23.69","23.69"
"31","Drive through","State & University (SW Corner),3","7:24:06","7:24:06","7:28:04","7:28:04","-0:03:58","-0:03:58","10.70","5.63","5.73","","19.05","19.05"
"32","Stop without doors","","7:24:39","7:25:26","","","","","10.91","","5.93","","","22.10"
"33","Stop","Edison Middle School,9","7:26:21","7:26:21","7:30:00","7:30:00","-0:03:39","-0:03:39","11.16","6.14","6.18","","12.08","16.40"
"34","Dead run inter","Line LAVENDER ALT, Block 134","","7:27:02","","7:30:00","","","11.16","","0.00","Pattern: [EMS:9][PAR:2]","","0.00"
"35","Stop","Edison Middle School,9","7:27:02","7:27:02","7:30:00","7:30:00","-0:02:58","-0:02:58","11.16","0.00","0.00","","0.00",""
"36","Stop without doors","","7:35:19","7:35:53","","","","","13.62","","2.47","","","17.88"
"37","Stop","PAR (North Side Shelter),2","7:36:16","7:36:16","7:35:00","7:35:00","0:01:16","0:01:16","13.64","2.55","2.49","","16.13","2.14"
"38","Trip","Line SILVER, Block 134","","7:46:44","","7:46:00","","","13.64","","0.00","Pattern: SILVER 2","","0.00"
"39","Stop","PAR (North Side Shelter),2","7:46:44","7:46:44","7:46:00","7:46:00","0:00:44","0:00:44","13.64","0.00","0.00","","0.00",""
"40","Drive through","Penn & Maryland (SE Corner),2","7:48:11","7:48:11","7:47:00","7:47:00","0:01:11","0:01:11","13.85","0.20","0.22","","9.00","9.00"
"41","Drive through","Plant Sciences Lab (East Side),2","7:48:51","7:48:51","7:47:45","7:47:45","0:01:06","0:01:06","14.03","0.40","0.40","","15.78","15.78"
"42","Stop","Gregory & Dorner (SE Corner),2","7:49:13","7:49:35","7:48:20","7:48:20","0:00:53","0:01:15","14.12","0.52","0.48","","13.93","13.93"
"43","Stop","Goodwin & Gregory (NE Corner),1","7:50:18","7:50:32","7:48:55","7:48:55","0:01:23","0:01:37","14.22","0.62","0.58","","8.38","8.38"
"44","Stop","Gregory at Mumford Hall,2","7:50:54","7:51:10","7:49:30","7:49:30","0:01:24","0:01:40","14.32","0.73","0.69","","16.78","16.78"
"45","Stop","Gregory at Library (North Side),2","7:51:43","7:52:04","7:50:05","7:50:05","0:01:38","0:01:59","14.47","0.89","0.84","","17.09","17.09"
"46","Stop without doors","","7:52:23","7:52:38","","","","","14.55","","0.92","","","14.49"
"47","Stop without doors","","7:53:16","7:53:53","","","","","14.63","","1.00","","","7.36"
"48","Stop","Armory & Wright (South Side),3","7:54:22","7:54:34","7:51:15","7:51:15","0:03:07","0:03:19","14.70","1.12","1.07","","5.92","9.03"
"49","Stop","Transit Plaza (SE Platform),4","7:55:34","7:55:52","7:52:00","7:52:00","0:03:34","0:03:52","14.91","1.32","1.27","","12.27","12.27"
"50","Stop without doors","","7:56:31","7:57:01","","","","","15.02","","1.39","","","10.96"
"51","Stop","Illini Union (South Side Shelter),1","7:57:35","7:58:07","7:53:00","7:53:00","0:04:35","0:05:07","15.14","1.50","1.50","","8.06","11.85"
"52","Stop without doors","","7:58:37","7:59:16","","","","","15.28","","1.65","","","17.01"
"53","Stop","Goodwin at Materials Research,2","7:59:52","8:00:12","7:54:30","7:54:30","0:05:22","0:05:42","15.37","1.80","1.74","","8.04","9.26"
"54","Drive through","Springfield & Harvey (SW Corner),3","8:00:40","8:00:40","7:55:00","7:55:00","0:05:40","0:05:40","15.52","1.96","1.89","","19.10","19.10"
"55","Drive through","Springfield & Gregory St. (SW Corner),3","8:00:51","8:00:51","7:55:30","7:55:30","0:05:21","0:05:21","15.61","2.05","1.97","","28.88","28.88"
"56","Stop without doors","","8:01:07","8:02:08","","","","","15.66","","2.03","","","12.31"
"57","Drive through","Springfield & Busey (SW Corner),3","8:02:31","8:02:31","7:56:30","7:56:30","0:06:01","0:06:01","15.77","2.20","2.14","","5.78","16.54"
