"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ILLINI, Block 2203","","6:45:01","","6:48:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:45:01","6:45:01","","","","","0.00","","","","",""
"3","Depot","MTD Garage","6:46:20","6:46:20","6:48:00","6:48:00","-0:01:40","-0:01:40","0.05","0.00","0.00","","0.00","1.96"
"4","Drive through","MTD Garage,1","6:46:41","6:46:41","6:48:00","6:48:00","-0:01:19","-0:01:19","0.10","0.01","0.00","","9.49","9.49"
"5","Trip","Line ILLINI, Block 2203","","6:46:41","","6:48:00","","","0.10","","0.00","Pattern: ILLINI 47","","0.00"
"6","Drive through","MTD Garage,1","6:46:41","6:46:41","6:48:00","6:48:00","-0:01:19","-0:01:19","0.10","0.00","0.00","","0.00",""
"7","Drive through","West Pull Out,1","6:46:44","6:46:44","6:48:30","6:48:30","-0:01:46","-0:01:46","0.11","0.06","0.01","","9.70","9.70"
"8","Stop without doors","","6:48:23","6:48:50","","","","","0.58","","0.48","","","16.88"
"9","Stop without doors","","6:50:27","6:51:09","","","","","1.34","","1.24","","","28.25"
"10","Stop","PAR (North Side Shelter),2","6:54:38","6:54:38","6:58:00","6:58:00","-0:03:22","-0:03:22","2.64","2.42","2.54","","19.18","22.38"
"11","Trip","Line ILLINI, Block 2203","","6:58:54","","6:58:00","","","2.64","","0.00","Pattern: 22N ILLINI 10","","0.00"
"12","Stop","PAR (North Side Shelter),2","6:58:54","6:58:54","6:58:00","6:58:00","0:00:54","0:00:54","2.64","0.00","0.00","","0.00",""
"13","Drive through","Penn & Maryland (SE Corner),2","6:59:56","6:59:56","6:58:50","6:58:50","0:01:06","0:01:06","2.83","0.20","0.20","","11.04","11.04"
"14","Stop without doors","","7:00:44","7:01:04","","","","","3.00","","0.36","","","12.73"
"15","Drive through","LAR (East Side),2","7:01:53","7:01:53","7:00:30","7:00:30","0:01:23","0:01:23","3.32","0.65","0.69","","15.13","23.65"
"16","Drive through","Lincoln & Oregon (SE Corner),2","7:02:13","7:02:13","7:01:20","7:01:20","0:00:53","0:00:53","3.48","0.87","0.85","","29.53","29.53"
"17","Drive through","Lincoln & Illinois (NW Far Side),8","7:02:41","7:02:41","7:02:10","7:02:10","0:00:31","0:00:31","3.62","1.02","0.99","","17.98","17.98"
"18","Drive through","Illinois St. Residence Hall (North Side),2","7:03:02","7:03:02","7:03:00","7:03:00","0:00:02","0:00:02","3.74","1.14","1.11","","20.46","20.46"
