"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ORANGE, Block 507","","5:49:08","","6:06:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","5:49:08","5:49:08","","","","","0.00","","","","",""
"3","Stop","MTD Garage,1","5:49:16","5:49:16","6:06:00","6:06:00","-0:16:44","-0:16:44","0.00","0.00","0.00","","0.00","0.00"
"4","Trip","Line ORANGE, Block 507","","6:01:56","","6:06:00","","","0.00","","","Pattern: [@2.0.86175868@]27","","0.00"
"5","Stop","MTD Garage,1","6:01:56","6:01:56","6:06:00","6:06:00","-0:04:04","-0:04:04","0.00","0.00","0.00","","0.00",""
"6","Stop without doors","","6:03:06","6:03:17","","","","","0.16","","","","","8.19"
"7","Stop without doors","","6:04:40","6:08:06","","","","","0.69","","","","","22.94"
"8","Drive through","Butzow & Lierman (SE Corner),2","6:08:21","6:08:21","6:09:00","6:09:00","-0:00:39","-0:00:39","0.74","0.56","0.00","","6.92","12.38"
"9","Trip","Line ORANGE, Block 507","","6:08:22","","6:09:00","","","0.74","","0.00","Pattern: [@2.0.86175868@]19","","0.00"
"10","Drive through","Butzow & Lierman (SE Corner),2","6:08:22","6:08:22","6:09:00","6:09:00","-0:00:38","-0:00:38","0.74","0.00","0.00","","0.00",""
"11","Drive through","Butzow at Guardian West (NE Corner),1","6:08:43","6:08:43","6:09:25","6:09:25","-0:00:42","-0:00:42","0.91","0.18","0.17","","28.45","28.45"
"12","Drive through","Guardian Dr. & Butzow (SW Corner),3","6:09:08","6:09:08","6:09:45","6:09:45","-0:00:37","-0:00:37","1.04","0.32","0.30","","17.99","17.99"
"13","Drive through","U.S. 150 & University (NW Corner),4","6:09:15","6:09:15","6:10:00","6:10:00","-0:00:45","-0:00:45","1.07","0.38","0.33","","16.30","16.30"
"14","Stop without doors","","6:09:21","6:09:35","","","","","1.08","","0.34","","","4.85"
"15","Drive through","U.S. 150 & Dale (South Side),3","6:10:06","6:10:06","6:10:40","6:10:40","-0:00:34","-0:00:34","1.31","0.61","0.57","","17.24","27.43"
