"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ORANGE, Block 507","","6:00:29","","6:06:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:00:29","6:00:29","","","","","0.00","","","","",""
"3","Stop","MTD Garage,1","6:00:37","6:00:37","6:06:00","6:06:00","-0:05:23","-0:05:23","0.00","0.00","0.00","","0.00","0.00"
"4","Trip","Line ORANGE, Block 507","","6:01:23","","6:06:00","","","0.00","","","Pattern: [@2.0.86175868@]27","","0.00"
"5","Stop","MTD Garage,1","6:01:23","6:01:23","6:06:00","6:06:00","-0:04:37","-0:04:37","0.00","0.00","0.00","","0.00",""
"6","Stop without doors","","6:02:44","6:02:51","","","","","0.57","","","","","25.30"
"7","Stop without doors","","6:03:21","6:07:58","","","","","0.69","","","","","14.10"
"8","Drive through","Butzow & Lierman (SE Corner),2","6:08:10","6:08:10","6:09:00","6:09:00","-0:00:50","-0:00:50","0.74","0.56","0.00","","6.50","14.17"
"9","Trip","Line ORANGE, Block 507","","6:08:10","","6:09:00","","","0.74","","0.00","Pattern: [@2.0.86175868@]19","","0.00"
"10","Drive through","Butzow & Lierman (SE Corner),2","6:08:10","6:08:10","6:09:00","6:09:00","-0:00:50","-0:00:50","0.74","0.00","0.00","","0.00",""
"11","Drive through","Butzow at Guardian West (NE Corner),1","6:08:28","6:08:28","6:09:25","6:09:25","-0:00:57","-0:00:57","0.90","0.18","0.17","","32.19","32.19"
"12","Drive through","Guardian Dr. & Butzow (SW Corner),3","6:08:49","6:08:49","6:09:45","6:09:45","-0:00:56","-0:00:56","1.03","0.32","0.29","","21.63","21.63"
"13","Drive through","U.S. 150 & University (NW Corner),4","6:08:57","6:08:57","6:10:00","6:10:00","-0:01:03","-0:01:03","1.07","0.38","0.33","","17.90","17.90"
"14","Stop without doors","","6:09:02","6:09:25","","","","","1.07","","0.34","","","3.58"
"15","Drive through","U.S. 150 & Dale (South Side),3","6:09:54","6:09:54","6:10:40","6:10:40","-0:00:46","-0:00:46","1.31","0.61","0.58","","15.51","29.86"
"16","Drive through","Smith & U.S. 150 (SW Corner),3","6:09:59","6:09:59","6:11:00","6:11:00","-0:01:01","-0:01:01","1.37","0.68","0.63","","39.82","39.82"
"17","Stop","U.S. 150 & Dodson (NE Far Side),5","6:10:43","6:10:43","6:12:00","6:12:00","-0:01:17","-0:01:17","1.72","1.04","0.98","","28.53","28.53"
"18","Trip","Line ORANGE, Block 507","","6:11:58","","6:12:00","","","1.72","","0.00","Pattern: [@2.0.86175868@]34","","0.00"
"19","Stop","U.S. 150 & Dodson (NE Far Side),5","6:11:58","6:11:58","6:12:00","6:12:00","-0:00:02","-0:00:02","1.72","0.00","0.00","","0.00",""
"20","Drive through","Dodson East & Slayback (SE Corner),2","6:12:39","6:12:39","6:12:40","6:12:40","-0:00:01","-0:00:01","1.94","0.21","0.23","","19.70","19.70"
"21","Drive through","Slayback & Ira (NW Far Side),8","6:12:57","6:12:57","6:13:00","6:13:00","-0:00:03","-0:00:03","2.09","0.38","0.38","","30.95","30.95"
"22","Drive through","Slayback & McGee (NE Corner),1","6:13:06","6:13:06","6:13:35","6:13:35","-0:00:29","-0:00:29","2.17","0.47","0.46","","31.57","31.57"
"23","Drive through","Smith & Carrie (NW Corner),4","6:13:34","6:13:34","6:13:55","6:13:55","-0:00:21","-0:00:21","2.35","0.64","0.64","","22.13","22.13"
"24","Drive through","Smith & U.S. 150 (NW Corner),4","6:13:59","6:13:59","6:14:10","6:14:10","-0:00:11","-0:00:11","2.43","0.73","0.72","","11.55","11.55"
"25","Drive through","U.S. 150 & Dale (NE Corner),1","6:14:17","6:14:17","6:14:30","6:14:30","-0:00:13","-0:00:13","2.55","0.85","0.84","","25.48","25.48"
"26","Drive through","U.S. 150 & University (NW Far Side),8","6:14:51","6:14:51","6:15:10","6:15:10","-0:00:19","-0:00:19","2.80","1.08","1.09","","25.80","25.80"
"27","Drive through","University & Lierman (NE Corner),1","6:15:18","6:15:18","6:16:00","6:16:00","-0:00:42","-0:00:42","3.08","1.36","1.37","","37.78","37.78"
"28","Drive through","Ambucs Park (North Side),2","6:15:30","6:15:30","6:16:30","6:16:30","-0:01:00","-0:01:00","3.22","1.51","1.51","","41.20","41.20"
