"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Trip","Line ILLINI, Block 2203","","6:52:31","","6:48:00","","","0.24","","0.00","Pattern: ILLINI 47","",""
"2","Drive through","MTD Garage,1","6:52:31","6:52:31","6:48:00","6:48:00","0:04:31","0:04:31","0.24","0.00","0.00","","0.00",""
"3","Drive through","West Pull Out,1","6:52:32","6:52:32","6:48:30","6:48:30","0:04:02","0:04:02","0.25","0.06","0.01","","26.85","26.85"
"4","Stop without doors","","6:56:40","6:57:20","","","","","1.73","","1.50","","","21.61"
"5","Drive through","PAR (North Side Shelter),2","7:00:15","7:00:15","6:58:00","6:58:00","0:02:15","0:02:15","2.67","2.42","2.43","","18.81","19.15"
"6","Trip","Line ILLINI, Block 2203","","7:00:16","","6:58:00","","","2.67","","0.00","Pattern: 22N ILLINI 10","","0.00"
"7","Drive through","PAR (North Side Shelter),2","7:00:16","7:00:16","6:58:00","6:58:00","0:02:16","0:02:16","2.67","0.00","0.00","","0.00",""
"8","Drive through","Penn & Maryland (SE Corner),2","7:01:00","7:01:00","6:58:50","6:58:50","0:02:10","0:02:10","2.83","0.20","0.17","","13.63","13.63"
"9","Stop without doors","","7:01:42","7:02:26","","","","","3.00","","0.34","","","14.81"
"10","Drive through","LAR (East Side),2","7:03:10","7:03:10","7:00:30","7:00:30","0:02:40","0:02:40","3.31","0.65","0.65","","13.34","25.27"
"11","Drive through","Lincoln & Oregon (SE Corner),2","7:03:49","7:03:49","7:01:20","7:01:20","0:02:29","0:02:29","3.50","0.87","0.84","","17.61","17.61"
"12","Drive through","Lincoln & Illinois (NW Far Side),8","7:04:20","7:04:20","7:02:10","7:02:10","0:02:10","0:02:10","3.64","1.02","0.98","","16.31","16.31"
"13","Drive through","Illinois St. Residence Hall (North Side),2","7:04:38","7:04:38","7:03:00","7:03:00","0:01:38","0:01:38","3.76","1.14","1.10","","23.62","23.62"
"14","Drive through","Chemical & Life Sciences,1","7:05:21","7:05:21","7:03:40","7:03:40","0:01:41","0:01:41","3.96","1.32","1.30","","16.34","16.34"
"15","Drive through","Goodwin & Nevada (NW Corner),4","7:05:59","7:05:59","7:05:00","7:05:00","0:00:59","0:00:59","4.07","1.45","1.41","","10.95","10.95"
"16","Stop","Goodwin & Gregory (NW Corner),4","7:06:15","7:06:27","7:05:40","7:05:40","0:00:35","0:00:47","4.13","1.57","1.47","","13.43","13.43"
"17","Drive through","Gregory at Mumford Hall,2","7:06:59","7:06:59","7:06:20","7:06:20","0:00:39","0:00:39","4.24","1.67","1.58","","12.59","12.59"
"18","Drive through","Gregory at Library (North Side),2","7:07:37","7:07:37","7:07:00","7:07:00","0:00:37","0:00:37","4.42","1.83","1.76","","16.60","16.60"
"19","Stop without doors","","7:08:27","7:09:14","","","","","4.65","","1.99","","","16.56"
"20","Stop","Fourth & Gregory (SW Far Side),7","7:09:41","7:10:06","7:08:30","7:08:30","0:01:11","0:01:36","4.70","2.11","2.04","","8.03","6.22"
"21","Drive through","Fourth & Peabody (NW Corner),4","7:10:46","7:10:46","7:09:30","7:09:30","0:01:16","0:01:16","4.86","2.27","2.20","","14.94","14.94"
"22","Drive through","ARC (North Side),2","7:11:11","7:11:11","7:10:30","7:10:30","0:00:41","0:00:41","5.01","2.41","2.35","","21.93","21.93"
"23","Drive through","First & Stadium (SE Corner),2","7:12:04","7:12:04","7:11:25","7:11:25","0:00:39","0:00:39","5.21","2.63","2.55","","13.38","13.38"
"24","Drive through","First & Gregory (SE Corner),2","7:12:21","7:12:21","7:12:05","7:12:05","0:00:16","0:00:16","5.28","2.71","2.62","","14.08","14.08"
"25","Drive through","First & Armory (NE Far Side),5","7:12:42","7:12:42","7:13:05","7:13:05","-0:00:23","-0:00:23","5.40","2.83","2.74","","20.88","20.88"
"26","Drive through","First & Daniel (SE Far Side),6","7:13:09","7:13:09","7:14:02","7:14:02","-0:00:53","-0:00:53","5.55","2.97","2.89","","20.14","20.14"
"27","Stop without doors","","7:13:19","7:13:48","","","","","5.56","","2.90","","","4.48"
"28","Stop without doors","","7:14:38","7:14:53","","","","","5.71","","3.05","","","10.34"
"29","Drive through","Third & Daniel (SW Corner),3","7:14:59","7:14:59","7:15:00","7:15:00","-0:00:01","-0:00:01","5.72","3.13","3.06","","5.50","7.09"
"30","Drive through","Fourth & Chalmers (NW Corner),4","7:15:57","7:15:57","7:15:45","7:15:45","0:00:12","0:00:12","5.93","3.33","3.27","","13.43","13.43"
"31","Drive through","Armory & Wright (South Side),3","7:17:29","7:17:29","7:17:15","7:17:15","0:00:14","0:00:14","6.26","3.66","3.60","","12.89","12.89"
"32","Stop with doors","","7:18:14","7:18:22","","","","","6.42","","3.76","","","12.68"
