"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line BLUE, Block 401","","5:55:44","","5:56:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","5:55:44","5:55:44","","","","","0.00","","","","",""
"3","Trip","Line BLUE, Block 401","","5:57:22","","5:56:00","","","0.18","","0.00","Pattern: BLUE 3","","0.00"
"4","Drive through","MTD Garage,1","5:57:22","5:57:22","5:56:00","5:56:00","0:01:22","0:01:22","0.18","0.00","0.00","","0.00",""
"5","Drive through","West Pull Out,1","5:57:23","5:57:23","5:56:30","5:56:30","0:00:53","0:00:53","0.19","0.06","0.01","","26.85","26.85"
"6","Stop without doors","","5:58:10","5:58:19","","","","","0.52","","0.34","","","25.09"
"7","Stop without doors","","6:03:07","6:03:18","","","","","2.65","","2.47","","","26.69"
"8","Stop without doors","","6:08:07","6:08:18","","","","","4.56","","4.38","","","23.74"
"9","Stop","Round Barn Road (North Side),2","6:09:36","6:09:36","6:11:00","6:11:00","-0:01:24","-0:01:24","4.85","4.69","4.67","","22.88","13.40"
"10","Trip","Line BLUE, Block 401","","6:12:21","","6:11:00","","","4.85","","0.00","Pattern: 4E->GRNWRT:5","","0.00"
"11","Stop","Round Barn Road (North Side),2","6:12:21","6:12:21","6:11:00","6:11:00","0:01:21","0:01:21","4.85","0.00","0.00","","0.00",""
"12","Drive through","Round Barn Manor (West Side),1","6:12:23","6:12:23","6:12:40","6:12:40","-0:00:17","-0:00:17","4.97","0.12","0.13","","218.11","218.11"
"13","Drive through","Crescent & John (NW Corner),4","6:12:45","6:12:45","6:13:00","6:13:00","-0:00:15","-0:00:15","5.04","0.19","0.20","","11.60","11.60"
"14","Drive through","Crescent & William (West Side),4","6:13:29","6:13:29","6:13:45","6:13:45","-0:00:16","-0:00:16","5.28","0.42","0.44","","19.73","19.73"
"15","Drive through","Crescent & Sangamon (NW Corner),4","6:14:30","6:14:30","6:14:40","6:14:40","-0:00:10","-0:00:10","5.55","0.67","0.70","","15.59","15.59"
"16","Drive through","Crescent & Greendale (West Side),4","6:14:52","6:14:52","6:15:20","6:15:20","-0:00:28","-0:00:28","5.69","0.82","0.84","","22.68","22.68"
"17","Stop with doors","","6:15:08","6:15:13","","","","","5.75","","0.90","","","13.71"
"18","Drive through","Kirby & Crescent (NW Corner),4","6:15:24","6:15:24","6:16:00","6:16:00","-0:00:36","-0:00:36","5.78","0.95","0.93","","10.28","9.97"
"19","Drive through","Kirby & Rosewood (South Side),3","6:16:05","6:16:05","6:16:20","6:16:20","-0:00:15","-0:00:15","5.90","1.05","1.05","","10.53","10.53"
"20","Drive through","Kirby & Mattis (SW Corner),3","6:16:30","6:16:30","6:16:40","6:16:40","-0:00:10","-0:00:10","6.04","1.19","1.19","","20.41","20.41"
"21","Stop without doors","","6:16:42","6:16:58","","","","","6.06","","1.22","","","7.65"
"22","Drive through","Mattis & Princeton (SE Corner),2","6:17:16","6:17:16","6:17:10","6:17:10","0:00:06","0:00:06","6.14","1.30","1.29","","7.79","14.79"
"23","Drive through","Mattis & Sangamon (SE Corner),2","6:17:50","6:17:50","6:18:10","6:18:10","-0:00:20","-0:00:20","6.37","1.52","1.52","","24.55","24.55"
