"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ORANGE, Block 601","","6:28:24","","6:34:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:28:24","6:28:24","","","","","0.00","","","","",""
"3","Stop with doors","","6:28:35","6:31:07","","","","","0.00","","","","","0.00"
"4","Stop with doors","","6:31:44","6:31:53","","","","","0.22","","","","","20.74"
"5","Stop without doors","","6:32:38","6:32:38","","","","","0.44","","","","","17.85"
"6","Trip","Line ORANGE, Block 601","","6:37:07","","6:37:00","","","0.91","","0.00","Pattern: [@2.0.86175868@]ORANGE 33","","0.00"
"7","Stop","Lincoln Square Courthouse,2","6:37:07","6:37:07","6:37:00","6:37:00","0:00:07","0:00:07","0.91","0.00","0.00","","0.00",""
"8","Stop without doors","","6:37:17","6:37:28","","","","","0.92","","0.02","","","5.60"
"9","Stop","Save A Lot (East Side),2","6:38:01","6:38:26","6:38:26","6:38:26","-0:00:25","0:00:00","1.07","0.18","0.17","","10.73","15.87"
"10","Drive through","Broadway & University (SE Corner),2","6:38:51","6:38:51","6:38:56","6:38:56","-0:00:05","-0:00:05","1.18","0.27","0.28","","15.75","15.75"
"11","Stop","Broadway & Park (NW Far Side),8","6:39:26","6:39:39","6:39:26","6:39:26","0:00:00","0:00:13","1.27","0.40","0.37","","9.85","9.85"
"12","Stop","Park & Central (NE Corner),1","6:40:07","6:40:19","6:40:10","6:40:10","-0:00:03","0:00:09","1.42","0.54","0.52","","19.18","19.18"
"13","Drive through","Church & Orchard (NE Corner),1","6:41:24","6:41:24","6:40:54","6:40:54","0:00:30","0:00:30","1.66","0.76","0.76","","13.25","13.25"
"14","Stop","Coler & Church (NE Corner),1","6:41:38","6:42:02","6:41:38","6:41:38","0:00:00","0:00:24","1.70","0.83","0.80","","10.23","10.23"
"15","Stop","Church & Busey (NE Corner),1","6:42:21","6:42:34","6:42:00","6:42:00","0:00:21","0:00:34","1.77","0.90","0.87","","13.54","13.54"
"16","Drive through","Lincoln & Park (West Side),4","6:43:10","6:43:10","6:42:22","6:42:22","0:00:48","0:00:48","1.98","1.09","1.08","","20.63","20.63"
"17","Drive through","Campus Circle (North Side),2","6:43:41","6:43:41","6:43:02","6:43:02","0:00:39","0:00:39","2.14","1.28","1.24","","19.34","19.34"
"18","Drive through","University & Goodwin (NE Corner),1","6:44:00","6:44:00","6:43:32","6:43:32","0:00:28","0:00:28","2.25","1.40","1.35","","20.84","20.84"
"19","Drive through","Goodwin & Park (NW Far Side),8","6:44:21","6:44:21","6:44:02","6:44:02","0:00:19","0:00:19","2.34","1.49","1.44","","14.07","14.07"
"20","Drive through","Park & Romine (North Side),1","6:44:56","6:44:56","6:44:31","6:44:31","0:00:25","0:00:25","2.48","1.63","1.58","","15.22","15.22"
"21","Drive through","Park & Wright (NE Corner),1","6:45:32","6:45:32","6:45:00","6:45:00","0:00:32","0:00:32","2.57","1.72","1.66","","8.14","8.14"
"22","Drive through","University & Sixth (NW Far Side),8","6:46:05","6:46:05","6:46:00","6:46:00","0:00:05","0:00:05","2.74","1.88","1.84","","18.85","18.85"
"23","Stop","University & Fourth (NE Corner),1","6:46:28","6:46:58","6:47:10","6:47:10","-0:00:42","-0:00:12","2.85","2.03","1.95","","17.22","17.22"
"24","Drive through","University & Second (NE Corner),1","6:47:24","6:47:24","6:48:00","6:48:00","-0:00:36","-0:00:36","3.05","2.21","2.15","","28.14","28.14"
"25","Stop","Illinois Terminal (Platform B),2","6:49:03","6:50:01","6:50:00","6:50:00","-0:00:57","0:00:01","3.32","2.51","2.42","","9.63","9.63"
"26","Stop with doors","","6:50:52","6:50:55","","","","","3.43","","2.53","","","8.25"
"27","Drive through","Walnut & Logan (NE Corner),1","6:51:09","6:51:09","6:50:29","6:50:29","0:00:40","0:00:40","3.47","2.64","2.57","","8.03","8.95"
"28","Stop","Walnut & University (SE Corner),2","6:51:23","6:51:51","6:50:58","6:50:58","0:00:25","0:00:53","3.49","2.71","2.59","","6.56","6.56"
"29","Drive through","Main & Fremont (NE Corner),1","6:52:29","6:52:29","6:51:38","6:51:38","0:00:51","0:00:51","3.66","2.86","2.76","","15.55","15.55"
"30","Stop without doors","","6:52:42","6:53:04","","","","","3.67","","2.77","","","4.31"
"31","Drive through","Church & Neil (NW Far Side),8","6:53:23","6:53:23","6:52:07","6:52:07","0:01:16","0:01:16","3.75","2.95","2.85","","6.26","14.84"
"32","Drive through","Church & State (NE Corner),1","6:53:58","6:53:58","6:52:43","6:52:43","0:01:15","0:01:15","3.88","3.08","2.98","","13.30","13.30"
"33","Drive through","Church & Prairie (NE Corner),1","6:54:08","6:54:08","6:53:12","6:53:12","0:00:56","0:00:56","3.97","3.17","3.07","","31.55","31.55"
"34","Drive through","Church & Elm (NE Corner),1","6:54:16","6:54:16","6:53:41","6:53:41","0:00:35","0:00:35","4.05","3.26","3.15","","38.31","38.31"
"35","Drive through","Church & Lynn (NE Corner),1","6:54:25","6:54:25","6:54:00","6:54:00","0:00:25","0:00:25","4.15","3.35","3.24","","37.04","37.04"
"36","Drive through","Church & New (NE Corner),1","6:54:40","6:54:40","6:54:10","6:54:10","0:00:30","0:00:30","4.29","3.48","3.38","","33.56","33.56"
"37","Drive through","Church St. (North Side),2","6:54:50","6:54:50","6:54:20","6:54:20","0:00:30","0:00:30","4.37","3.57","3.47","","31.77","31.77"
"38","Drive through","Church & Prospect (NE Corner),1","6:55:02","6:55:02","6:54:29","6:54:29","0:00:33","0:00:33","4.43","3.64","3.53","","17.53","17.53"
"39","Drive through","Church & Willis (NE Corner),1","6:55:26","6:55:26","6:54:48","6:54:48","0:00:38","0:00:38","4.57","3.80","3.67","","21.16","21.16"
"40","Drive through","Church & McKinley (NE Corner),1","6:55:39","6:55:39","6:55:07","6:55:07","0:00:32","0:00:32","4.69","3.92","3.79","","32.70","32.70"
"41","Drive through","Church & James (NE Corner),1","6:55:53","6:55:53","6:55:26","6:55:26","0:00:27","0:00:27","4.82","4.05","3.92","","33.88","33.88"
"42","Drive through","Church & Russell (NE Corner),1","6:56:06","6:56:06","6:56:04","6:56:04","0:00:02","0:00:02","4.94","4.17","4.04","","33.04","33.04"
"43","Drive through","Church & Garfield (NE Corner),1","6:56:16","6:56:16","6:56:19","6:56:19","-0:00:03","-0:00:03","5.04","4.27","4.13","","33.34","33.34"
"44","Drive through","Church & Draper (NE Corner),1","6:56:23","6:56:23","6:56:34","6:56:34","-0:00:11","-0:00:11","5.10","4.33","4.20","","32.60","32.60"
"45","Stop","Church & Fair (NE Corner),1","6:56:44","6:56:53","6:56:54","6:56:54","-0:00:10","-0:00:01","5.20","4.44","4.30","","17.26","17.26"
"46","Stop","Church & Victor (NE Corner),1","6:57:20","6:57:24","6:57:19","6:57:19","0:00:01","0:00:05","5.33","4.57","4.43","","17.73","17.73"
"47","Stop","Church & Mattis (NE Corner),1","6:57:45","6:57:50","6:57:39","6:57:39","0:00:06","0:00:11","5.42","4.66","4.52","","14.92","14.92"
"48","Stop without doors","","6:57:56","6:58:15","","","","","5.42","","4.52","","","1.50"
"49","Stop without doors","","6:59:02","7:00:00","","","","","5.68","","4.78","","","19.76"
"50","Drive through","Country Fair Dr. & Park (NW Corner),4","7:00:22","7:00:22","6:58:20","6:58:20","0:02:02","0:02:02","5.78","5.00","4.88","","8.58","16.68"
"51","Drive through","Social Security (West Side),1","7:00:33","7:00:33","6:58:58","6:58:58","0:01:35","0:01:35","5.88","5.12","4.98","","31.73","31.73"
"52","Stop","Country Fair Dr at Gramercy (West Side),1","7:00:49","7:00:59","6:59:34","6:59:34","0:01:15","0:01:25","5.95","5.18","5.04","","15.24","15.24"
"53","Stop without doors","","7:01:28","7:01:47","","","","","6.07","","5.17","","","15.82"
"54","Stop","Springfield & Country Fair Dr. (SE Far),6","7:02:10","7:02:21","7:00:16","7:00:16","0:01:54","0:02:05","6.14","5.39","5.24","","9.96","10.80"
"55","Stop","Springfield at Round Barn (SW Corner),3","7:02:46","7:02:54","7:00:31","7:00:31","0:02:15","0:02:23","6.28","5.54","5.38","","20.32","20.32"
"56","Drive through","Springfield & Mattis (SW Corner),3","7:03:12","7:03:12","7:00:46","7:00:46","0:02:26","0:02:26","6.38","5.63","5.48","","19.02","19.02"
"57","Drive through","Mattis & Round Barn (NW Corner),4","7:04:02","7:04:02","7:01:26","7:01:26","0:02:36","0:02:36","6.54","5.78","5.64","","12.00","12.00"
"58","Stop","Round Barn Road (North Side),2","7:04:24","7:05:21","7:02:00","7:02:00","0:02:24","0:03:21","6.64","5.96","5.74","","15.76","15.76"
"59","Stop","Round Barn & Country Fair Dr. (NE),1","7:05:38","7:05:54","7:03:15","7:03:15","0:02:23","0:02:39","6.81","6.10","5.91","","35.27","35.27"
"60","Drive through","Springfield & Country Fair Dr. (SE),2","7:06:31","7:06:31","7:03:35","7:03:35","0:02:56","0:02:56","6.93","6.21","6.03","","11.61","11.61"
"61","Drive through","Springfield & Kenwood (NE Corner),1","7:06:59","7:06:59","7:04:15","7:04:15","0:02:44","0:02:44","7.12","6.38","6.22","","24.61","24.61"
"62","Drive through","Country Brook (North Side),2","7:07:07","7:07:07","7:04:30","7:04:30","0:02:37","0:02:37","7.18","6.46","6.28","","29.36","29.36"
"63","Drive through","Ginger Creek (North Side),2","7:07:38","7:07:38","7:05:30","7:05:30","0:02:08","0:02:08","7.46","6.72","6.56","","32.33","32.33"
"64","Drive through","Springfield & Duncan (NE Corner),1","7:08:08","7:08:08","7:06:00","7:06:00","0:02:08","0:02:08","7.62","6.88","6.72","","18.65","18.65"
"65","Stop","Plastipak,2","7:10:14","7:10:14","7:08:00","7:08:00","0:02:14","0:02:14","8.15","7.45","7.25","","15.17","15.17"
"66","Trip","Line ORANGE, Block 601","","7:15:14","","7:15:00","","","8.15","","0.00","Pattern: [@2.0.86175868@]75","","0.00"
"67","Stop","Plastipak,2","7:15:14","7:15:14","7:15:00","7:15:00","0:00:14","0:00:14","8.15","0.00","0.00","","0.00",""
"68","Stop","Springfield at  Plastipak (NW Corner),4","7:17:25","7:17:25","7:15:45","7:15:45","0:01:40","0:01:40","8.52","0.19","0.37","","10.13","10.13"
"69","Drive through","Springfield & Duncan (SW Corner),3","7:18:47","7:18:47","7:17:00","7:17:00","0:01:47","0:01:47","8.89","0.55","0.75","","16.56","16.56"
"70","Drive through","Ginger Creek (South Side),1","7:19:10","7:19:10","7:18:00","7:18:00","0:01:10","0:01:10","9.04","0.73","0.90","","23.44","23.44"
"71","Drive through","Country Brook (South Side),1","7:20:01","7:20:01","7:19:30","7:19:30","0:00:31","0:00:31","9.30","0.98","1.16","","17.99","17.99"
"72","Drive through","Springfield & Kenwood (SW Corner),3","7:20:20","7:20:20","7:20:30","7:20:30","-0:00:10","-0:00:10","9.35","1.06","1.20","","9.31","9.31"
"73","Drive through","Springfield & Country Fair Dr. (SW),3","7:20:45","7:20:45","7:21:30","7:21:30","-0:00:45","-0:00:45","9.53","1.22","1.39","","26.94","26.94"
"74","Drive through","Springfield at Round Barn (SW Corner),3","7:21:14","7:21:14","7:22:00","7:22:00","-0:00:46","-0:00:46","9.75","1.44","1.61","","26.93","26.93"
"75","Drive through","Springfield & Mattis (SW Corner),3","7:21:36","7:21:36","7:22:20","7:22:20","-0:00:44","-0:00:44","9.82","1.53","1.68","","11.09","11.09"
"76","Drive through","Mattis & Round Barn (NW Corner),4","7:22:12","7:22:12","7:22:40","7:22:40","-0:00:28","-0:00:28","9.98","1.68","1.84","","16.04","16.04"
"77","Stop","Round Barn Road (North Side),2","7:22:43","7:23:24","7:23:00","7:23:00","-0:00:17","0:00:24","10.10","1.86","1.96","","14.22","14.22"
"78","Drive through","Round Barn & Country Fair Dr. (NE),1","7:23:39","7:23:39","7:23:20","7:23:20","0:00:19","0:00:19","10.26","2.00","2.12","","37.59","37.59"
