"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line RED, Block 204","","6:35:26","","6:33:00","","","0.04","","0.00","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:35:26","6:35:26","","","","","0.04","","0.00","","",""
"3","Drive through","MTD Garage,1","6:36:37","6:36:37","6:33:00","6:33:00","0:03:37","0:03:37","0.22","0.00","0.19","","0.00","9.52"
"4","Trip","Line RED, Block 204","","6:36:37","","6:33:00","","","0.22","","0.00","Pattern: [@14.0.56288404@]33","","0.00"
"5","Drive through","MTD Garage,1","6:36:37","6:36:37","6:33:00","6:33:00","0:03:37","0:03:37","0.22","0.00","0.00","","0.00",""
"6","Drive through","West Pull Out,1","6:36:38","6:36:38","6:33:30","6:33:30","0:03:08","0:03:08","0.23","0.06","0.01","","31.32","31.32"
"7","Stop without doors","","6:41:22","6:41:34","","","","","1.94","","1.72","","","21.61"
"8","Stop without doors","","6:45:22","6:45:32","","","","","4.57","","4.36","","","41.66"
"9","Stop","Market Place (NE Mall Entrance),1","6:48:48","6:48:48","6:43:00","6:43:00","0:05:48","0:05:48","5.46","5.33","5.25","","25.81","16.34"
"10","Trip","Line RED, Block 204","","6:48:58","","6:43:00","","","5.46","","0.00","Pattern: RED 9","","0.00"
"11","Stop","Market Place (NE Mall Entrance),1","6:48:58","6:48:58","6:43:00","6:43:00","0:05:58","0:05:58","5.46","0.00","0.00","","0.00",""
"12","Drive through","Market Place Southeast (North Side),4","6:50:19","6:50:19","6:43:40","6:43:40","0:06:39","0:06:39","5.72","0.24","0.26","","11.38","11.38"
"13","Drive through","Market Place & Convenience Dr. (SW),3","6:50:39","6:50:39","6:44:00","6:44:00","0:06:39","0:06:39","5.82","0.34","0.36","","18.46","18.46"
"14","Drive through","Market Place South,1","6:51:01","6:51:01","6:44:20","6:44:20","0:06:41","0:06:41","5.91","0.43","0.45","","14.75","14.75"
"15","Drive through","Neil & Marketview (NW Corner),4","6:52:06","6:52:06","6:45:00","6:45:00","0:07:06","0:07:06","6.16","0.66","0.70","","13.77","13.77"
"16","Drive through","Neil & Anthony (NW Corner),4","6:52:10","6:52:10","6:45:20","6:45:20","0:06:50","0:06:50","6.19","0.73","0.73","","29.09","29.09"
"17","Drive through","Public Health District (North Side),2","6:53:42","6:53:42","6:47:20","6:47:20","0:06:22","0:06:22","6.67","1.20","1.22","","18.85","18.85"
"18","Stop without doors","","6:54:21","6:54:30","","","","","6.78","","1.32","","","9.35"
"19","Stop","Neil & Edgebrook (NW Corner),4","6:54:54","6:55:15","6:48:40","6:48:40","0:06:14","0:06:35","6.86","1.46","1.40","","9.17","12.31"
"20","Drive through","Neil & Arcadia (NW Corner),4","6:55:34","6:55:34","6:48:55","6:48:55","0:06:39","0:06:39","6.98","1.57","1.52","","23.79","23.79"
"21","Stop","Neil & Garwood (NW Corner),4","6:55:52","6:56:08","6:49:10","6:49:10","0:06:42","0:06:58","7.06","1.66","1.60","","14.67","14.67"
"22","Drive through","Neil & Beardsley (NW Corner),4","6:56:34","6:56:34","6:49:50","6:49:50","0:06:44","0:06:44","7.19","1.79","1.73","","18.93","18.93"
"23","Drive through","Neil & Eureka (NW Corner),4","6:56:47","6:56:47","6:50:25","6:50:25","0:06:22","0:06:22","7.30","1.90","1.84","","28.40","28.40"
"24","Drive through","Neil & North (NW Corner),4","6:57:00","6:57:00","6:50:45","6:50:45","0:06:15","0:06:15","7.39","1.99","1.93","","26.16","26.16"
"25","Stop without doors","","6:57:50","6:57:59","","","","","7.54","","2.08","","","11.01"
"26","Drive through","Neil & Columbia (NW Corner),4","6:58:08","6:58:08","6:51:20","6:51:20","0:06:48","0:06:48","7.56","2.15","2.10","","8.85","5.72"
"27","Stop","Neil & Washington (NW Corner),4","6:58:26","6:58:39","6:51:40","6:51:40","0:06:46","0:06:59","7.61","2.22","2.15","","10.82","10.82"
"28","Drive through","Neil & Hill (NW Corner),4","6:58:56","6:58:56","6:52:00","6:52:00","0:06:56","0:06:56","7.69","2.29","2.23","","15.66","15.66"
"29","Stop without doors","","6:59:12","6:59:36","","","","","7.74","","2.29","","","13.15"
"30","Drive through","Main & Walnut (SW Corner),3","7:00:03","7:00:03","6:52:50","6:52:50","0:07:13","0:07:13","7.85","2.44","2.39","","8.95","14.42"
"31","Drive through","Main & Chestnut (SW Corner),3","7:00:25","7:00:25","6:53:20","6:53:20","0:07:05","0:07:05","7.92","2.52","2.46","","11.60","11.60"
"32","Stop","Illinois Terminal (Platform A),1","7:01:32","7:01:55","6:54:00","6:54:00","0:07:32","0:07:55","8.03","2.64","2.57","","5.71","5.71"
"33","Stop","Logan & First (SW Corner),3","7:03:18","7:03:25","6:55:54","6:55:54","0:07:24","0:07:31","8.32","2.96","2.87","","12.81","12.81"
"34","Drive through","White & Second (SE Far Side),3","7:03:44","7:03:44","6:56:32","6:56:32","0:07:12","0:07:12","8.45","3.06","2.99","","23.08","23.08"
"35","Stop without doors","","7:04:18","7:04:28","","","","","8.59","","3.13","","","15.60"
"36","Stop","White Street Mid-Block (South Side),1","7:04:43","7:05:03","6:57:49","6:57:49","0:06:54","0:07:14","8.63","3.26","3.17","","11.15","8.51"
"37","Stop","Wright & Stoughton (NW Corner),4","7:05:54","7:06:30","6:58:27","6:58:27","0:07:27","0:08:03","8.89","3.53","3.43","","18.21","18.21"
"38","Drive through","Wright & Healey (NW Corner),4","7:07:17","7:07:17","7:00:22","7:00:22","0:06:55","0:06:55","9.04","3.67","3.58","","12.00","12.00"
"39","Stop","Illini Union (South Side Shelter),1","7:08:19","7:08:44","7:01:00","7:01:00","0:07:19","0:07:44","9.23","3.87","3.77","","10.72","10.72"
"40","Stop","Green & Goodwin (SW Far Side),7","7:09:18","7:09:25","7:01:54","7:01:54","0:07:24","0:07:31","9.43","4.06","3.97","","21.78","21.78"
"41","Drive through","Chemical & Life Sciences,1","7:10:02","7:10:02","7:02:21","7:02:21","0:07:41","0:07:41","9.56","4.19","4.10","","12.64","12.64"
"42","Drive through","Goodwin & Nevada (NW Corner),4","7:10:39","7:10:39","7:02:48","7:02:48","0:07:51","0:07:51","9.68","4.33","4.22","","11.67","11.67"
"43","Stop","Nevada & Gregory Pl. (SW Corner),3","7:11:03","7:11:13","7:03:15","7:03:15","0:07:48","0:07:58","9.79","4.45","4.33","","15.57","15.57"
"44","Drive through","Nevada & Lincoln (SW Corner),3","7:11:34","7:11:34","7:03:42","7:03:42","0:07:52","0:07:52","9.91","4.56","4.45","","20.35","20.35"
"45","Drive through","LAR (West Side),1","7:12:19","7:12:19","7:04:09","7:04:09","0:08:10","0:08:10","10.09","4.71","4.63","","14.87","14.87"
"46","Stop","Lincoln & Pennsylvania (SE Far Side),6","7:13:00","7:13:13","7:04:36","7:04:36","0:08:24","0:08:37","10.30","4.97","4.84","","18.39","18.39"
"47","Drive through","Penn & Orchard (SW Corner),3","7:13:48","7:13:48","7:05:30","7:05:30","0:08:18","0:08:18","10.55","5.19","5.09","","25.70","25.70"
"48","Drive through","Penn & Carle (SW Corner),3","7:14:01","7:14:01","7:05:57","7:05:57","0:08:04","0:08:04","10.65","5.32","5.20","","28.57","28.57"
"49","Stop without doors","","7:14:23","7:14:30","","","","","10.76","","5.30","","","17.70"
"50","Drive through","Pennsylvania & Race (SW Corner),3","7:14:38","7:14:38","7:06:24","7:06:24","0:08:14","0:08:14","10.78","5.44","5.32","","12.04","7.00"
"51","Drive through","Florida & Florida Dr. (SW Corner),3","7:15:28","7:15:28","7:07:45","7:07:45","0:07:43","0:07:43","11.01","5.66","5.55","","16.42","16.42"
"52","Drive through","Florida & Pleasant (SW Corner),3","7:15:44","7:15:44","7:08:40","7:08:40","0:07:04","0:07:04","11.11","5.78","5.65","","24.19","24.19"
"53","Drive through","Florida & Vine (SW Corner),3","7:16:09","7:16:09","7:09:08","7:09:08","0:07:01","0:07:01","11.19","5.86","5.73","","11.01","11.01"
"54","Drive through","Florida & Maple (South Side),3","7:16:30","7:16:30","7:10:04","7:10:04","0:06:26","0:06:26","11.34","6.00","5.88","","26.10","26.10"
"55","Drive through","Florida & Anderson (SW Corner),3","7:16:54","7:16:54","7:11:00","7:11:00","0:05:54","0:05:54","11.44","6.11","5.98","","14.82","14.82"
"56","Drive through","Anderson & Burkwood (NW Corner),4","7:17:14","7:17:14","7:11:19","7:11:19","0:05:55","0:05:55","11.55","6.24","6.09","","20.25","20.25"
"57","Drive through","Anderson & Colorado (NW Corner),4","7:17:43","7:17:43","7:11:38","7:11:38","0:06:05","0:06:05","11.69","6.38","6.23","","16.74","16.74"
"58","Drive through","Anderson & Harding (NW Corner),4","7:17:56","7:17:56","7:11:48","7:11:48","0:06:08","0:06:08","11.76","6.46","6.30","","20.48","20.48"
"59","Drive through","Anderson & Silver (NW Corner),4","7:18:21","7:18:21","7:12:07","7:12:07","0:06:14","0:06:14","11.93","6.61","6.47","","23.72","23.72"
"60","Stop","Anderson & Mumford (NW Corner),4","7:18:32","7:18:41","7:12:16","7:12:16","0:06:16","0:06:25","11.96","6.67","6.50","","10.38","10.38"
"61","Stop","McHenry & Anderson (NW Corner),4","7:19:19","7:19:40","7:12:35","7:12:35","0:06:44","0:07:05","12.15","6.87","6.69","","18.49","18.49"
"62","Drive through","McHenry & Lynn (SW Corner),3","7:19:58","7:19:58","7:12:45","7:12:45","0:07:13","0:07:13","12.27","6.96","6.81","","22.37","22.37"
"63","Drive through","McHenry & Lynn - East (SW Corner),3","7:20:04","7:20:04","7:12:54","7:12:54","0:07:10","0:07:10","12.31","7.01","6.85","","24.98","24.98"
"64","Drive through","McHenry & Pond (SW Corner),3","7:20:28","7:20:28","7:13:13","7:13:13","0:07:15","0:07:15","12.47","7.18","7.01","","24.98","24.98"
"65","Drive through","McHenry & Philo (SW Corner),3","7:20:57","7:20:57","7:13:50","7:13:50","0:07:07","0:07:07","12.63","7.34","7.17","","19.37","19.37"
"66","Stop","Urbana Meijer (South Side),1","7:21:30","7:22:01","7:14:00","7:14:00","0:07:30","0:08:01","12.79","7.52","7.33","","17.43","17.43"
"67","Drive through","Amber & Myra Ridge (SW Corner),3","7:22:45","7:22:45","7:14:27","7:14:27","0:08:18","0:08:18","12.92","7.65","7.46","","10.99","10.99"
"68","Drive through","Windsor & Myra Ridge (NW),9","7:23:30","7:23:30","7:14:53","7:14:53","0:08:37","0:08:37","13.19","7.89","7.73","","21.18","21.18"
"69","Drive through","Susan Stone & Summit (NW Corner),4","7:24:10","7:24:10","7:15:46","7:15:46","0:08:24","0:08:24","13.40","8.13","7.94","","18.68","18.68"
"70","Drive through","Susan Stone & Moss (West Side),4","7:24:24","7:24:24","7:16:39","7:16:39","0:07:45","0:07:45","13.48","8.23","8.03","","22.69","22.69"
"71","Drive through","Susan Stone & Galena (NW Corner),4","7:24:34","7:24:34","7:17:32","7:17:32","0:07:02","0:07:02","13.56","8.31","8.10","","26.18","26.18"
"72","Drive through","Susan Stone & Myra Ridge (NE Corner),1","7:25:01","7:25:01","7:17:59","7:17:59","0:07:02","0:07:02","13.69","8.45","8.24","","18.31","18.31"
"73","Drive through","Myra Ridge & Silver Hill (West Side),4","7:25:19","7:25:19","7:18:52","7:18:52","0:06:27","0:06:27","13.82","8.57","8.36","","25.61","25.61"
"74","Drive through","Myra Ridge & Trails (NW Corner),4","7:25:48","7:25:48","7:19:45","7:19:45","0:06:03","0:06:03","13.91","8.66","8.45","","10.65","10.65"
"75","Drive through","Trails & Chatham (SW Corner),3","7:26:07","7:26:07","7:20:11","7:20:11","0:05:56","0:05:56","14.01","8.77","8.55","","19.55","19.55"
"76","Drive through","Trails & Baronry (SW Corner),3","7:26:25","7:26:25","7:20:38","7:20:38","0:05:47","0:05:47","14.12","8.87","8.66","","21.88","21.88"
"77","Drive through","Trails & Philo (NE Corner),1","7:26:51","7:26:51","7:21:31","7:21:31","0:05:20","0:05:20","14.22","8.97","8.76","","13.43","13.43"
"78","Drive through","Philo & Windsor (SE Corner),2","7:27:36","7:27:36","7:22:51","7:22:51","0:04:45","0:04:45","14.60","9.36","9.14","","30.63","30.63"
"79","Drive through","Philo & Scovill (SE Corner),2","7:27:56","7:27:56","7:23:18","7:23:18","0:04:38","0:04:38","14.76","9.53","9.30","","28.41","28.41"
"80","Drive through","Amber & Philo (SE Corner),2","7:28:02","7:28:02","7:23:38","7:23:38","0:04:24","0:04:24","14.81","9.60","9.35","","30.20","30.20"
"81","Drive through","Philo & Mumford (SE Corner),2","7:28:36","7:28:36","7:24:18","7:24:18","0:04:18","0:04:18","15.07","9.85","9.62","","28.16","28.16"
"82","Drive through","Silver & Vawter (NE Corner),1","7:29:09","7:29:09","7:24:38","7:24:38","0:04:31","0:04:31","15.17","10.00","9.71","","10.58","10.58"
"83","Drive through","Silver & Fletcher (NE Corner),1","7:29:14","7:29:14","7:25:08","7:25:08","0:04:06","0:04:06","15.20","10.03","9.74","","19.69","19.69"
"84","Drive through","Silver & Cottage Grove (NE Corner),1","7:29:48","7:29:48","7:25:36","7:25:36","0:04:12","0:04:12","15.36","10.17","9.90","","16.85","16.85"
"85","Drive through","Cottage Grove & Brighton (SE Corner),2","7:30:17","7:30:17","7:26:29","7:26:29","0:03:48","0:03:48","15.48","10.30","10.02","","15.12","15.12"
"86","Stop","Cottage Grove & Harding (SE Corner),2","7:30:32","7:30:44","7:26:49","7:26:49","0:03:43","0:03:55","15.52","10.35","10.07","","10.89","10.89"
"87","Drive through","Cottage Grove & Colorado (SE Corner),2","7:31:05","7:31:05","7:27:15","7:27:15","0:03:50","0:03:50","15.59","10.41","10.13","","10.87","10.87"
