"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line GREEN, Block 504","","6:36:46","","7:05:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","6:36:46","6:36:46","","","","","0.00","","","","",""
"3","Depot","MTD Garage","6:36:53","6:36:53","7:05:00","7:05:00","-0:28:07","-0:28:07","0.00","0.00","0.00","","0.00","0.00"
"4","Drive through","MTD Garage,1","7:01:17","7:01:17","7:05:00","7:05:00","-0:03:43","-0:03:43","0.06","0.01","0.00","","0.15","0.15"
"5","Trip","Line GREEN, Block 504","","7:01:17","","7:05:00","","","0.06","","0.00","Pattern: [@15.0.73007320@]13","","0.00"
"6","Drive through","MTD Garage,1","7:01:17","7:01:17","7:05:00","7:05:00","-0:03:43","-0:03:43","0.06","0.00","0.00","","0.00",""
"7","Drive through","East Pull Out,3","7:02:13","7:02:13","7:05:30","7:05:30","-0:03:17","-0:03:17","0.25","0.06","0.19","","11.99","11.99"
"8","Stop without doors","","7:07:28","7:14:48","","","","","3.76","","3.70","","","40.06"
"9","Stop","Cyprus Point & Stillwater Landing (SE),2","7:16:57","7:16:57","7:15:00","7:15:00","0:01:57","0:01:57","4.00","3.92","3.94","","15.28","6.85"
"10","Trip","Line GREEN, Block 504","","7:17:10","","7:15:00","","","4.00","","0.00","Pattern: [@15.0.63192321@]25","","0.00"
"11","Stop","Cyprus Point & Stillwater Landing (SE),2","7:17:10","7:17:10","7:15:00","7:15:00","0:02:10","0:02:10","4.00","0.00","0.00","","0.00",""
"12","Drive through","Stone Creek & Stillwater Landing (NE),1","7:17:47","7:17:47","7:15:30","7:15:30","0:02:17","0:02:17","4.13","0.12","0.14","","12.76","12.76"
"13","Drive through","Stone Creek & Venturi (SE Corner),2","7:18:16","7:18:16","7:16:25","7:16:25","0:01:51","0:01:51","4.32","0.33","0.33","","23.69","23.69"
"14","Stop","Stone Creek & Bohn (SE Corner),2","7:19:04","7:19:11","7:17:40","7:17:40","0:01:24","0:01:31","4.63","0.65","0.64","","23.17","23.17"
"15","Stop","Florida & Smith (SE Corner),2","7:20:12","7:20:26","7:18:40","7:18:40","0:01:32","0:01:46","4.91","0.96","0.91","","16.36","16.36"
"16","Stop","Florida & Bermuda (NE Corner),1","7:20:57","7:21:09","7:19:15","7:19:15","0:01:42","0:01:54","5.08","1.13","1.08","","19.34","19.34"
"17","Drive through","Florida & Kinch (NE Corner),1","7:21:26","7:21:26","7:19:35","7:19:35","0:01:51","0:01:51","5.20","1.24","1.20","","25.66","25.66"
"18","Drive through","Florida & Curtiss (NE Corner),1","7:21:41","7:21:41","7:20:05","7:20:05","0:01:36","0:01:36","5.30","1.34","1.31","","25.80","25.80"
"19","Stop","Florida & James Cherry (NE Corner),1","7:22:01","7:22:13","7:20:40","7:20:40","0:01:21","0:01:33","5.39","1.45","1.40","","15.89","15.89"
"20","Stop","Florida & Adams (NE Corner),1","7:22:50","7:23:00","7:21:20","7:21:20","0:01:30","0:01:40","5.58","1.64","1.59","","18.50","18.50"
"21","Stop","Florida & Philo (NE Corner),1","7:23:22","7:23:36","7:22:00","7:22:00","0:01:22","0:01:36","5.67","1.73","1.68","","14.55","14.55"
"22","Drive through","Sunnycrest Mall (North Side),2","7:23:51","7:23:51","7:22:31","7:22:31","0:01:20","0:01:20","5.79","1.83","1.79","","27.44","27.44"
"23","Drive through","Florida & Linden (NE Corner),1","7:24:00","7:24:00","7:22:54","7:22:54","0:01:06","0:01:06","5.86","1.89","1.86","","28.09","28.09"
"24","Drive through","Florida & Cottage Grove (NE Corner),1","7:24:21","7:24:21","7:23:21","7:23:21","0:01:00","0:01:00","5.97","2.00","1.97","","18.86","18.86"
"25","Stop","Cottage Grove & Penn (SE Corner),2","7:24:39","7:24:52","7:23:51","7:23:51","0:00:48","0:01:01","6.04","2.12","2.04","","14.67","14.67"
"26","Drive through","Pennsylvania Ct. (South Side),1","7:25:12","7:25:12","7:24:18","7:24:18","0:00:54","0:00:54","6.15","2.22","2.15","","19.35","19.35"
"27","Stop","Penn & Anderson (NE Corner),1","7:25:40","7:25:49","7:24:45","7:24:45","0:00:55","0:01:04","6.29","2.38","2.29","","18.54","18.54"
"28","Drive through","Anderson & Michigan (SE Corner),2","7:26:02","7:26:02","7:25:12","7:25:12","0:00:50","0:00:50","6.36","2.43","2.37","","19.97","19.97"
"29","Drive through","Anderson & Fairlawn (NW Far Side),8","7:26:32","7:26:32","7:25:42","7:25:42","0:00:50","0:00:50","6.52","2.57","2.52","","18.35","18.35"
"30","Stop","Fairlawn (North Side),2","7:26:46","7:26:56","7:26:09","7:26:09","0:00:37","0:00:47","6.56","2.69","2.56","","11.51","11.51"
"31","Stop","Vine & Fairlawn (NE Corner),1","7:27:30","7:28:08","7:26:36","7:26:36","0:00:54","0:01:32","6.71","2.80","2.71","","15.93","15.93"
"32","Drive through","Vine & Washington (SE Corner),2","7:28:58","7:28:58","7:27:03","7:27:03","0:01:55","0:01:55","6.85","2.93","2.86","","10.16","10.16"
"33","Stop","Vine & Oregon (SE Corner),2","7:29:22","7:29:34","7:27:38","7:27:38","0:01:44","0:01:56","6.98","3.09","2.98","","18.65","18.65"
"34","Drive through","Vine & Illinois (SE Corner),2","7:30:06","7:30:06","7:28:08","7:28:08","0:01:58","0:01:58","7.10","3.19","3.11","","14.13","14.13"
"35","Stop","Vine & Green (SE Corner),2","7:30:25","7:30:37","7:28:35","7:28:35","0:01:50","0:02:02","7.19","3.30","3.19","","16.37","16.37"
"36","Stop","Lincoln Square Garage South,8","7:31:40","7:32:00","7:30:00","7:31:00","0:01:40","0:01:00","7.42","3.53","3.42","","13.07","13.07"
"37","Drive through","Green & Race (NW Corner),4","7:32:42","7:32:42","7:32:00","7:32:00","0:00:42","0:00:42","7.53","3.62","3.53","","9.70","9.70"
"38","Stop","Green & Cedar (NE Corner),1","7:32:56","7:33:05","7:32:30","7:32:30","0:00:26","0:00:35","7.58","3.70","3.58","","12.79","12.79"
"39","Drive through","Green & Birch (NE Corner),1","7:33:20","7:33:20","7:33:00","7:33:00","0:00:20","0:00:20","7.68","3.78","3.68","","24.31","24.31"
"40","Drive through","Green & Orchard (NE Corner),1","7:33:42","7:33:42","7:34:00","7:34:00","-0:00:18","-0:00:18","7.84","3.92","3.84","","25.32","25.32"
"41","Stop","Green & Busey (NE Corner),1","7:34:09","7:34:19","7:35:00","7:35:00","-0:00:51","-0:00:41","7.97","4.09","3.97","","17.98","17.98"
"42","Drive through","Green & Gregory (NW Far Side),1","7:35:08","7:35:08","7:36:00","7:36:00","-0:00:52","-0:00:52","8.16","4.24","4.16","","13.84","13.84"
"43","Stop without doors","","7:35:40","7:36:15","","","","","8.29","","4.30","","","14.96"
"44","Stop","Green & Goodwin (NW Far Side),8","7:36:36","7:36:47","7:37:00","7:37:00","-0:00:24","-0:00:13","8.36","4.47","4.36","","8.24","11.72"
"45","Stop","Illini Union (North Side Shelter),2","7:37:19","7:38:08","7:39:00","7:39:00","-0:01:41","-0:00:52","8.48","4.61","4.49","","13.71","13.71"
"46","Stop without doors","","7:38:19","7:39:13","","","","","8.55","","4.55","","","22.58"
"47","Stop","Transit Plaza (NW Platform),1","7:40:02","7:40:08","7:40:00","7:40:00","0:00:02","0:00:08","8.68","4.84","4.69","","6.30","9.59"
"48","Stop without doors","","7:40:46","7:41:05","","","","","8.77","","4.78","","","8.66"
"49","Drive through","Wright & Chalmers (NW Corner),4","7:41:19","7:41:19","7:40:20","7:40:20","0:00:59","0:00:59","8.80","4.94","4.80","","5.83","6.08"
"50","Drive through","Sixth & Armory (NW Corner),4","7:42:02","7:42:02","7:41:00","7:41:00","0:01:02","0:01:02","8.99","5.12","4.99","","15.98","15.98"
"51","Stop without doors","","7:42:18","7:42:27","","","","","9.03","","5.04","","","9.93"
"52","Stop","Sixth & Peabody (NW Corner),4","7:43:08","7:43:19","7:41:40","7:41:40","0:01:28","0:01:39","9.22","5.39","5.22","","12.68","16.54"
"53","Drive through","Pennsylvania & Sixth (NW Corner),4","7:43:43","7:43:43","7:42:00","7:42:00","0:01:43","0:01:43","9.30","5.45","5.30","","12.21","12.21"
"54","Dead run inter","Line GREEN, Block 504","","7:43:43","","7:42:00","","","9.30","","0.00","Pattern: [PA6TH:4][RNDBRNRD:2]","","0.00"
"55","Drive through","Pennsylvania & Sixth (NW Corner),4","7:43:43","7:43:43","7:42:00","7:42:00","0:01:43","0:01:43","9.30","0.00","0.00","","0.00",""
"56","Stop without doors","","7:44:20","7:44:29","","","","","9.43","","0.14","","","12.88"
"57","Stop with doors","","7:44:38","7:45:04","","","","","9.44","","0.15","","","3.24"
"58","Stop without doors","","7:46:28","7:46:38","","","","","10.01","","0.72","","","24.56"
"59","Stop without doors","","7:48:25","7:49:04","","","","","10.86","","1.56","","","28.42"
"60","Stop without doors","","7:50:45","7:51:35","","","","","11.67","","2.37","","","28.93"
"61","Stop without doors","","7:52:10","7:53:04","","","","","11.85","","2.55","","","18.09"
"62","Stop","Round Barn Road (North Side),2","7:56:46","7:56:46","7:54:00","7:54:00","0:02:46","0:02:46","13.13","3.50","3.84","","17.61","20.84"
"63","Trip","Line BLUE, Block 504","","7:57:26","","7:55:00","","","13.13","","0.00","Pattern: BLUE 51","","0.00"
"64","Stop","Round Barn Road (North Side),2","7:57:26","7:57:26","7:55:00","7:55:00","0:02:26","0:02:26","13.13","0.00","0.00","","0.00",""
"65","Drive through","Round Barn Manor (West Side),1","7:57:28","7:57:28","7:56:05","7:56:05","0:01:23","0:01:23","13.25","0.12","0.13","","221.46","221.46"
"66","Drive through","Crescent & John (NW Corner),4","7:57:49","7:57:49","7:56:35","7:56:35","0:01:14","0:01:14","13.32","0.19","0.20","","11.94","11.94"
"67","Stop","Crescent & William (West Side),4","7:58:54","7:59:07","7:57:35","7:57:35","0:01:19","0:01:32","13.57","0.42","0.44","","13.67","13.67"
"68","Stop","Crescent & Sangamon (NW Corner),4","8:00:03","8:00:14","7:58:35","7:58:35","0:01:28","0:01:39","13.80","0.67","0.67","","14.58","14.58"
"69","Drive through","Crescent & Greendale (West Side),4","8:00:37","8:00:37","7:59:20","7:59:20","0:01:17","0:01:17","13.96","0.82","0.83","","25.58","25.58"
"70","Stop with doors","","8:00:53","8:01:08","","","","","14.03","","0.91","","","16.08"
"71","Drive through","Kirby & Crescent (NW Corner),4","8:01:18","8:01:18","8:00:00","8:00:00","0:01:18","0:01:18","14.06","0.95","0.93","","8.73","10.07"
"72","Drive through","Kirby & Rosewood (South Side),3","8:02:07","8:02:07","8:00:20","8:00:20","0:01:47","0:01:47","14.19","1.05","1.06","","9.32","9.32"
"73","Drive through","Kirby & Mattis (SW Corner),3","8:02:22","8:02:22","8:00:40","8:00:40","0:01:42","0:01:42","14.32","1.19","1.20","","32.52","32.52"
"74","Stop without doors","","8:02:30","8:03:00","","","","","14.34","","1.21","","","6.16"
"75","Stop","Mattis & Princeton (SE Corner),2","8:03:22","8:03:31","8:01:30","8:01:30","0:01:52","0:02:01","14.41","1.30","1.28","","5.26","12.10"
"76","Stop","Mattis & Sangamon (SE Corner),2","8:04:06","8:04:18","8:02:30","8:02:30","0:01:36","0:01:48","14.63","1.52","1.50","","22.31","22.31"
"77","Drive through","Mattis & Sheridan (SE Corner),2","8:04:45","8:04:45","8:03:10","8:03:10","0:01:35","0:01:35","14.85","1.72","1.72","","29.66","29.66"
"78","Stop","Mattis & William (SE Corner),2","8:05:00","8:05:15","8:03:30","8:03:30","0:01:30","0:01:45","14.91","1.82","1.79","","15.37","15.37"
"79","Stop without doors","","8:05:45","8:06:22","","","","","15.00","","1.87","","","10.00"
"80","Stop without doors","","8:06:52","8:07:22","","","","","15.05","","1.92","","","6.34"
"81","Drive through","John & Mattis (SE Corner),2","8:07:47","8:07:47","8:04:08","8:04:08","0:03:39","0:03:39","15.10","1.99","1.97","","4.32","6.63"
"82","Stop","John & Victor (SW Corner),3","8:08:13","8:08:22","8:04:43","8:04:43","0:03:30","0:03:39","15.20","2.12","2.07","","14.20","14.20"
"83","Stop","John & Fair (SW Corner),3","8:08:40","8:08:54","8:05:03","8:05:03","0:03:37","0:03:51","15.28","2.20","2.15","","16.28","16.28"
"84","Stop","John & Draper (SW Corner),3","8:09:19","8:09:34","8:05:38","8:05:38","0:03:41","0:03:56","15.42","2.34","2.29","","20.32","20.32"
"85","Drive through","John & Garfield (SW Corner),3","8:09:47","8:09:47","8:05:58","8:05:58","0:03:49","0:03:49","15.52","2.42","2.39","","26.85","26.85"
"86","Stop","John & Russell (SW Corner),3","8:10:00","8:10:13","8:06:13","8:06:13","0:03:47","0:04:00","15.57","2.49","2.44","","14.29","14.29"
"87","Drive through","John & James (SW Corner),3","8:10:31","8:10:31","8:06:43","8:06:43","0:03:48","0:03:48","15.71","2.62","2.59","","29.21","29.21"
"88","Stop","John & McKinley (SW Corner),3","8:10:51","8:11:05","8:07:19","8:07:19","0:03:32","0:03:46","15.82","2.74","2.69","","18.35","18.35"
"89","Drive through","John & Willis (SW Corner),3","8:11:25","8:11:25","8:07:54","8:07:54","0:03:31","0:03:31","15.96","2.87","2.84","","26.07","26.07"
"90","Drive through","John & Prospect (SW Corner),3","8:11:51","8:11:51","8:08:29","8:08:29","0:03:22","0:03:22","16.10","3.00","2.97","","18.67","18.67"
"91","Stop","John & Pine (SW Corner),3","8:12:09","8:12:17","8:08:59","8:08:59","0:03:10","0:03:18","16.17","3.10","3.04","","14.79","14.79"
"92","Stop","John & New (SW Corner),3","8:12:37","8:12:48","8:09:27","8:09:27","0:03:10","0:03:21","16.27","3.20","3.14","","17.45","17.45"
"93","Stop","John & Lynn (SW Corner),3","8:13:12","8:13:21","8:09:57","8:09:57","0:03:15","0:03:24","16.39","3.32","3.26","","18.09","18.09"
"94","Stop","John & Prairie (SW Corner),3","8:13:51","8:14:02","8:10:33","8:10:33","0:03:18","0:03:29","16.56","3.49","3.44","","20.88","20.88"
"95","Stop","State & John (SW Corner),3","8:14:22","8:14:44","8:11:00","8:11:00","0:03:22","0:03:44","16.65","3.58","3.52","","15.22","15.22"
"96","Stop","State & William (NW Corner),4","8:15:09","8:15:21","8:11:30","8:11:30","0:03:39","0:03:51","16.78","3.72","3.66","","19.96","19.96"
"97","Stop","State & Stanage (NW Corner),4","8:15:46","8:15:59","8:12:30","8:12:30","0:03:16","0:03:29","16.92","3.86","3.79","","19.15","19.15"
"98","Drive through","State & Avondale (NW Corner),4","8:16:18","8:16:18","8:13:10","8:13:10","0:03:08","0:03:08","17.05","3.97","3.93","","25.44","25.44"
"99","Stop","Hessel & Randolph (South Side),3","8:16:55","8:17:12","8:14:00","8:14:00","0:02:55","0:03:12","17.18","4.13","4.05","","12.40","12.40"
"100","Drive through","Neil & Hessel (SW Corner),3","8:17:22","8:17:22","8:14:40","8:14:40","0:02:42","0:02:42","17.25","4.18","4.12","","25.51","25.51"
"101","Stop","Stadium & Oak (SW Corner),3","8:17:52","8:18:04","8:15:20","8:15:20","0:02:32","0:02:44","17.37","4.32","4.25","","14.77","14.77"
"102","Drive through","First & Stadium (SW Corner),3","8:18:49","8:18:49","8:16:08","8:16:08","0:02:41","0:02:41","17.55","4.47","4.42","","13.87","13.87"
"103","Stop","ARC (South Side),1","8:19:36","8:19:48","8:16:56","8:16:56","0:02:40","0:02:52","17.75","4.71","4.63","","15.85","15.85"
"104","Drive through","Fourth & Peabody (SW Corner),3","8:20:21","8:20:21","8:17:56","8:17:56","0:02:25","0:02:25","17.90","4.84","4.78","","16.21","16.21"
"105","Stop","Sixth & Peabody (SW Corner),3","8:20:53","8:21:06","8:18:34","8:18:34","0:02:19","0:02:32","18.04","5.01","4.92","","16.08","16.08"
"106","Stop","Sixth & Gregory (SE Corner),2","8:21:44","8:22:35","8:19:22","8:19:22","0:02:22","0:03:13","18.22","5.19","5.10","","17.02","17.02"
"107","Stop without doors","","8:22:56","8:23:44","","","","","18.31","","5.19","","","15.34"
"108","Stop","Armory & Wright (South Side),3","8:24:06","8:24:24","8:20:10","8:20:10","0:03:56","0:04:14","18.38","5.35","5.26","","6.30","11.39"
"109","Stop","Transit Plaza (NE Platform),2","8:25:13","8:25:36","8:21:00","8:21:00","0:04:13","0:04:36","18.60","5.57","5.48","","16.21","16.21"
"110","Stop without doors","","8:26:06","8:27:49","","","","","18.69","","5.57","","","10.82"
"111","Stop","Wright & Healey (East Side),2","8:28:08","8:28:16","8:23:00","8:23:00","0:05:08","0:05:16","18.77","5.78","5.65","","4.01","14.96"
"112","Stop","White & Wright (SE Corner),2","8:29:17","8:29:35","8:24:00","8:24:00","0:05:17","0:05:35","18.98","5.98","5.86","","12.51","12.51"
"113","Stop without doors","","8:30:00","8:30:57","","","","","19.13","","6.00","","","20.41"
"114","Drive through","University & Sixth (NW Far Side),8","8:31:19","8:31:19","8:25:25","8:25:25","0:05:54","0:05:54","19.23","6.20","6.11","","8.54","17.19"
"115","Stop without doors","","8:31:42","8:31:56","","","","","19.37","","6.24","","","21.60"
"116","Drive through","University & Fourth (NE Corner),1","8:32:00","8:32:00","8:26:05","8:26:05","0:05:55","0:05:55","19.38","6.35","6.26","","13.43","13.43"
"117","Drive through","University & Second (NE Corner),1","8:32:23","8:32:23","8:26:50","8:26:50","0:05:33","0:05:33","19.58","6.53","6.45","","30.35","30.35"
"118","Stop without doors","","8:32:37","8:32:53","","","","","19.64","","6.51","","","15.02"
"119","Stop","Illinois Terminal (Platform A),1","8:33:48","8:33:48","8:29:00","8:29:00","0:04:48","0:04:48","19.82","6.81","6.70","","10.29","12.08"
"120","Dead run in","Line BLUE, Block 504","","8:34:02","","8:29:00","","","19.82","","0.00","Pattern: [IT:1][Garage]","","0.00"
"121","Stop","Illinois Terminal (Platform A),1","8:34:02","8:34:02","8:29:00","8:29:00","0:05:02","0:05:02","19.82","0.00","0.00","","0.00",""
"122","Stop with doors","","8:34:14","8:34:14","","","","","19.86","","0.05","","","13.05"
"123","Additional trip","Line YELLOWHOPPER, Block 10394","","8:50:15","","8:50:00","","","20.09","","0.00","Pattern: YELLOWHOPPER 25","","0.00"
"124","Stop","Illinois Terminal (Platform C),5","8:50:15","8:50:15","8:50:00","8:50:00","0:00:15","0:00:15","20.09","0.00","0.00","","0.00",""
"125","Stop","Logan & First (SW Corner),3","8:51:11","8:51:18","8:51:30","8:51:30","-0:00:19","-0:00:12","20.33","0.26","0.25","","15.90","15.90"
"126","Stop","White & Second (SE Far Side),3","8:51:39","8:51:45","8:52:00","8:52:00","-0:00:21","-0:00:15","20.45","0.37","0.37","","20.56","20.56"
"127","Stop without doors","","8:52:20","8:52:33","","","","","20.61","","0.52","","","15.60"
"128","Stop","White Street Mid-Block (South Side),1","8:52:49","8:53:28","8:54:00","8:54:00","-0:01:11","-0:00:32","20.64","0.57","0.56","","10.56","8.11"
"129","Stop with doors","","8:53:57","8:54:09","","","","","20.85","","0.76","","","25.38"
"130","Stop","Wright & Stoughton (NW Corner),4","8:54:28","8:54:51","8:55:30","8:55:30","-0:01:02","-0:00:39","20.90","0.84","0.82","","15.44","10.01"
"131","Stop without doors","","8:55:05","8:55:16","","","","","20.94","","0.86","","","11.51"
"132","Stop","Wright & Healey (NW Corner),4","8:55:42","8:55:52","8:56:00","8:56:00","-0:00:18","-0:00:08","21.04","0.98","0.96","","9.83","13.08"
"133","Stop without doors","","8:56:12","8:56:57","","","","","21.12","","1.04","","","14.77"
"134","Stop","Transit Plaza (SW Platform),3","8:57:45","8:58:01","8:57:00","8:57:00","0:00:45","0:01:01","21.27","1.22","1.19","","7.53","11.56"
"135","Stop","Wright & Chalmers (NW Corner),4","8:58:26","8:58:50","8:57:30","8:57:30","0:00:56","0:01:20","21.36","1.30","1.28","","12.26","12.26"
"136","Stop without doors","","8:59:45","8:59:58","","","","","21.52","","1.44","","","10.34"
"137","Drive through","Sixth & Armory (NW Corner),4","9:00:08","9:00:08","8:58:30","8:58:30","0:01:38","0:01:38","21.56","1.48","1.48","","9.12","14.32"
"138","Stop","Sixth & Gregory (NW Corner),4","9:00:23","9:00:36","8:59:00","8:59:00","0:01:23","0:01:36","21.60","1.57","1.52","","11.19","11.19"
"139","Stop without doors","","9:01:31","9:02:27","","","","","21.77","","1.69","","","10.70"
"140","Stop","Gregory at Ikenberry Commons (North),2","9:02:47","9:03:00","9:00:00","9:00:00","0:02:47","0:03:00","21.85","1.82","1.77","","6.78","14.99"
"141","Stop","First & Gregory (NE Corner),1","9:03:33","9:03:46","9:00:30","9:00:30","0:03:03","0:03:16","22.04","2.01","1.96","","21.15","21.15"
"142","Drive through","First & Stadium (NW Corner),4","9:04:12","9:04:12","9:01:30","9:01:30","0:02:42","0:02:42","22.16","2.10","2.07","","15.32","15.32"
"143","Stop without doors","","9:05:10","9:05:18","","","","","22.45","","2.36","","","18.05"
"144","Stop","Kirby & Oak (SW Far Side),7","9:06:09","9:06:14","9:03:15","9:03:15","0:02:54","0:02:59","22.64","2.61","2.55","","14.78","13.38"
"145","Stop","Lot E-14 (South Shelter),1","9:06:49","9:06:59","9:04:00","9:04:00","0:02:49","0:02:59","22.81","2.79","2.73","","18.22","18.22"
"146","Drive through","First & St. Mary's (NW Corner),4","9:07:48","9:07:48","9:05:30","9:05:30","0:02:18","0:02:18","23.01","2.96","2.92","","14.29","14.29"
"147","Drive through","First at iHotel,1","9:08:03","9:08:03","9:05:54","9:05:54","0:02:09","0:02:09","23.13","3.08","3.05","","29.53","29.53"
"148","Stop","First & Hazelwood (NW Corner),4","9:08:21","9:08:32","9:06:20","9:06:20","0:02:01","0:02:12","23.22","3.22","3.14","","18.40","18.40"
"149","Drive through","U of I Credit Union (NW Far Side),8","9:09:16","9:09:16","9:07:20","9:07:20","0:01:56","0:01:56","23.53","3.50","3.45","","25.37","25.37"
"150","Drive through","Oak & Gerty (NW Far Side),8","9:09:30","9:09:30","9:08:00","9:08:00","0:01:30","0:01:30","23.63","3.59","3.55","","26.05","26.05"
"151","Stop","Water Survey,2","9:10:31","9:10:31","9:09:00","9:09:00","0:01:31","0:01:31","23.84","3.83","3.76","","12.40","12.40"
"152","Additional trip","Line YELLOWHOPPER, Block 10394","","9:10:56","","9:18:00","","","23.84","","0.00","Pattern: [@15.0.63189099@]29","","0.00"
"153","Stop","Water Survey,2","9:10:56","9:10:56","9:18:00","9:18:00","-0:07:04","-0:07:04","23.84","0.00","0.00","","0.00",""
"154","Drive through","Hazelwood & Oak (SE Corner),2","9:12:03","9:12:03","9:19:45","9:19:45","-0:07:42","-0:07:42","24.20","0.60","0.36","","19.04","19.04"
"155","Additional trip","Line YELLOWHOPPER, Block 10386","","9:12:30","","9:16:00","","","24.39","","0.00","Pattern: [@15.0.63189099@]29","","0.00"
"156","Drive through","Oak St. (East Side),2","9:12:30","9:12:30","9:18:30","9:18:30","-0:06:00","-0:06:00","24.39","0.00","0.00","","0.00",""
"157","Drive through","St. Mary's & Oak (SE Corner),2","9:12:46","9:12:46","9:19:00","9:19:00","-0:06:14","-0:06:14","24.45","0.07","0.06","","13.43","13.43"
"158","Drive through","First & St. Mary's (NE Far Side),5","9:13:18","9:13:18","9:19:45","9:19:45","-0:06:27","-0:06:27","24.61","0.26","0.23","","18.53","18.53"
"159","Stop without doors","","9:14:01","9:16:41","","","","","24.72","","0.34","","","9.16"
"160","Stop","Lot E-14 (North Shelter),2","9:16:55","9:19:51","9:20:00","9:20:00","-0:03:05","-0:00:09","24.75","0.42","0.36","","2.19","5.76"
"161","Drive through","Kirby & Oak (SE Corner),2","9:20:37","9:20:37","9:20:20","9:20:20","0:00:17","0:00:17","24.96","0.61","0.57","","16.54","16.54"
"162","Stop","First & Stadium (SE Corner),2","9:22:13","9:22:38","9:21:30","9:21:30","0:00:43","0:01:08","25.40","1.09","1.01","","16.55","16.55"
