"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Trip","Line SILVER, Block 132","","7:23:09","","7:20:00","","","0.22","","0.00","Pattern: SILVER 43","",""
"2","Stop","MTD Garage,1","7:23:09","7:23:09","7:20:00","7:20:00","0:03:09","0:03:09","0.22","0.00","0.00","","0.00",""
"3","Stop without doors","","7:25:45","7:26:04","","","","","1.36","","1.14","","","26.23"
"4","Stop without doors","","7:29:43","7:30:05","","","","","2.43","","2.22","","","17.69"
"5","Stop","PAR (North Side Shelter),2","7:30:51","7:30:51","7:30:00","7:30:00","0:00:51","0:00:51","2.62","2.42","2.41","","18.73","14.93"
"6","Trip","Line SILVER, Block 132","","7:31:45","","7:30:00","","","2.62","","0.00","Pattern: SILVER 2","","0.00"
"7","Stop","PAR (North Side Shelter),2","7:31:45","7:31:45","7:30:00","7:30:00","0:01:45","0:01:45","2.62","0.00","0.00","","0.00",""
"8","Drive through","Penn & Maryland (SE Corner),2","7:32:38","7:32:38","7:31:00","7:31:00","0:01:38","0:01:38","2.82","0.20","0.20","","13.55","13.55"
"9","Drive through","Plant Sciences Lab (East Side),2","7:33:25","7:33:25","7:31:45","7:31:45","0:01:40","0:01:40","3.03","0.40","0.41","","15.90","15.90"
"10","Stop","Gregory & Dorner (SE Corner),2","7:33:44","7:33:58","7:32:20","7:32:20","0:01:24","0:01:38","3.10","0.52","0.48","","12.72","12.72"
"11","Drive through","Goodwin & Gregory (NE Corner),1","7:34:31","7:34:31","7:32:55","7:32:55","0:01:36","0:01:36","3.22","0.62","0.60","","13.29","13.29"
"12","Drive through","Gregory at Mumford Hall,2","7:34:57","7:34:57","7:33:30","7:33:30","0:01:27","0:01:27","3.31","0.73","0.69","","12.82","12.82"
"13","Drive through","Gregory at Library (North Side),2","7:35:37","7:35:37","7:34:05","7:34:05","0:01:32","0:01:32","3.48","0.89","0.86","","14.99","14.99"
"14","Stop without doors","","7:35:55","7:36:25","","","","","3.54","","0.92","","","11.69"
"15","Stop","Armory & Wright (South Side),3","7:37:23","7:37:50","7:35:15","7:35:15","0:02:08","0:02:35","3.69","1.12","1.07","","7.24","9.61"
"16","Stop","Transit Plaza (SE Platform),4","7:38:45","7:38:58","7:36:00","7:36:00","0:02:45","0:02:58","3.89","1.32","1.28","","13.30","13.30"
"17","Stop","Illini Union (South Side Shelter),1","7:40:22","7:40:56","7:37:00","7:37:00","0:03:22","0:03:56","4.13","1.50","1.51","","10.12","10.12"
"18","Stop without doors","","7:41:15","7:42:22","","","","","4.27","","1.65","","","26.73"
"19","Stop","Goodwin at Materials Research,2","7:42:51","7:43:05","7:38:30","7:38:30","0:04:21","0:04:35","4.37","1.80","1.75","","7.51","12.27"
"20","Drive through","Springfield & Harvey (SW Corner),3","7:43:30","7:43:30","7:39:00","7:39:00","0:04:30","0:04:30","4.52","1.96","1.90","","21.12","21.12"
"21","Drive through","Springfield & Gregory St. (SW Corner),3","7:43:42","7:43:42","7:39:30","7:39:30","0:04:12","0:04:12","4.60","2.05","1.98","","24.05","24.05"
"22","Drive through","Springfield & Busey (SW Corner),3","7:44:14","7:44:14","7:40:30","7:40:30","0:03:44","0:03:44","4.76","2.20","2.14","","18.32","18.32"
"23","Stop","Springfield at Phillips Rec. Ctr (South),1","7:44:47","7:44:55","7:41:30","7:41:30","0:03:17","0:03:25","4.94","2.38","2.32","","19.73","19.73"
"24","Drive through","Springfield & Birch (SW Corner),3","7:45:16","7:45:16","7:42:00","7:42:00","0:03:16","0:03:16","5.06","2.50","2.45","","21.31","21.31"
"25","Stop","Lincoln Square Garage South,8","7:46:44","7:46:44","7:44:00","7:44:00","0:02:44","0:02:44","5.36","2.76","2.74","","11.90","11.90"
"26","Trip","Line SILVER, Block 132","","7:51:11","","7:50:00","","","5.36","","0.00","Pattern: SILVER 120","","0.00"
"27","Stop","Lincoln Square Garage South,8","7:51:11","7:51:11","7:50:00","7:50:00","0:01:11","0:01:11","5.36","0.00","0.00","","0.00",""
"28","Stop without doors","","7:51:44","7:51:54","","","","","5.45","","0.10","","","10.31"
"29","Drive through","Springfield & Birch (NE Corner),1","7:52:26","7:52:26","7:51:00","7:51:00","0:01:26","0:01:26","5.62","0.25","0.27","","12.80","19.37"
"30","Stop","Springfield at Phillips Rec. Ctr (North),2","7:52:51","7:53:00","7:52:00","7:52:00","0:00:51","0:01:00","5.75","0.39","0.40","","18.71","18.71"
"31","Stop","Springfield & Busey (NE Corner),1","7:53:33","7:53:45","7:53:00","7:53:00","0:00:33","0:00:45","5.91","0.56","0.56","","17.29","17.29"
"32","Stop without doors","","7:54:06","7:54:47","","","","","5.99","","0.64","","","14.07"
"33","Stop","Springfield & Gregory St. (NE Corner),1","7:55:09","7:55:20","7:54:00","7:54:00","0:01:09","0:01:20","6.06","0.71","0.71","","6.48","11.29"
"34","Stop","Springfield & Harvey (NE Corner),1","7:55:40","7:55:49","7:55:00","7:55:00","0:00:40","0:00:49","6.15","0.80","0.80","","15.44","15.44"
"35","Stop without doors","","7:56:07","7:56:15","","","","","6.23","","0.88","","","16.16"
"36","Stop without doors","","7:56:47","7:57:09","","","","","6.33","","0.98","","","11.47"
"37","Drive through","Goodwin at Ceramics Building,1","7:57:21","7:57:21","7:56:15","7:56:15","0:01:06","0:01:06","6.35","0.97","1.00","","8.13","7.46"
"38","Stop without doors","","7:57:33","7:59:04","","","","","6.38","","1.03","","","8.02"
"39","Stop","Green & Goodwin (NW Far Side),8","7:59:29","7:59:37","7:57:00","7:57:00","0:02:29","0:02:37","6.44","1.09","1.08","","2.28","7.79"
"40","Stop","Illini Union (Island Shelter),9","8:00:13","8:00:49","7:58:00","7:58:00","0:02:13","0:02:49","6.58","1.22","1.23","","14.23","14.23"
"41","Stop","Transit Plaza (SW Platform),3","8:01:32","8:01:44","7:59:00","7:59:00","0:02:32","0:02:44","6.79","1.46","1.44","","17.54","17.54"
"42","Stop","Wright & Chalmers (NW Corner),4","8:02:06","8:02:15","7:59:30","7:59:30","0:02:36","0:02:45","6.87","1.54","1.52","","13.83","13.83"
"43","Stop","Sixth & Armory (NW Corner),4","8:03:07","8:03:45","8:00:00","8:00:00","0:03:07","0:03:45","7.03","1.72","1.68","","11.10","11.10"
"44","Stop","Gregory at Library (South Side Shelter),1","8:04:37","8:04:42","8:01:00","8:01:00","0:03:37","0:03:42","7.22","1.90","1.87","","12.82","12.82"
"45","Drive through","Gregory at Mumford Hall (South Side),1","8:05:17","8:05:17","8:01:30","8:01:30","0:03:47","0:03:47","7.39","2.05","2.04","","17.45","17.45"
"46","Stop without doors","","8:05:34","8:05:44","","","","","7.45","","2.10","","","14.08"
"47","Drive through","Goodwin & Gregory (South Side),3","8:05:51","8:05:51","8:02:00","8:02:00","0:03:51","0:03:51","7.47","2.14","2.12","","8.89","8.95"
"48","Drive through","Gregory & Dorner (SW Corner),3","8:06:16","8:06:16","8:02:30","8:02:30","0:03:46","0:03:46","7.57","2.27","2.22","","14.77","14.77"
"49","Stop","Plant Sciences Lab (West Side),1","8:06:43","8:06:53","8:03:00","8:03:00","0:03:43","0:03:53","7.69","2.40","2.33","","14.92","14.92"
"50","Stop without doors","","8:07:58","8:08:06","","","","","7.92","","2.57","","","12.88"
"51","Stop","PAR (North Side Shelter),2","8:09:05","8:09:05","8:05:00","8:05:00","0:04:05","0:04:05","8.13","2.83","2.78","","12.07","12.82"
"52","Dead run in","Line SILVER, Block 132","","8:09:23","","8:05:00","","","8.13","","0.00","Pattern: [PAR:2][PAR]","","0.00"
"53","Stop","PAR (North Side Shelter),2","8:09:23","8:09:23","8:05:00","8:05:00","0:04:23","0:04:23","8.13","0.00","0.00","","0.00",""
"54","Depot","PAR","8:11:07","8:11:07","8:06:00","8:06:00","0:05:07","0:05:07","8.35","0.23","0.22","","7.62","7.62"
"55","Dead run out","Line SILVER, Block 132","","8:11:07","","8:15:00","","","8.35","","0.00","Pattern: [PAR][PAR:2]","","0.00"
"56","Depot","PAR","8:11:07","8:11:07","8:15:00","8:15:00","-0:03:53","-0:03:53","8.35","0.00","0.00","","0.00",""
"57","Stop without doors","","8:15:01","8:15:01","","","","","8.43","","0.09","","","1.33"
"58","Stop","PAR (North Side Shelter),2","8:16:23","8:16:23","8:16:00","8:16:00","0:00:23","0:00:23","8.71","0.27","0.36","","4.08","11.93"
"59","Trip","Line SILVER, Block 132","","8:16:53","","8:16:00","","","8.71","","0.00","Pattern: SILVER 2","","0.00"
"60","Stop","PAR (North Side Shelter),2","8:16:53","8:16:53","8:16:00","8:16:00","0:00:53","0:00:53","8.71","0.00","0.00","","0.00",""
"61","Stop without doors","","8:18:26","8:18:35","","","","","8.88","","0.18","","","6.69"
"62","Drive through","Penn & Maryland (SE Corner),2","8:18:52","8:18:52","8:17:00","8:17:00","0:01:52","0:01:52","8.90","0.20","0.20","","6.00","5.40"
"63","Drive through","Plant Sciences Lab (East Side),2","8:19:43","8:19:43","8:17:45","8:17:45","0:01:58","0:01:58","9.11","0.40","0.41","","14.61","14.61"
"64","Stop","Gregory & Dorner (SE Corner),2","8:20:04","8:20:23","8:18:20","8:18:20","0:01:44","0:02:03","9.18","0.52","0.48","","12.04","12.04"
"65","Drive through","Goodwin & Gregory (NE Corner),1","8:20:55","8:20:55","8:18:55","8:18:55","0:02:00","0:02:00","9.30","0.62","0.60","","13.36","13.36"
"66","Drive through","Gregory at Mumford Hall,2","8:21:21","8:21:21","8:19:30","8:19:30","0:01:51","0:01:51","9.39","0.73","0.69","","13.00","13.00"
"67","Stop","Gregory at Library (North Side),2","8:21:55","8:22:09","8:20:05","8:20:05","0:01:50","0:02:04","9.55","0.89","0.85","","16.12","16.12"
"68","Stop without doors","","8:22:32","8:23:03","","","","","9.62","","0.92","","","11.58"
"69","Stop without doors","","8:23:47","8:24:32","","","","","9.70","","1.00","","","6.72"
"70","Stop","Armory & Wright (South Side),3","8:24:58","8:25:01","8:21:15","8:21:15","0:03:43","0:03:46","9.78","1.12","1.08","","4.94","10.50"
"71","Stop","Transit Plaza (SE Platform),4","8:26:07","8:26:19","8:22:00","8:22:00","0:04:07","0:04:19","9.98","1.32","1.28","","11.05","11.05"
"72","Stop without doors","","8:27:05","8:27:49","","","","","10.10","","1.40","","","9.63"
"73","Stop","Illini Union (South Side Shelter),1","8:28:20","8:28:50","8:23:00","8:23:00","0:05:20","0:05:50","10.21","1.50","1.51","","6.92","12.70"
"74","Stop","Goodwin at Materials Research,2","8:29:43","8:29:59","8:24:30","8:24:30","0:05:13","0:05:29","10.45","1.80","1.75","","15.92","15.92"
"75","Drive through","Springfield & Harvey (SW Corner),3","8:30:28","8:30:28","8:25:00","8:25:00","0:05:28","0:05:28","10.59","1.96","1.89","","18.05","18.05"
"76","Drive through","Springfield & Gregory St. (SW Corner),3","8:30:40","8:30:40","8:25:30","8:25:30","0:05:10","0:05:10","10.68","2.05","1.98","","27.03","27.03"
"77","Stop without doors","","8:30:56","8:31:26","","","","","10.73","","2.03","","","11.47"
"78","Stop","Springfield & Busey (SW Corner),3","8:31:55","8:32:00","8:26:30","8:26:30","0:05:25","0:05:30","10.83","2.20","2.13","","7.01","11.81"
"79","Drive through","Springfield at Phillips Rec. Ctr (South),1","8:32:35","8:32:35","8:27:30","8:27:30","0:05:05","0:05:05","11.03","2.38","2.33","","20.58","20.58"
"80","Drive through","Springfield & Birch (SW Corner),3","8:32:54","8:32:54","8:28:00","8:28:00","0:04:54","0:04:54","11.14","2.50","2.44","","21.31","21.31"
"81","Stop","Lincoln Square Garage South,8","8:34:04","8:34:04","8:30:00","8:30:00","0:04:04","0:04:04","11.43","2.76","2.73","","14.80","14.80"
"82","Trip","Line SILVER, Block 132","","8:40:20","","8:40:00","","","11.45","","0.00","Pattern: SILVER 120","","0.00"
"83","Stop","Lincoln Square Garage South,8","8:40:20","8:40:20","8:40:00","8:40:00","0:00:20","0:00:20","11.45","0.00","0.00","","0.00",""
"84","Stop","Springfield & Birch (NE Corner),1","8:41:43","8:41:57","8:41:00","8:41:00","0:00:43","0:00:57","11.70","0.25","0.25","","10.62","10.62"
"85","Stop","Springfield at Phillips Rec. Ctr (North),2","8:42:31","8:42:50","8:42:00","8:42:00","0:00:31","0:00:50","11.84","0.39","0.40","","15.60","15.60"
"86","Stop","Springfield & Busey (NE Corner),1","8:43:27","8:43:51","8:43:00","8:43:00","0:00:27","0:00:51","12.00","0.56","0.56","","15.54","15.54"
"87","Stop","Springfield & Gregory St. (NE Corner),1","8:44:32","8:44:53","8:44:00","8:44:00","0:00:32","0:00:53","12.15","0.71","0.71","","13.32","13.32"
