"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line ILLINI, Block 2206","","7:03:03","","7:08:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","7:03:03","7:03:03","","","","","0.00","","","","",""
"3","Depot","MTD Garage","7:03:14","7:03:14","7:08:00","7:08:00","-0:04:46","-0:04:46","0.00","0.00","0.00","","0.00","0.00"
"4","Stop","MTD Garage,1","7:04:37","7:04:37","7:08:00","7:08:00","-0:03:23","-0:03:23","0.00","0.01","0.00","","0.00","0.00"
"5","Trip","Line ILLINI, Block 2206","","7:09:07","","7:08:00","","","0.00","","","Pattern: ILLINI 46","","0.00"
"6","Stop","MTD Garage,1","7:09:07","7:09:07","7:08:00","7:08:00","0:01:07","0:01:07","0.00","0.00","0.00","","0.00",""
"7","Stop without doors","","7:11:56","7:12:36","","","","","0.93","","","","","19.62"
"8","Stop without doors","","7:18:20","7:19:23","","","","","4.79","","","","","40.48"
"9","Stop","Lincoln & Killarney (NE Corner),1","7:19:44","7:19:44","7:18:00","7:18:00","0:01:44","0:01:44","4.88","2.33","0.00","","27.58","15.56"
"10","Trip","Line ILLINI, Block 2206","","7:19:56","","7:18:00","","","4.88","","0.00","Pattern: 22S ILLINI 20","","0.00"
"11","Stop","Lincoln & Killarney (NE Corner),1","7:19:56","7:19:56","7:18:00","7:18:00","0:01:56","0:01:56","4.88","0.00","0.00","","0.00",""
"12","Stop with doors","","7:20:46","7:20:54","","","","","5.21","","0.33","","","23.76"
"13","Drive through","Lincoln & Kettering Park (NW Corner),4","7:21:01","7:21:01","7:18:30","7:18:30","0:02:31","0:02:31","5.23","0.22","0.35","","19.21","8.63"
"14","Drive through","One Illinois North,1","7:21:23","7:21:23","7:19:45","7:19:45","0:01:38","0:01:38","5.38","0.36","0.50","","24.61","24.61"
"15","Stop","One Illinois South,1","7:21:52","7:22:24","7:20:40","7:20:40","0:01:12","0:01:44","5.56","0.57","0.68","","22.45","22.45"
"16","Drive through","Lincoln & Wascher (NW Corner),4","7:22:49","7:22:49","7:21:25","7:21:25","0:01:24","0:01:24","5.75","0.74","0.87","","27.47","27.47"
"17","Drive through","Fairview & Lincoln (NW Corner),4","7:23:10","7:23:10","7:21:45","7:21:45","0:01:25","0:01:25","5.92","0.90","1.04","","28.13","28.13"
"18","Drive through","Lincoln & Church (NW Corner),4","7:23:37","7:23:37","7:22:15","7:22:15","0:01:22","0:01:22","6.06","1.04","1.18","","18.65","18.65"
"19","Drive through","Lincoln & Park (West Side),4","7:23:54","7:23:54","7:22:25","7:22:25","0:01:29","0:01:29","6.11","1.11","1.24","","12.24","12.24"
"20","Drive through","Campus Circle (North Side),2","7:24:39","7:24:39","7:23:00","7:23:00","0:01:39","0:01:39","6.27","1.30","1.39","","12.73","12.73"
"21","Stop","Goodwin & Clark (NW Corner),4","7:25:23","7:25:36","7:24:00","7:24:00","0:01:23","0:01:36","6.44","1.49","1.56","","13.32","13.32"
"22","Drive through","Goodwin & Main (NW Corner),4","7:25:59","7:25:59","7:24:46","7:24:46","0:01:13","0:01:13","6.51","1.55","1.63","","12.16","12.16"
"23","Stop without doors","","7:26:27","7:26:49","","","","","6.62","","1.74","","","13.27"
"24","Drive through","Goodwin at Ceramics Building,1","7:27:19","7:27:19","7:25:38","7:25:38","0:01:41","0:01:41","6.75","1.75","1.87","","10.63","15.96"
"25","Drive through","Green & Goodwin (NW Far Side),8","7:27:48","7:27:48","7:26:54","7:26:54","0:00:54","0:00:54","6.85","1.88","1.97","","11.81","11.81"
"26","Stop","Illini Union (Island Shelter),9","7:28:33","7:29:54","7:28:00","7:28:00","0:00:33","0:01:54","6.97","2.00","2.09","","9.80","9.80"
"27","Stop","Transit Plaza (SW Platform),3","7:30:40","7:30:54","7:31:00","7:31:00","-0:00:20","-0:00:06","7.18","2.24","2.30","","16.20","16.20"
"28","Drive through","Wright & Chalmers (NW Corner),4","7:31:25","7:31:25","7:31:53","7:31:53","-0:00:28","-0:00:28","7.28","2.33","2.40","","11.84","11.84"
"29","Stop","5th & Chalmers (NE Corner),1","7:32:11","7:32:22","7:32:45","7:32:45","-0:00:34","-0:00:23","7.42","2.49","2.54","","11.09","11.09"
"30","Stop","4th & Chalmers (NE Corner),1","7:32:42","7:32:51","7:33:53","7:33:53","-0:01:11","-0:01:02","7.49","2.57","2.61","","13.20","13.20"
"31","Stop without doors","","7:34:10","7:36:09","","","","","7.69","","2.81","","","8.87"
"32","Drive through","Third & Daniel (NW Far Side),8","7:36:16","7:36:16","7:36:00","7:36:00","0:00:16","0:00:16","7.70","2.76","2.82","","3.65","6.72"
"33","Stop","First & Daniel (NE Corner),1","7:37:06","7:37:27","7:37:11","7:37:11","-0:00:05","0:00:16","7.84","2.92","2.96","","9.94","9.94"
"34","Stop","First & Armory (NW Corner),4","7:38:04","7:38:13","7:38:02","7:38:02","0:00:02","0:00:11","8.01","3.11","3.13","","16.45","16.45"
"35","Drive through","First & Gregory (NW Corner),4","7:38:41","7:38:41","7:38:47","7:38:47","-0:00:06","-0:00:06","8.11","3.19","3.23","","13.11","13.11"
"36","Stop","First & Stadium (NW Corner),4","7:39:02","7:39:13","7:39:32","7:39:32","-0:00:30","-0:00:19","8.19","3.29","3.31","","13.53","13.53"
"37","Stop","ARC (South Side),1","7:40:17","7:40:38","7:40:41","7:40:41","-0:00:24","-0:00:03","8.43","3.52","3.55","","13.67","13.67"
"38","Drive through","Fourth & Peabody (NE Far Side),5","7:41:46","7:41:46","7:41:41","7:41:41","0:00:05","0:00:05","8.61","3.68","3.73","","9.35","9.35"
"39","Stop","Fourth & Gregory (SE Corner),2","7:42:14","7:42:55","7:42:41","7:42:41","-0:00:27","0:00:14","8.73","3.83","3.85","","15.34","15.34"
"40","Stop","Gregory at Library (South Side Shelter),1","7:43:49","7:44:04","7:44:00","7:44:00","-0:00:11","0:00:04","9.00","4.09","4.12","","17.94","17.94"
"41","Stop","Gregory at Mumford Hall (South Side),1","7:44:37","7:44:49","7:44:30","7:44:30","0:00:07","0:00:19","9.13","4.25","4.25","","15.19","15.19"
"42","Stop","Goodwin & Gregory (South Side),3","7:45:11","7:45:23","7:45:15","7:45:15","-0:00:04","0:00:08","9.23","4.33","4.35","","15.46","15.46"
"43","Stop","Goodwin & Nevada (SE Corner),2","7:45:55","7:46:07","7:46:00","7:46:00","-0:00:05","0:00:07","9.35","4.46","4.47","","13.64","13.64"
"44","Stop","Krannert Center (East Side Shelter),2","7:47:00","7:47:19","7:47:00","7:47:00","0:00:00","0:00:19","9.52","4.61","4.64","","11.36","11.36"
"45","Stop","Illinois St. Residence Hall (South Side),1","7:48:11","7:48:21","7:48:00","7:48:00","0:00:11","0:00:21","9.67","4.79","4.80","","10.93","10.93"
"46","Stop","Lincoln & Illinois (SW Corner),3","7:48:49","7:49:25","7:48:45","7:48:45","0:00:04","0:00:40","9.79","4.91","4.91","","15.18","15.18"
"47","Drive through","Lincoln & Oregon (NW Corner),4","7:50:08","7:50:08","7:49:30","7:49:30","0:00:38","0:00:38","9.94","5.05","5.06","","12.59","12.59"
"48","Stop","LAR (West Side),1","7:50:48","7:51:20","7:50:30","7:50:30","0:00:18","0:00:50","10.14","5.26","5.26","","17.79","17.79"
"49","Stop","PAR (North Side Shelter),2","7:53:12","7:53:12","7:52:00","7:52:00","0:01:12","0:01:12","10.58","5.68","5.70","","13.99","13.99"
"50","Trip","Line ILLINI, Block 2206","","7:58:19","","7:58:00","","","10.58","","0.00","Pattern: 22N ILLINI 10","","0.00"
"51","Stop","PAR (North Side Shelter),2","7:58:19","7:58:19","7:58:00","7:58:00","0:00:19","0:00:19","10.58","0.00","0.00","","0.00",""
"52","Stop without doors","","7:58:46","7:59:03","","","","","10.67","","0.10","","","12.52"
"53","Stop without doors","","7:59:34","7:59:46","","","","","10.75","","0.18","","","9.02"
"54","Drive through","Penn & Maryland (SE Corner),2","8:00:05","8:00:05","7:58:50","7:58:50","0:01:15","0:01:15","10.78","0.20","0.21","","7.05","6.83"
"55","Drive through","LAR (East Side),2","8:02:04","8:02:04","8:00:30","8:00:30","0:01:34","0:01:34","11.24","0.65","0.67","","13.84","13.84"
"56","Drive through","Lincoln & Oregon (SE Corner),2","8:02:33","8:02:33","8:01:20","8:01:20","0:01:13","0:01:13","11.43","0.87","0.86","","23.61","23.61"
"57","Stop without doors","","8:02:55","8:03:09","","","","","11.52","","0.95","","","14.55"
"58","Stop","Lincoln & Illinois (NW Far Side),8","8:03:25","8:03:37","8:02:10","8:02:10","0:01:15","0:01:27","11.55","1.02","0.98","","8.22","6.72"
"59","Drive through","Illinois St. Residence Hall (North Side),2","8:04:09","8:04:09","8:03:00","8:03:00","0:01:09","0:01:09","11.68","1.14","1.11","","15.24","15.24"
"60","Drive through","Chemical & Life Sciences,1","8:05:20","8:05:20","8:03:40","8:03:40","0:01:40","0:01:40","11.89","1.32","1.32","","10.37","10.37"
"61","Stop without doors","","8:05:24","8:05:31","","","","","11.89","","1.32","","","1.68"
"62","Stop","Goodwin & Nevada (NW Corner),4","8:05:55","8:06:06","8:05:00","8:05:00","0:00:55","0:01:06","11.96","1.45","1.39","","7.35","10.44"
"63","Stop","Goodwin & Gregory (NW Corner),4","8:06:42","8:06:57","8:05:40","8:05:40","0:01:02","0:01:17","12.06","1.57","1.49","","10.26","10.26"
"64","Stop without doors","","8:07:12","8:07:22","","","","","12.08","","1.51","","","4.63"
"65","Drive through","Gregory at Mumford Hall,2","8:07:49","8:07:49","8:06:20","8:06:20","0:01:29","0:01:29","12.17","1.67","1.60","","7.71","12.27"
"66","Stop","Gregory at Library (North Side),2","8:08:33","8:08:45","8:07:00","8:07:00","0:01:33","0:01:45","12.34","1.83","1.77","","13.43","13.43"
"67","Stop without doors","","8:09:43","8:10:33","","","","","12.56","","1.99","","","14.01"
"68","Stop with doors","","8:10:55","8:11:09","","","","","12.63","","2.06","","","10.58"
"69","Drive through","Fourth & Gregory (SW Far Side),7","8:11:13","8:11:13","8:08:30","8:08:30","0:02:43","0:02:43","12.64","2.11","2.07","","7.32","9.51"
"70","Drive through","Fourth & Peabody (NW Corner),4","8:11:55","8:11:55","8:09:30","8:09:30","0:02:25","0:02:25","12.80","2.27","2.23","","13.53","13.53"
"71","Stop without doors","","8:12:26","8:12:48","","","","","12.92","","2.35","","","14.65"
"72","Drive through","ARC (North Side),2","8:12:54","8:12:54","8:10:30","8:10:30","0:02:24","0:02:24","12.94","2.41","2.37","","8.54","8.21"
"73","Drive through","First & Stadium (SE Corner),2","8:14:02","8:14:02","8:11:25","8:11:25","0:02:37","0:02:37","13.16","2.63","2.59","","11.85","11.85"
