"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line GREEN ALT, Block 2228","","14:08:19","","14:10:00","","","0.10","","0.00","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","14:08:19","14:08:19","","","","","0.10","","0.00","","",""
"3","Stop","MTD Garage,1","14:08:25","14:08:25","14:10:00","14:10:00","-0:01:35","-0:01:35","0.10","0.00","0.00","","0.00","0.00"
"4","Trip","Line GREEN ALT, Block 2228","","14:10:36","","14:10:00","","","0.22","","0.00","Pattern: [@2.0.84887452@]7","","0.00"
"5","Stop","MTD Garage,1","14:10:36","14:10:36","14:10:00","14:10:00","0:00:36","0:00:36","0.22","0.00","0.00","","0.00",""
"6","Stop without doors","","14:11:34","14:11:44","","","","","0.60","","0.38","","","23.18"
"7","Stop without doors","","14:12:36","14:12:47","","","","","0.87","","0.65","","","18.80"
"8","Stop","Urbana High School,2","14:17:06","14:28:34","14:22:00","14:28:00","-0:04:54","0:00:34","2.18","1.51","1.96","","18.09","18.27"
"9","Drive through","Florida & Anderson (NW Corner),4","14:32:19","14:32:19","14:31:40","14:31:40","0:00:39","0:00:39","3.29","2.40","3.07","","17.71","17.71"
"10","Stop with doors","","14:32:51","14:32:58","","","","","3.48","","3.26","","","21.19"
"11","Stop","Florida & Philo (SW Corner),3","14:33:38","14:34:28","14:32:20","14:32:20","0:01:18","0:02:08","3.71","2.89","3.49","","19.12","20.81"
"12","Drive through","Florida & Adams (SW Corner),3","14:34:46","14:34:46","14:32:40","14:32:40","0:02:06","0:02:06","3.82","2.98","3.61","","23.00","23.00"
"13","Stop","Florida at Thomas Paine (South Side),1","14:35:15","14:35:26","14:33:00","14:33:00","0:02:15","0:02:26","4.00","3.15","3.78","","21.68","21.68"
"14","Drive through","Florida & Curtiss (SW Corner),3","14:35:49","14:35:49","14:33:40","14:33:40","0:02:09","0:02:09","4.16","3.30","3.94","","25.68","25.68"
"15","Stop","Florida & Kinch (NE Far Side),5","14:36:16","14:36:30","14:34:20","14:34:20","0:01:56","0:02:10","4.27","3.42","4.05","","13.84","13.84"
"16","Drive through","Vermont & Kinch (SE Corner),2","14:36:44","14:36:44","14:34:40","14:34:40","0:02:04","0:02:04","4.36","3.50","4.14","","24.45","24.45"
"17","Drive through","Michigan & Kinch (SE Corner),2","14:36:58","14:36:58","14:35:10","14:35:10","0:01:48","0:01:48","4.46","3.60","4.24","","26.05","26.05"
"18","Drive through","Country Squire & Kinch (NW Far Side),8","14:37:13","14:37:13","14:35:20","14:35:20","0:01:53","0:01:53","4.53","3.67","4.31","","15.66","15.66"
"19","Drive through","Country Squire Ct. (North Side),2","14:37:43","14:37:43","14:36:00","14:36:00","0:01:43","0:01:43","4.73","3.86","4.51","","24.24","24.24"
"20","Drive through","Hunter & Lanore (NE Corner),1","14:38:18","14:38:18","14:36:40","14:36:40","0:01:38","0:01:38","4.85","3.98","4.63","","11.96","11.96"
"21","Drive through","Lierman & Hunter (NE Corner),1","14:38:50","14:38:50","14:37:20","14:37:20","0:01:30","0:01:30","4.96","4.09","4.74","","12.38","12.38"
"22","Drive through","Washington & Lierman (SE Corner),2","14:39:25","14:39:25","14:37:40","14:37:40","0:01:45","0:01:45","5.09","4.21","4.87","","13.55","13.55"
"23","Stop","Washington & Lanore (SW Corner),3","14:39:40","14:39:46","14:38:00","14:38:00","0:01:40","0:01:46","5.14","4.32","4.92","","12.98","12.98"
"24","Drive through","Washington & Rainbow View (SW Corner),3","14:40:02","14:40:02","14:38:40","14:38:40","0:01:22","0:01:22","5.26","4.42","5.04","","26.99","26.99"
