"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","Diff. arr","Diff. dep","Odometer","Sched. total distance","Distance","Graphic","V [mph] Stop","V [mph]"
"1","Dead run out","Line YELLOW, Block 15","","7:14:16","","7:33:00","","","0.00","","","Pattern: [Garage][DEPOT:1]","",""
"2","Stop without doors","","7:14:16","7:14:16","","","","","0.00","","","","",""
"3","Stop with doors","","7:15:48","7:31:11","","","","","0.00","","","","","0.00"
"4","Stop without doors","","7:32:36","7:32:47","","","","","0.22","","","","","8.98"
"5","Drive through","MTD Garage,1","7:33:08","7:33:08","7:33:00","7:33:00","0:00:08","0:00:08","0.27","0.00","0.00","","0.00","9.59"
"6","Trip","Line YELLOW, Block 15","","7:33:08","","7:33:00","","","0.27","","0.00","Pattern: YELLOW 52","","0.00"
"7","Drive through","MTD Garage,1","7:33:08","7:33:08","7:33:00","7:33:00","0:00:08","0:00:08","0.27","0.00","0.00","","0.00",""
"8","Drive through","West Pull Out,1","7:33:10","7:33:10","7:33:30","7:33:30","-0:00:20","-0:00:20","0.29","0.06","0.02","","26.85","26.85"
"9","Stop without doors","","7:34:24","7:34:44","","","","","0.60","","0.33","","","15.27"
"10","Stop without doors","","7:36:50","7:37:17","","","","","1.36","","1.09","","","21.65"
"11","Stop without doors","","7:40:52","7:41:02","","","","","2.63","","2.36","","","21.27"
"12","Stop","Gregory at Ikenberry Commons (South),1","7:44:01","7:44:01","7:45:00","7:45:00","-0:00:59","-0:00:59","3.43","3.26","3.16","","17.37","16.09"
"13","Trip","Line YELLOW, Block 15","","7:44:50","","7:45:00","","","3.43","","0.00","Pattern: YELLOW 15","","0.00"
"14","Stop","Gregory at Ikenberry Commons (South),1","7:44:50","7:44:50","7:45:00","7:45:00","-0:00:10","-0:00:10","3.43","0.00","0.00","","0.00",""
"15","Stop","Fourth & Armory (SE Corner),2","7:45:28","7:45:35","7:47:00","7:47:00","-0:01:32","-0:01:25","3.57","0.15","0.14","","13.25","13.25"
"16","Stop","Armory & Wright (South Side),3","7:46:52","7:47:16","7:51:00","7:51:00","-0:04:08","-0:03:44","3.81","0.39","0.38","","11.07","11.07"
"17","Stop","Transit Plaza (SE Platform),4","7:48:25","7:48:25","7:53:00","7:53:00","-0:04:35","-0:04:35","4.01","0.59","0.58","","10.51","10.51"
"18","Dead run inter","Line YELLOW, Block 15","","7:48:48","","7:53:00","","","4.01","","0.00","Pattern: [PLAZA:4][1STGRG:2]","","0.00"
"19","Stop","Transit Plaza (SE Platform),4","7:48:48","7:48:48","7:53:00","7:53:00","-0:04:12","-0:04:12","4.01","0.00","0.00","","0.00",""
"20","Stop without doors","","7:49:35","7:50:21","","","","","4.13","","0.13","","","9.33"
"21","Stop with doors","","7:50:49","7:50:51","","","","","4.20","","0.20","","","8.79"
"22","Stop without doors","","7:51:34","7:51:47","","","","","4.30","","0.30","","","8.48"
"23","Stop without doors","","7:52:18","7:52:28","","","","","4.38","","0.38","","","9.75"
"24","Stop without doors","","7:53:34","7:53:55","","","","","4.55","","0.54","","","8.95"
"25","Stop without doors","","7:54:37","7:54:54","","","","","4.70","","0.70","","","12.95"
